"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2951.5,0,36948.0684211252
"2000/2001",2001,123,123,100,0,-2951.5,0,36975.9055512773
"2001/2002",2002,123,123,100,0,-2950,0,35547.9122704173
"2002/2003",2003,123,123,100,0,-2950.5,0,36933.0188455076
"2003/2004",2004,123,123,100,0,-2952,0,36866.6583813021
"2004/2005",2005,123,123,100,0,-2941,0,35810.2461900376
"2005/2006",2006,123,123,100,0,-2934.5,0,37159.8787324604
"2006/2007",2007,123,123,100,0,-2905.5,0,37409.1293312619
"2007/2008",2008,123,123,100,0,-2950,0,33957.5118293625
"2008/2009",2009,123,123,100,0,-2952,0,35933.1287322553
"2009/2010",2010,123,123,100,0,-2952,0,36096.3827342502
"2010/2011",2011,123,123,100,0,-2952,0,36882.5876940562
"2011/2012",2012,123,123,100,0,-2952,0,35932.3109870295
"2012/2013",2013,123,123,100,0,-2948.5,0,36626.1733096247
"2013/2014",2014,123,123,100,0,-2950,0,36413.9660273041
"2014/2015",2015,123,123,100,0,-2950.5,0,34691.9614938356
"2015/2016",2016,123,123,100,0,-2952,0,35320.8596194661
"2016/2017",2017,123,123,100,0,-2952,0,35538.8429626499
"2017/2018",2018,123,123,100,0,-2951.5,0,37798.9896441784
"2018/2019",2019,123,123,100,0,-2946.5,0,36149.4791049513
"2019/2020",2020,123,123,100,0,-2952,0,35307.3895869071
"2020/2021",2021,123,123,100,0,-2951,0,35242.2487349205
"2021/2022",2022,123,123,100,0,-2943.5,0,34800.6044629903
"2022/2023",2023,123,123,100,0,-2946.5,0,37749.2674833951
"2023/2024",2024,123,123,100,0,-2942.5,0,33409.9554195963
"2024/2025",2025,123,123,100,0,-2932.5,0,35996.3868001802
"2025/2026",2026,123,123,100,0,-2939,0,37383.8891854738
"2026/2027",2027,123,123,100,0,-2952,0,34824.5159953232
"2027/2028",2028,123,123,100,0,-2952,0,35181.3546317816
"2028/2029",2029,123,123,100,0,-2944.5,0,36866.7275254787
"2029/2030",2030,123,123,100,0,-2952,0,35194.3025595932
"2030/2031",2031,123,123,100,0,-2945.5,0,36346.0008936697
"2031/2032",2032,123,123,100,0,-2946.5,0,37497.8718270534
"2032/2033",2033,123,123,100,0,-2951,0,35977.5013330998
"2033/2034",2034,123,123,100,0,-2942,0,34814.3254824337
"2034/2035",2035,123,123,100,0,-2937.5,0,37212.0568681876
"2035/2036",2036,123,123,100,0,-2952,0,38967.1267240085
"2036/2037",2037,123,123,100,0,-2951,0,34856.3656200748
"2037/2038",2038,123,123,100,0,-2948,0,34486.2076964714
"2038/2039",2039,123,123,100,0,-2952,0,34375.557738658
"2039/2040",2040,123,123,100,0,-2952,0,35522.6872966755
"2040/2041",2041,123,123,100,0,-2952,0,35681.1584934597
"2041/2042",2042,123,123,100,0,-2951.5,0,35296.5915243169
"2042/2043",2043,123,123,100,0,-2951.5,0,36172.5796536244
"2043/2044",2044,123,123,100,0,-2943,0,36868.6942842249
"2044/2045",2045,123,123,100,0,-2952,0,36544.4922508746
"2045/2046",2046,123,123,100,0,-2950,0,37946.5682683159
"2046/2047",2047,123,123,100,0,-2951.5,0,35047.2438987009
"2047/2048",2048,123,123,100,0,-2952,0,36658.9472268
"2048/2049",2049,123,123,100,0,-2952,0,36796.4450242305
"2049/2050",2050,123,123,100,0,-2927,0,36269.0164156258
"2050/2051",2051,123,123,100,0,-2945.5,0,36065.0959584592
"2051/2052",2052,123,123,100,0,-2951.5,0,36096.7438816335
"2052/2053",2053,123,123,100,0,-2939.5,0,35309.9052309049
