"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2928,0,45530.3027552165
"2000/2001",2001,123,123,100,0,-2921.5,0,44651.1425399006
"2001/2002",2002,123,123,100,0,-2912,0,45126.8350712095
"2002/2003",2003,123,123,100,0,-2941,0,45910.2159460273
"2003/2004",2004,123,123,100,0,-2937,0,45307.1777809291
"2004/2005",2005,123,123,100,0,-2930.5,0,45490.5956244947
"2005/2006",2006,123,123,100,0,-2913.5,0,43933.8109727011
"2006/2007",2007,123,123,100,0,-2915.5,0,45269.1164074427
"2007/2008",2008,123,123,100,0,-2907,0,43986.7139578878
"2008/2009",2009,123,123,100,0,-2906,0,45015.9240204038
"2009/2010",2010,123,123,100,0,-2940,0,46934.2862994538
"2010/2011",2011,123,123,100,0,-2937,0,45384.6665408728
"2011/2012",2012,123,123,100,0,-2894,0,45132.9804444357
"2012/2013",2013,123,123,100,0,-2928.5,0,46796.8744027137
"2013/2014",2014,123,123,100,0,-2936.5,0,45265.8040729929
"2014/2015",2015,123,123,100,0,-2918,0,45356.8121028424
"2015/2016",2016,123,123,100,0,-2925.5,0,44617.6943486191
"2016/2017",2017,123,123,100,0,-2936,0,43708.8701272951
"2017/2018",2018,123,123,100,0,-2935.5,0,44366.3165255697
"2018/2019",2019,123,123,100,0,-2863,0,45106.9908503378
"2019/2020",2020,123,123,100,0,-2910,0,45697.1216889061
"2020/2021",2021,123,123,100,0,-2930.5,0,45473.6637938856
"2021/2022",2022,123,123,100,0,-2922,0,45008.4549735799
"2022/2023",2023,123,123,100,0,-2932,0,44178.5297334511
"2023/2024",2024,123,123,100,0,-2902,0,45422.3725640434
"2024/2025",2025,123,123,100,0,-2926.5,0,44000.4252824807
"2025/2026",2026,123,123,100,0,-2932,0,44997.9975231807
"2026/2027",2027,123,123,100,0,-2938.5,0,44962.6520596067
"2027/2028",2028,123,123,100,0,-2918.5,0,44065.6347747562
"2028/2029",2029,123,123,100,0,-2917.5,0,46490.4652222767
"2029/2030",2030,123,123,100,0,-2916,0,44104.167568183
"2030/2031",2031,123,123,100,0,-2940,0,46048.5901752627
"2031/2032",2032,123,123,100,0,-2922,0,45310.5575039764
"2032/2033",2033,123,123,100,0,-2926,0,47113.5448596301
"2033/2034",2034,123,123,100,0,-2920.5,0,45227.9955030722
"2034/2035",2035,123,123,100,0,-2936,0,43790.3031940954
"2035/2036",2036,123,123,100,0,-2948.5,0,45129.3274319172
"2036/2037",2037,123,123,100,0,-2933.5,0,44834.675863659
"2037/2038",2038,123,123,100,0,-2922.5,0,46288.7754001655
"2038/2039",2039,123,123,100,0,-2939,0,44863.8240944101
"2039/2040",2040,123,123,100,0,-2927,0,45096.9137539649
"2040/2041",2041,123,123,100,0,-2934.5,0,45070.9710871615
"2041/2042",2042,123,123,100,0,-2918,0,45776.5876935357
"2042/2043",2043,123,123,100,0,-2934,0,44743.7008443866
"2043/2044",2044,123,123,100,0,-2937.5,0,45014.1335466672
"2044/2045",2045,123,123,100,0,-2943,0,44822.9246398862
"2045/2046",2046,123,123,100,0,-2938,0,43806.8059052378
"2046/2047",2047,123,123,100,0,-2928,0,44545.4187114006
"2047/2048",2048,123,123,100,0,-2897,0,44819.6928073484
"2048/2049",2049,123,123,100,0,-2941.5,0,45339.7752455575
"2049/2050",2050,123,123,100,0,-2910,0,44670.3216174925
"2050/2051",2051,123,123,100,0,-2927,0,45783.0226964559
"2051/2052",2052,123,123,100,0,-2922.5,0,46738.3600177383
"2052/2053",2053,123,123,100,0,-2907,0,46028.5619809404
"2053/2054",2054,123,123,100,0,-2931.5,0,45586.7076132149
"2054/2055",2055,123,123,100,0,-2917,0,45522.5279223481
"2055/2056",2056,123,123,100,0,-2902.5,0,45971.7284764238
"2056/2057",2057,123,123,100,0,-2946,0,46370.0773888892
"2057/2058",2058,123,123,100,0,-2852.5,0,45346.8858884005
"2058/2059",2059,123,123,100,0,-2933,0,45284.4338732101
"2059/2060",2060,123,123,100,0,-2911.5,0,45276.4120306913
"2060/2061",2061,123,123,100,0,-2928,0,44848.0174606377
"2061/2062",2062,123,123,100,0,-2930,0,45171.4329651939
"2062/2063",2063,123,123,100,0,-2930.5,0,45460.1618413376
"2063/2064",2064,123,123,100,0,-2926,0,46432.9899470452
"2064/2065",2065,123,123,100,0,-2939.5,0,44989.1710679103
"2065/2066",2066,123,123,100,0,-2926,0,45139.6412239177
"2066/2067",2067,123,123,100,0,-2922.5,0,46057.2316261288
"2067/2068",2068,123,123,100,0,-2930.5,0,44867.8537509954
"2068/2069",2069,123,123,100,0,-2915,0,43483.8543577567
"2069/2070",2070,123,123,100,0,-2943,0,45043.1229105815
"2070/2071",2071,123,123,100,0,-2933.5,0,46715.5126942229
"2071/2072",2072,123,123,100,0,-2911,0,45918.3419535346
"2072/2073",2073,123,123,100,0,-2877,0,45533.9802211225
"2073/2074",2074,123,123,100,0,-2924.5,0,47783.0891657416
"2074/2075",2075,123,123,100,0,-2931.5,0,46669.0538170189
"2075/2076",2076,123,123,100,0,-2934,0,45470.5163024478
"2076/2077",2077,123,123,100,0,-2940,0,43864.8721802272
"2077/2078",2078,123,123,100,0,-2932,0,46640.9204490054
"2078/2079",2079,123,123,100,0,-2941.5,0,46009.7896169573
"2079/2080",2080,123,123,100,0,-2885,0,44453.468412064
"2080/2081",2081,123,123,100,0,-2920.5,0,46920.5278688595
"2081/2082",2082,123,123,100,0,-2902.5,0,46094.581692487
"2082/2083",2083,123,123,100,0,-2928.5,0,46147.9414507709
"2083/2084",2084,123,123,100,0,-2940.5,0,45072.4666781891
"2084/2085",2085,123,123,100,0,-2913,0,44432.7212264724
"2085/2086",2086,123,123,100,0,-2932.5,0,44839.1185527761
"2086/2087",2087,123,123,100,0,-2865.5,0,45724.366471082
"2087/2088",2088,123,123,100,0,-2933,0,45557.4220552593
"2088/2089",2089,123,123,100,0,-2931,0,47122.1842156518
"2089/2090",2090,123,123,100,0,-2939,0,45353.5239072051
"2090/2091",2091,123,123,100,0,-2945,0,46375.7195778601
"2091/2092",2092,123,123,100,0,-2920,0,46048.2346730456
"2092/2093",2093,123,123,100,0,-2948,0,43684.6860075369
"2093/2094",2094,123,123,100,0,-2948.5,0,45072.2915671412
"2094/2095",2095,123,123,100,0,-2917,0,45233.4388592001
"2095/2096",2096,123,123,100,0,-2938,0,46976.5864955969
"2096/2097",2097,123,123,100,0,-2943.5,0,45336.0645331889
"2097/2098",2098,123,123,100,0,-2936,0,45037.9397909027
"2098/2099",2099,123,123,100,0,-2916,0,45949.8961953335
"2099/2100",2100,123,123,100,0,-2943.5,0,44446.7505827565
