"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2927,0,44524.2653519388
"2000/2001",2001,123,123,100,0,-2906,0,44062.3669635086
"2001/2002",2002,123,123,100,0,-2921.5,0,44094.7603454973
"2002/2003",2003,123,123,100,0,-2929,0,44767.3614478767
"2003/2004",2004,123,123,100,0,-2936.5,0,44703.6623770091
"2004/2005",2005,123,123,100,0,-2913,0,43781.0353600401
"2005/2006",2006,123,123,100,0,-2918.5,0,44377.4001938194
"2006/2007",2007,123,123,100,0,-2905.5,0,44235.9383518996
"2007/2008",2008,123,123,100,0,-2914.5,0,43230.0668360994
"2008/2009",2009,123,123,100,0,-2911.5,0,43885.2450303938
"2009/2010",2010,123,123,100,0,-2947,0,45246.1770757684
"2010/2011",2011,123,123,100,0,-2930.5,0,44229.2280460035
"2011/2012",2012,123,123,100,0,-2903,0,44553.5919545337
"2012/2013",2013,123,123,100,0,-2913,0,45187.5559072995
"2013/2014",2014,123,123,100,0,-2941,0,44045.0662595397
"2014/2015",2015,123,123,100,0,-2914.5,0,43701.9994218813
"2015/2016",2016,123,123,100,0,-2941,0,43807.161504084
"2016/2017",2017,123,123,100,0,-2938,0,42924.1540580601
"2017/2018",2018,123,123,100,0,-2947,0,44002.745244124
"2018/2019",2019,123,123,100,0,-2827,0,43906.4776654243
"2019/2020",2020,123,123,100,0,-2916.5,0,44300.0911322059
"2020/2021",2021,123,123,100,0,-2930,0,44266.7021785905
"2021/2022",2022,123,123,100,0,-2933,0,43573.9307092647
"2022/2023",2023,123,123,100,0,-2903,0,43701.9643806303
"2023/2024",2024,123,123,100,0,-2923,0,43863.2094148295
"2024/2025",2025,123,123,100,0,-2905,0,43762.1713664448
"2025/2026",2026,123,123,100,0,-2894.5,0,43833.2929120925
"2026/2027",2027,123,123,100,0,-2945,0,43219.5238890215
"2027/2028",2028,123,123,100,0,-2933.5,0,43552.9134464073
"2028/2029",2029,123,123,100,4,-2914,0,45463.6535950415
"2029/2030",2030,123,123,100,0,-2910,0,42896.1298168339
"2030/2031",2031,123,123,100,0,-2922.5,0,44922.1770599005
"2031/2032",2032,123,123,100,0,-2919.5,0,44379.2702867608
"2032/2033",2033,123,123,100,0,-2931,0,45386.6308648898
"2033/2034",2034,123,123,100,0,-2926.5,0,44061.1267984351
"2034/2035",2035,123,123,100,0,-2934.5,0,43389.9134212472
"2035/2036",2036,123,123,100,0,-2933.5,0,44908.99431396
"2036/2037",2037,123,123,100,0,-2937,0,43480.7591877403
"2037/2038",2038,123,123,100,0,-2908.5,0,44611.4060083451
"2038/2039",2039,123,123,100,0,-2947,0,43258.720754846
"2039/2040",2040,123,123,100,0,-2935,0,43719.9189615464
"2040/2041",2041,123,123,100,0,-2941.5,0,44052.9058339307
"2041/2042",2042,123,123,100,0,-2928,0,44394.8669672264
"2042/2043",2043,123,123,100,0,-2938,0,44039.814503842
"2043/2044",2044,123,123,100,0,-2943,0,44527.5928105954
"2044/2045",2045,123,123,100,0,-2948,0,43835.3331629541
"2045/2046",2046,123,123,100,0,-2931,0,43789.7654239787
"2046/2047",2047,123,123,100,0,-2938.5,0,43255.7163447132
"2047/2048",2048,123,123,100,0,-2912.5,0,44034.3052617246
"2048/2049",2049,123,123,100,0,-2923.5,0,44811.6939156568
"2049/2050",2050,123,123,100,0,-2817,0,43210.99281142
"2050/2051",2051,123,123,100,0,-2931,0,44945.9185758559
"2051/2052",2052,123,123,100,2,-2916.5,0,45034.0788362529
"2052/2053",2053,123,123,100,0,-2932,0,44548.3768341197
"2053/2054",2054,123,123,100,0,-2932.5,0,44744.0152109666
"2054/2055",2055,123,123,100,0,-2928.5,0,44187.601966464
"2055/2056",2056,123,123,100,0,-2902.5,0,44707.166626255
"2056/2057",2057,123,123,100,0,-2932.5,0,45610.9481721101
"2057/2058",2058,123,123,100,0,-2910,0,43761.1028860426
"2058/2059",2059,123,123,100,0,-2940,0,44059.1969588688
"2059/2060",2060,123,123,100,0,-2905.5,0,43593.7039690502
"2060/2061",2061,123,123,100,0,-2911.5,0,44225.7364914436
"2061/2062",2062,123,123,100,0,-2929,0,45376.076683607
"2062/2063",2063,123,123,100,0,-2939.5,0,44080.3951702248
"2063/2064",2064,123,123,100,0,-2876.5,0,44531.9885166353
"2064/2065",2065,123,123,100,0,-2945,0,43469.0134376315
"2065/2066",2066,123,123,100,0,-2907.5,0,43360.385647987
"2066/2067",2067,123,123,100,0,-2928,0,44647.0880192351
"2067/2068",2068,123,123,100,0,-2915.5,0,43922.7292492762
"2068/2069",2069,123,123,100,0,-2934,0,42651.2828717455
"2069/2070",2070,123,123,100,0,-2933,0,43631.5618754644
"2070/2071",2071,123,123,100,0,-2941.5,0,45305.6946556158
"2071/2072",2072,123,123,100,0,-2930.5,0,44702.4530441016
"2072/2073",2073,123,123,100,0,-2873.5,0,43922.216441974
"2073/2074",2074,123,123,100,0,-2919,0,45960.0037886444
"2074/2075",2075,123,123,100,0,-2923,0,45613.0901935529
"2075/2076",2076,123,123,100,0,-2945.5,0,44349.3115431685
"2076/2077",2077,123,123,100,0,-2938.5,0,43930.5846324228
"2077/2078",2078,123,123,100,0,-2929.5,0,44738.9145865012
"2078/2079",2079,123,123,100,0,-2933,0,44612.878848603
"2079/2080",2080,123,123,100,0,-2898.5,0,43725.865689151
"2080/2081",2081,123,123,100,0,-2931,0,45255.7655443028
"2081/2082",2082,123,123,100,0,-2912,0,44671.6702249441
"2082/2083",2083,123,123,100,0,-2939,0,45049.2715481892
"2083/2084",2084,123,123,100,0,-2947,0,43915.6338193621
"2084/2085",2085,123,123,100,0,-2917.5,0,43947.9618022032
"2085/2086",2086,123,123,100,0,-2931,0,43648.4972054362
"2086/2087",2087,123,123,100,0,-2893.5,0,44078.2538643982
"2087/2088",2088,123,123,100,0,-2915,0,44717.3037218787
"2088/2089",2089,123,123,100,0,-2921,0,45390.1467340589
"2089/2090",2090,123,123,100,0,-2940.5,0,44239.0367732197
"2090/2091",2091,123,123,100,0,-2946.5,0,45762.7599682175
"2091/2092",2092,123,123,100,0,-2917,0,44720.0293579083
"2092/2093",2093,123,123,100,0,-2943.5,0,43883.066757286
"2093/2094",2094,123,123,100,0,-2947.5,0,44049.2293933611
"2094/2095",2095,123,123,100,0,-2917.5,0,43940.5271919258
"2095/2096",2096,123,123,100,0,-2944.5,0,45205.2188998871
"2096/2097",2097,123,123,100,0,-2924.5,0,43647.7909833547
"2097/2098",2098,123,123,100,0,-2932.5,0,44424.3626016434
"2098/2099",2099,123,123,100,0,-2912,0,44587.986967383
"2099/2100",2100,123,123,100,0,-2939.5,0,43555.5932389647
