"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2952,0,37728.3649261578
"2000/2001",2001,123,123,100,0,-2948,0,37000.5303966988
"2001/2002",2002,123,123,100,0,-2945,0,36996.7522935228
"2002/2003",2003,123,123,100,0,-2950,0,37917.5555498484
"2003/2004",2004,123,123,100,0,-2952,0,37469.9448533313
"2004/2005",2005,123,123,100,0,-2949,0,36956.7113800918
"2005/2006",2006,123,123,100,0,-2947,0,37258.145392625
"2006/2007",2007,123,123,100,0,-2952,0,37809.6042434119
"2007/2008",2008,123,123,100,0,-2952,0,36563.1731946615
"2008/2009",2009,123,123,100,0,-2950.5,0,37187.3764676522
"2009/2010",2010,123,123,100,0,-2952,0,38672.5137503262
"2010/2011",2011,123,123,100,0,-2951.5,0,36801.2528319408
"2011/2012",2012,123,123,100,0,-2946,0,37845.8436244377
"2012/2013",2013,123,123,100,0,-2951.5,0,38655.5147234194
"2013/2014",2014,123,123,100,0,-2952,0,36819.1115579468
"2014/2015",2015,123,123,100,0,-2947,0,37059.8334686917
"2015/2016",2016,123,123,100,0,-2952,0,36578.9982306745
"2016/2017",2017,123,123,100,0,-2952,0,35393.7266982622
"2017/2018",2018,123,123,100,0,-2952,0,36240.3851901302
"2018/2019",2019,123,123,100,0,-2929,0,38219.1057873438
"2019/2020",2020,123,123,100,0,-2949.5,0,37533.8951693536
"2020/2021",2021,123,123,100,0,-2947.5,0,37405.9644622647
"2021/2022",2022,123,123,100,0,-2952,0,36587.5270143445
"2022/2023",2023,123,123,100,0,-2940,0,36311.1929277489
"2023/2024",2024,123,123,100,0,-2952,0,37443.1686661723
"2024/2025",2025,123,123,100,0,-2948.5,0,37169.9542747703
"2025/2026",2026,123,123,100,0,-2948,0,37119.8224350912
"2026/2027",2027,123,123,100,0,-2952,0,35927.9939423944
"2027/2028",2028,123,123,100,0,-2952,0,36384.5767181544
"2028/2029",2029,123,123,100,0,-2939,0,38541.0265808334
"2029/2030",2030,123,123,100,0,-2938,0,35756.5819684649
"2030/2031",2031,123,123,100,0,-2949,0,38122.6337688756
"2031/2032",2032,123,123,100,0,-2948.5,0,37027.9183824849
"2032/2033",2033,123,123,100,0,-2949.5,0,38596.6616551555
"2033/2034",2034,123,123,100,0,-2952,0,37240.2581596505
"2034/2035",2035,123,123,100,0,-2952,0,35910.1152860583
"2035/2036",2036,123,123,100,0,-2951,0,37296.662505656
"2036/2037",2037,123,123,100,0,-2952,0,36624.6367502506
"2037/2038",2038,123,123,100,0,-2946.5,0,38189.6013043015
"2038/2039",2039,123,123,100,0,-2952,0,35950.5717445761
"2039/2040",2040,123,123,100,0,-2952,0,36600.4324592981
"2040/2041",2041,123,123,100,0,-2952,0,36870.5570215667
"2041/2042",2042,123,123,100,0,-2951,0,37400.4131730306
"2042/2043",2043,123,123,100,0,-2952,0,36768.4156618482
"2043/2044",2044,123,123,100,0,-2952,0,37120.9545230065
"2044/2045",2045,123,123,100,0,-2952,0,36168.0103666056
"2045/2046",2046,123,123,100,0,-2949.5,0,36208.8850926338
"2046/2047",2047,123,123,100,0,-2952,0,35892.3040832318
"2047/2048",2048,123,123,100,0,-2939.5,0,36990.019839786
"2048/2049",2049,123,123,100,0,-2951.5,0,38326.8429994984
"2049/2050",2050,123,123,100,0,-2937,0,37403.445036009
"2050/2051",2051,123,123,100,0,-2952,0,38208.6776431585
"2051/2052",2052,123,123,100,0,-2940.5,0,38454.0759195145
"2052/2053",2053,123,123,100,0,-2951,0,38019.545302893
"2053/2054",2054,123,123,100,0,-2951.5,0,37818.3508223211
"2054/2055",2055,123,123,100,0,-2952,0,37317.5099380389
"2055/2056",2056,123,123,100,0,-2947.5,0,38130.9743996561
"2056/2057",2057,123,123,100,0,-2952,0,38774.1605560016
"2057/2058",2058,123,123,100,0,-2945.5,0,37265.1168066561
"2058/2059",2059,123,123,100,0,-2952,0,37099.3324436881
"2059/2060",2060,123,123,100,0,-2948,0,37043.724556989
"2060/2061",2061,123,123,100,0,-2944,0,36734.0603147
"2061/2062",2062,123,123,100,0,-2952,0,38337.1691564964
"2062/2063",2063,123,123,100,0,-2952,0,37057.2193170357
"2063/2064",2064,123,123,100,0,-2938,0,38291.4345934521
"2064/2065",2065,123,123,100,0,-2952,0,36193.2416162034
"2065/2066",2066,123,123,100,0,-2950.5,0,36743.6365617532
"2066/2067",2067,123,123,100,0,-2952,0,37661.4014619663
"2067/2068",2068,123,123,100,0,-2945.5,0,36926.570090781
"2068/2069",2069,123,123,100,0,-2951.5,0,35199.0902949153
"2069/2070",2070,123,123,100,0,-2952,0,36330.3196945051
"2070/2071",2071,123,123,100,0,-2952,0,38575.4441131251
"2071/2072",2072,123,123,100,0,-2951.5,0,37833.6315650409
"2072/2073",2073,123,123,100,0,-2936.5,0,37942.6633027373
"2073/2074",2074,123,123,100,0,-2952,0,39768.2642600108
"2074/2075",2075,123,123,100,0,-2949.5,0,38663.4567861669
"2075/2076",2076,123,123,100,0,-2952,0,37075.851290917
"2076/2077",2077,123,123,100,0,-2952,0,36847.1202071151
"2077/2078",2078,123,123,100,0,-2952,0,37810.1312717749
"2078/2079",2079,123,123,100,0,-2951,0,37685.4231969053
"2079/2080",2080,123,123,100,0,-2936.5,0,36938.7901369464
"2080/2081",2081,123,123,100,0,-2952,0,38725.6980802063
"2081/2082",2082,123,123,100,0,-2949,0,38311.7397426469
"2082/2083",2083,123,123,100,0,-2951.5,0,37855.710048385
"2083/2084",2084,123,123,100,0,-2952,0,36886.5652157906
"2084/2085",2085,123,123,100,0,-2952,0,37527.2393757571
"2085/2086",2086,123,123,100,0,-2947.5,0,36100.4556605257
"2086/2087",2087,123,123,100,0,-2942.5,0,38192.0273402054
"2087/2088",2088,123,123,100,0,-2949.5,0,37809.0166124627
"2088/2089",2089,123,123,100,0,-2948.5,0,38592.7914534509
"2089/2090",2090,123,123,100,0,-2952,0,36896.8157204781
"2090/2091",2091,123,123,100,0,-2952,0,38240.4225720372
"2091/2092",2092,123,123,100,0,-2952,0,38156.3593278546
"2092/2093",2093,123,123,100,0,-2952,0,36086.3801805656
"2093/2094",2094,123,123,100,0,-2952,0,36226.8561151046
"2094/2095",2095,123,123,100,0,-2951,0,37181.6654600389
"2095/2096",2096,123,123,100,0,-2952,0,38143.3560570646
"2096/2097",2097,123,123,100,0,-2951.5,0,36471.3306332435
"2097/2098",2098,123,123,100,0,-2952,0,37133.2058006935
"2098/2099",2099,123,123,100,0,-2950,0,38206.2040860262
"2099/2100",2100,123,123,100,0,-2952,0,36115.6305084378
