"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2952,0,29818.4243256564
"2000/2001",2001,123,123,100,0,-2952,0,29026.2002825029
"2001/2002",2002,123,123,100,0,-2949,0,28991.3696378337
"2002/2003",2003,123,123,100,0,-2952,0,29900.6286428336
"2003/2004",2004,123,123,100,0,-2952,0,29435.8265608763
"2004/2005",2005,123,123,100,0,-2950.5,0,29081.9843024558
"2005/2006",2006,123,123,100,0,-2950.5,0,29349.3283296444
"2006/2007",2007,123,123,100,0,-2952,0,30243.6846882517
"2007/2008",2008,123,123,100,0,-2952,0,28885.3931325666
"2008/2009",2009,123,123,100,0,-2952,0,29414.0504979388
"2009/2010",2010,123,123,100,0,-2952,0,30756.7679114718
"2010/2011",2011,123,123,100,0,-2952,0,28489.4885846175
"2011/2012",2012,123,123,100,0,-2951,0,30177.8296439798
"2012/2013",2013,123,123,100,0,-2952,0,30709.7681110452
"2013/2014",2014,123,123,100,0,-2952,0,28814.3041497739
"2014/2015",2015,123,123,100,0,-2952,0,29408.0341027775
"2015/2016",2016,123,123,100,0,-2952,0,28558.1023665371
"2016/2017",2017,123,123,100,0,-2952,0,27352.1007715764
"2017/2018",2018,123,123,100,0,-2952,0,28063.6201554704
"2018/2019",2019,123,123,100,0,-2944.5,0,31091.9753151024
"2019/2020",2020,123,123,100,0,-2952,0,29794.4348832914
"2020/2021",2021,123,123,100,0,-2950.5,0,29426.489978286
"2021/2022",2022,123,123,100,0,-2952,0,28708.8203081668
"2022/2023",2023,123,123,100,0,-2948,0,28100.7839971608
"2023/2024",2024,123,123,100,0,-2952,0,30101.7476784587
"2024/2025",2025,123,123,100,0,-2952,0,29461.0471536464
"2025/2026",2026,123,123,100,0,-2951.5,0,29330.0502444585
"2026/2027",2027,123,123,100,0,-2952,0,27983.7573582209
"2027/2028",2028,123,123,100,0,-2952,0,28540.6778381444
"2028/2029",2029,123,123,100,0,-2942,0,30408.8199016326
"2029/2030",2030,123,123,100,0,-2941.5,0,27902.2302196766
"2030/2031",2031,123,123,100,0,-2952,0,30144.7828929159
"2031/2032",2032,123,123,100,0,-2952,0,28694.6080482602
"2032/2033",2033,123,123,100,0,-2951.5,0,30602.8714577523
"2033/2034",2034,123,123,100,0,-2952,0,29367.626993699
"2034/2035",2035,123,123,100,0,-2952,0,27869.9427475333
"2035/2036",2036,123,123,100,0,-2952,0,28890.0142226946
"2036/2037",2037,123,123,100,0,-2952,0,28831.3819605806
"2037/2038",2038,123,123,100,0,-2951.5,0,30501.113575343
"2038/2039",2039,123,123,100,0,-2952,0,27958.2508833255
"2039/2040",2040,123,123,100,0,-2952,0,28589.207814083
"2040/2041",2041,123,123,100,0,-2952,0,28780.3282111706
"2041/2042",2042,123,123,100,0,-2952,0,29440.0509815733
"2042/2043",2043,123,123,100,0,-2952,0,28672.4465484181
"2043/2044",2044,123,123,100,0,-2952,0,29039.482954022
"2044/2045",2045,123,123,100,0,-2952,0,27851.1422807332
"2045/2046",2046,123,123,100,0,-2952,0,27987.6240322683
"2046/2047",2047,123,123,100,0,-2952,0,27838.8157938109
"2047/2048",2048,123,123,100,0,-2947,0,29104.036304839
"2048/2049",2049,123,123,100,0,-2952,0,30554.1367415749
"2049/2050",2050,123,123,100,0,-2950.5,0,30194.0562438658
"2050/2051",2051,123,123,100,0,-2952,0,30413.3016860513
"2051/2052",2052,123,123,100,0,-2945,0,30571.3005055245
"2052/2053",2053,123,123,100,0,-2952,0,30396.3966235006
"2053/2054",2054,123,123,100,0,-2952,0,29758.1620654706
"2054/2055",2055,123,123,100,0,-2952,0,29401.5118426606
"2055/2056",2056,123,123,100,0,-2952,0,30395.2735986132
"2056/2057",2057,123,123,100,0,-2952,0,30639.5736821387
"2057/2058",2058,123,123,100,0,-2948.5,0,29755.9405537024
"2058/2059",2059,123,123,100,0,-2952,0,29148.3778145378
"2059/2060",2060,123,123,100,0,-2952,0,29448.4931726996
"2060/2061",2061,123,123,100,0,-2950,0,28613.4041522453
"2061/2062",2062,123,123,100,0,-2952,0,30151.0082928548
"2062/2063",2063,123,123,100,0,-2952,0,29027.3594189286
"2063/2064",2064,123,123,100,0,-2952,0,30540.1774771679
"2064/2065",2065,123,123,100,0,-2952,0,28116.6697292123
"2065/2066",2066,123,123,100,0,-2952,0,29097.2201953754
"2066/2067",2067,123,123,100,0,-2952,0,29670.967218753
"2067/2068",2068,123,123,100,0,-2950.5,0,29047.2687051669
"2068/2069",2069,123,123,100,0,-2952,0,27321.3712515496
"2069/2070",2070,123,123,100,0,-2952,0,28238.7726595476
"2070/2071",2071,123,123,100,0,-2952,0,30655.4192581745
"2071/2072",2072,123,123,100,0,-2952,0,30004.8681715671
"2072/2073",2073,123,123,100,0,-2944.5,0,30508.2129525794
"2073/2074",2074,123,123,100,0,-2952,0,31983.5550480355
"2074/2075",2075,123,123,100,0,-2951.5,0,30487.5235820925
"2075/2076",2076,123,123,100,0,-2952,0,28945.613982887
"2076/2077",2077,123,123,100,0,-2952,0,28897.1980840042
"2077/2078",2078,123,123,100,0,-2952,0,29698.9116415903
"2078/2079",2079,123,123,100,0,-2952,0,29654.0270008733
"2079/2080",2080,123,123,100,0,-2946,0,29096.1304923855
"2080/2081",2081,123,123,100,0,-2952,0,30896.283544491
"2081/2082",2082,123,123,100,0,-2952,0,30625.5387632065
"2082/2083",2083,123,123,100,0,-2952,0,29556.7897774419
"2083/2084",2084,123,123,100,0,-2952,0,28975.5633895239
"2084/2085",2085,123,123,100,0,-2952,0,30035.2866541492
"2085/2086",2086,123,123,100,0,-2950,0,27844.6561723324
"2086/2087",2087,123,123,100,0,-2947.5,0,31067.2990594646
"2087/2088",2088,123,123,100,0,-2952,0,29802.6327387691
"2088/2089",2089,123,123,100,0,-2952,0,30638.2622372853
"2089/2090",2090,123,123,100,0,-2952,0,28732.302603445
"2090/2091",2091,123,123,100,0,-2952,0,29679.913711885
"2091/2092",2092,123,123,100,0,-2952,0,30294.8844404193
"2092/2093",2093,123,123,100,0,-2952,0,27753.5165033853
"2093/2094",2094,123,123,100,0,-2952,0,27663.5619611302
"2094/2095",2095,123,123,100,0,-2952,0,29508.4820766011
"2095/2096",2096,123,123,100,0,-2952,0,29932.6577784913
"2096/2097",2097,123,123,100,0,-2952,0,28414.1442313567
"2097/2098",2098,123,123,100,0,-2952,0,28947.3724740548
"2098/2099",2099,123,123,100,0,-2952,0,30593.1342596412
"2099/2100",2100,123,123,100,0,-2952,0,28009.9005900025
