"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2906.5,0,49310.5711648976
"2000/2001",2001,123,123,100,0,-2902.5,0,49173.7655467646
"2001/2002",2002,123,123,100,0,-2885,0,49244.2760145549
"2002/2003",2003,123,123,100,0,-2902.5,0,49706.3979933834
"2003/2004",2004,123,123,100,0,-2913,0,49846.191745883
"2004/2005",2005,123,123,100,0,-2922,0,48773.8680586215
"2005/2006",2006,123,123,100,0,-2885.5,0,49243.0476532293
"2006/2007",2007,123,123,100,0,-2889.5,0,49111.9089023195
"2007/2008",2008,123,123,100,0,-2880,0,46876.4574650726
"2008/2009",2009,123,123,100,0,-2877.5,0,48659.9090437461
"2009/2010",2010,123,123,100,0,-2916,0,50616.6006182993
"2010/2011",2011,123,123,100,0,-2926.5,0,49920.7766325334
"2011/2012",2012,123,123,100,0,-2870.5,0,49030.9380306669
"2012/2013",2013,123,123,100,0,-2893.5,0,50747.5687548395
"2013/2014",2014,123,123,100,0,-2902.5,0,49057.8953437451
"2014/2015",2015,123,123,100,0,-2898.5,0,48399.5224141823
"2015/2016",2016,123,123,100,0,-2912.5,0,48718.0065642907
"2016/2017",2017,123,123,100,0,-2922,0,47399.7425539079
"2017/2018",2018,123,123,100,0,-2923,0,48845.4609886571
"2018/2019",2019,123,123,100,0,-2820,0,48810.5811611656
"2019/2020",2020,123,123,100,0,-2892.5,0,49150.9596352899
"2020/2021",2021,123,123,100,0,-2915,0,49238.5747085889
"2021/2022",2022,123,123,100,0,-2909,0,48134.4670127402
"2022/2023",2023,123,123,100,0,-2904,0,49081.2344284575
"2023/2024",2024,123,123,100,0,-2884,0,48572.5769651006
"2024/2025",2025,123,123,100,0,-2902.5,0,47978.9259619191
"2025/2026",2026,123,123,100,0,-2900.5,0,48673.2514771647
"2026/2027",2027,123,123,100,0,-2928.5,0,48351.0898137344
"2027/2028",2028,123,123,100,0,-2909.5,0,47730.3354933891
"2028/2029",2029,123,123,100,0,-2899.5,0,50773.1993618971
"2029/2030",2030,123,123,100,0,-2893.5,0,47549.7518373798
"2030/2031",2031,123,123,100,0,-2918,0,49984.4193011867
"2031/2032",2032,123,123,100,0,-2903.5,0,49905.186542002
"2032/2033",2033,123,123,100,0,-2903,0,50914.3246971359
"2033/2034",2034,123,123,100,0,-2895,0,48850.2668382637
"2034/2035",2035,123,123,100,0,-2933.5,0,48345.9536728244
"2035/2036",2036,123,123,100,0,-2937.5,0,50725.0169247119
"2036/2037",2037,123,123,100,0,-2909.5,0,47706.2782075992
"2037/2038",2038,123,123,100,0,-2893,0,49523.3938942235
"2038/2039",2039,123,123,100,0,-2932,0,48183.1045067776
"2039/2040",2040,123,123,100,0,-2916,0,48749.4856889686
"2040/2041",2041,123,123,100,0,-2921,0,49032.6237531304
"2041/2042",2042,123,123,100,0,-2901.5,0,49463.8292915374
"2042/2043",2043,123,123,100,0,-2920.5,0,49328.5755772879
"2043/2044",2044,123,123,100,0,-2922.5,0,49733.9933738634
"2044/2045",2045,123,123,100,0,-2941,0,49205.171853302
"2045/2046",2046,123,123,100,0,-2929,0,48474.4267417165
"2046/2047",2047,123,123,100,0,-2923,0,47891.3257039012
"2047/2048",2048,123,123,100,0,-2877,0,48929.7437143521
"2048/2049",2049,123,123,100,0,-2894.5,0,49319.4936091071
"2049/2050",2050,123,123,100,0,-2817,0,47499.9634914165
"2050/2051",2051,123,123,100,0,-2896,0,49301.7386207106
"2051/2052",2052,123,123,100,0,-2898,0,50329.210110588
