"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2952,0,37515.8145184353
"2000/2001",2001,123,123,100,0,-2952,0,37366.6441905745
"2001/2002",2002,123,123,100,0,-2952,0,36232.5738596201
"2002/2003",2003,123,123,100,0,-2952,0,37401.1050362654
"2003/2004",2004,123,123,100,0,-2952,0,37412.7532874722
"2004/2005",2005,123,123,100,0,-2943.5,0,36273.0887919726
"2005/2006",2006,123,123,100,0,-2950,0,37998.0069281517
"2006/2007",2007,123,123,100,0,-2936,0,38092.383578543
"2007/2008",2008,123,123,100,0,-2952,0,34285.7185097467
"2008/2009",2009,123,123,100,0,-2952,0,36360.1050817529
"2009/2010",2010,123,123,100,0,-2952,0,36660.8271617435
"2010/2011",2011,123,123,100,0,-2952,0,37391.7015357572
"2011/2012",2012,123,123,100,0,-2952,0,36186.702243428
"2012/2013",2013,123,123,100,0,-2952,0,37135.2707590638
"2013/2014",2014,123,123,100,0,-2952,0,36897.1824791939
"2014/2015",2015,123,123,100,0,-2952,0,35127.9190681828
"2015/2016",2016,123,123,100,0,-2952,0,35703.9804150697
"2016/2017",2017,123,123,100,0,-2952,0,35676.0490506873
"2017/2018",2018,123,123,100,0,-2952,0,38298.5534321868
"2018/2019",2019,123,123,100,0,-2952,0,36585.468125358
"2019/2020",2020,123,123,100,0,-2952,0,35671.3692958332
"2020/2021",2021,123,123,100,0,-2952,0,35998.9977931795
"2021/2022",2022,123,123,100,0,-2952,0,35205.3275857395
"2022/2023",2023,123,123,100,0,-2951.5,0,38633.4692174722
"2023/2024",2024,123,123,100,0,-2947.5,0,33591.7433173368
"2024/2025",2025,123,123,100,0,-2943,0,36588.766970404
"2025/2026",2026,123,123,100,0,-2951,0,37945.3075641454
"2026/2027",2027,123,123,100,0,-2952,0,34874.1156166075
"2027/2028",2028,123,123,100,0,-2952,0,35657.0382264829
"2028/2029",2029,123,123,100,0,-2952,0,37933.4409576952
"2029/2030",2030,123,123,100,0,-2952,0,35341.4131165496
"2030/2031",2031,123,123,100,0,-2952,0,37289.1549415793
"2031/2032",2032,123,123,100,0,-2951.5,0,38086.2742234231
"2032/2033",2033,123,123,100,0,-2952,0,36449.8672937169
"2033/2034",2034,123,123,100,0,-2949,0,35331.9960383223
"2034/2035",2035,123,123,100,0,-2942,0,37741.7915188023
"2035/2036",2036,123,123,100,0,-2952,0,39707.5102264588
"2036/2037",2037,123,123,100,0,-2952,0,35071.9070748147
"2037/2038",2038,123,123,100,0,-2951.5,0,35187.0565374019
"2038/2039",2039,123,123,100,0,-2952,0,34615.2972056689
"2039/2040",2040,123,123,100,0,-2952,0,35854.4529323103
"2040/2041",2041,123,123,100,0,-2952,0,36396.7570500579
"2041/2042",2042,123,123,100,0,-2952,0,35552.533459371
"2042/2043",2043,123,123,100,0,-2952,0,36658.0025275964
"2043/2044",2044,123,123,100,0,-2951.5,0,37612.1583980946
"2044/2045",2045,123,123,100,0,-2952,0,36971.3651795778
"2045/2046",2046,123,123,100,0,-2952,0,38360.3523111809
"2046/2047",2047,123,123,100,0,-2952,0,35411.0452197883
"2047/2048",2048,123,123,100,0,-2952,0,36675.4332329938
"2048/2049",2049,123,123,100,0,-2952,0,37529.1677744752
"2049/2050",2050,123,123,100,0,-2944.5,0,37116.6211884469
"2050/2051",2051,123,123,100,0,-2950.5,0,36777.117865569
"2051/2052",2052,123,123,100,0,-2952,0,36850.7974478165
"2052/2053",2053,123,123,100,0,-2949.5,0,35784.2955589835
"2053/2054",2054,123,123,100,0,-2952,0,36906.3839573693
"2054/2055",2055,123,123,100,0,-2952,0,35752.0159768611
"2055/2056",2056,123,123,100,0,-2952,0,36790.1999048647
"2056/2057",2057,123,123,100,0,-2945,0,38333.3350103982
"2057/2058",2058,123,123,100,0,-2952,0,34232.3997130841
"2058/2059",2059,123,123,100,0,-2952,0,35797.9921584055
"2059/2060",2060,123,123,100,0,-2952,0,35695.2715019835
"2060/2061",2061,123,123,100,0,-2952,0,38228.9577341992
"2061/2062",2062,123,123,100,0,-2952,0,38349.1217363114
"2062/2063",2063,123,123,100,0,-2951.5,0,36696.3611144461
"2063/2064",2064,123,123,100,0,-2952,0,36510.8940301193
"2064/2065",2065,123,123,100,0,-2952,0,35695.4119199784
"2065/2066",2066,123,123,100,0,-2952,0,35154.6358695691
"2066/2067",2067,123,123,100,0,-2952,0,36335.6176958205
"2067/2068",2068,123,123,100,0,-2952,0,36647.5304807983
"2068/2069",2069,123,123,100,0,-2952,0,34380.707599164
"2069/2070",2070,123,123,100,0,-2952,0,36673.7596898675
"2070/2071",2071,123,123,100,0,-2952,0,36544.8053602716
"2071/2072",2072,123,123,100,0,-2952,0,35861.7739919648
"2072/2073",2073,123,123,100,0,-2950.5,0,34007.6888935706
"2073/2074",2074,123,123,100,0,-2952,0,36317.3161627539
"2074/2075",2075,123,123,100,0,-2950,0,38226.431826327
"2075/2076",2076,123,123,100,0,-2952,0,36653.7498113858
"2076/2077",2077,123,123,100,0,-2952,0,36056.2571784528
"2077/2078",2078,123,123,100,0,-2952,0,37139.7203124408
"2078/2079",2079,123,123,100,0,-2952,0,35782.3644134477
"2079/2080",2080,123,123,100,0,-2952,0,35093.9235702623
"2080/2081",2081,123,123,100,0,-2952,0,35728.779308198
"2081/2082",2082,123,123,100,0,-2952,0,36494.9387407396
"2082/2083",2083,123,123,100,0,-2952,0,37347.4452682659
"2083/2084",2084,123,123,100,0,-2952,0,35421.0972869601
"2084/2085",2085,123,123,100,0,-2952,0,36090.6911905743
"2085/2086",2086,123,123,100,0,-2952,0,36868.2386515923
"2086/2087",2087,123,123,100,0,-2952,0,33445.9215979911
"2087/2088",2088,123,123,100,0,-2952,0,38282.375645902
"2088/2089",2089,123,123,100,0,-2952,0,37720.1361890286
"2089/2090",2090,123,123,100,0,-2952,0,36813.693125613
"2090/2091",2091,123,123,100,0,-2952,0,39431.0634159092
"2091/2092",2092,123,123,100,0,-2951,0,36817.4072091207
"2092/2093",2093,123,123,100,0,-2952,0,38601.4437960945
"2093/2094",2094,123,123,100,0,-2952,0,37994.7455453612
"2094/2095",2095,123,123,100,0,-2945.5,0,35247.0894420762
"2095/2096",2096,123,123,100,0,-2952,0,36755.0872229747
"2096/2097",2097,123,123,100,0,-2952,0,36553.356279362
"2097/2098",2098,123,123,100,0,-2950,0,38664.6958809718
"2098/2099",2099,123,123,100,0,-2952,0,35926.5456287954
"2099/2100",2100,123,123,100,0,-2947.5,0,37138.7020424381
