"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2952,0,44600.6147557353
"2000/2001",2001,123,123,100,0,-2952,0,44535.1893134995
"2001/2002",2002,123,123,100,0,-2950,0,43689.7115974663
"2002/2003",2003,123,123,100,0,-2951.5,0,44558.6323693334
"2003/2004",2004,123,123,100,0,-2952,0,44509.5204333093
"2004/2005",2005,123,123,100,0,-2939,0,43762.4522696225
"2005/2006",2006,123,123,100,0,-2942,0,44811.4784916807
"2006/2007",2007,123,123,100,0,-2918,0,44735.8823903744
"2007/2008",2008,123,123,100,0,-2950,0,42401.3576095693
"2008/2009",2009,123,123,100,0,-2952,0,43803.527099686
"2009/2010",2010,123,123,100,0,-2952,0,43932.1924495588
"2010/2011",2011,123,123,100,0,-2952,0,44633.9089492171
"2011/2012",2012,123,123,100,0,-2952,0,43604.5942164105
"2012/2013",2013,123,123,100,0,-2951.5,0,44111.2075905844
"2013/2014",2014,123,123,100,0,-2952,0,44222.3419922255
"2014/2015",2015,123,123,100,0,-2952,0,43056.7395470834
"2015/2016",2016,123,123,100,0,-2952,0,43402.5770906652
"2016/2017",2017,123,123,100,0,-2952,0,43693.4609678201
"2017/2018",2018,123,123,100,0,-2952,0,45272.3350557047
"2018/2019",2019,123,123,100,0,-2952,0,43634.3129749494
"2019/2020",2020,123,123,100,0,-2952,0,43237.0253319894
"2020/2021",2021,123,123,100,0,-2950.5,0,43570.7731176843
"2021/2022",2022,123,123,100,0,-2947,0,43077.0995870386
"2022/2023",2023,123,123,100,0,-2946,0,45590.2226693104
"2023/2024",2024,123,123,100,0,-2944,0,41682.2381753363
"2024/2025",2025,123,123,100,0,-2928.5,0,43889.7398539456
"2025/2026",2026,123,123,100,0,-2943.5,0,44960.4789703409
"2026/2027",2027,123,123,100,0,-2952,0,42949.3291138895
"2027/2028",2028,123,123,100,0,-2952,0,43369.5334444763
"2028/2029",2029,123,123,100,0,-2952,0,44763.5705371895
"2029/2030",2030,123,123,100,0,-2952,0,43306.3283207593
"2030/2031",2031,123,123,100,0,-2949,0,44432.3247530265
"2031/2032",2032,123,123,100,0,-2948,0,45007.3789167749
"2032/2033",2033,123,123,100,0,-2952,0,43701.2461991226
"2033/2034",2034,123,123,100,0,-2945,0,43092.5224553505
"2034/2035",2035,123,123,100,0,-2935,0,44822.8032479268
"2035/2036",2036,123,123,100,0,-2952,0,46150.0580566023
"2036/2037",2037,123,123,100,0,-2951.5,0,43009.1670576334
"2037/2038",2038,123,123,100,0,-2947,0,42771.4660678133
"2038/2039",2039,123,123,100,0,-2952,0,42748.2111426564
"2039/2040",2040,123,123,100,0,-2952,0,43594.3258413468
"2040/2041",2041,123,123,100,0,-2952,0,43819.2466346323
"2041/2042",2042,123,123,100,0,-2952,0,43057.7642500186
"2042/2043",2043,123,123,100,0,-2952,0,44181.2199509796
"2043/2044",2044,123,123,100,0,-2945,0,44695.1695687203
"2044/2045",2045,123,123,100,0,-2952,0,44385.3643062254
"2045/2046",2046,123,123,100,0,-2952,0,45569.5931568481
"2046/2047",2047,123,123,100,0,-2952,0,43221.4188749027
"2047/2048",2048,123,123,100,0,-2952,0,44117.8652833896
"2048/2049",2049,123,123,100,0,-2952,0,44602.615521403
"2049/2050",2050,123,123,100,0,-2935,0,44068.8231215021
"2050/2051",2051,123,123,100,0,-2946.5,0,44000.3060558494
"2051/2052",2052,123,123,100,0,-2952,0,43880.6694513625
"2052/2053",2053,123,123,100,0,-2944.5,0,43195.8780452413
"2053/2054",2054,123,123,100,0,-2949.5,0,44108.0950832078
"2054/2055",2055,123,123,100,0,-2952,0,43303.902949146
