"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2952,0,25451.9126613649
"2000/2001",2001,123,123,100,0,-2952,0,24948.3499102601
"2001/2002",2002,123,123,100,0,-2952,0,24485.8814922738
"2002/2003",2003,123,123,100,0,-2952,0,25392.5068583294
"2003/2004",2004,123,123,100,0,-2952,0,25270.1713638972
"2004/2005",2005,123,123,100,0,-2951.5,0,24863.9022631253
"2005/2006",2006,123,123,100,0,-2952,0,25057.1015584156
"2006/2007",2007,123,123,100,0,-2952,0,26122.6826142039
"2007/2008",2008,123,123,100,0,-2952,0,23956.447501351
"2008/2009",2009,123,123,100,0,-2952,0,24835.255988038
"2009/2010",2010,123,123,100,0,-2952,0,26192.7073422219
"2010/2011",2011,123,123,100,0,-2952,0,24383.2133559788
"2011/2012",2012,123,123,100,0,-2952,0,25645.6432435171
"2012/2013",2013,123,123,100,0,-2952,0,26486.1886679074
"2013/2014",2014,123,123,100,0,-2952,0,24519.0106541058
"2014/2015",2015,123,123,100,0,-2952,0,25126.0218165729
"2015/2016",2016,123,123,100,0,-2952,0,24171.7224148798
"2016/2017",2017,123,123,100,0,-2952,0,23089.3784774051
"2017/2018",2018,123,123,100,0,-2952,0,24196.8718434477
"2018/2019",2019,123,123,100,0,-2952,0,26790.6374070502
"2019/2020",2020,123,123,100,0,-2952,0,25608.1791867856
"2020/2021",2021,123,123,100,0,-2952,0,24732.7041946207
"2021/2022",2022,123,123,100,0,-2952,0,23848.7325600821
"2022/2023",2023,123,123,100,0,-2952,0,23900.6949570538
"2023/2024",2024,123,123,100,0,-2952,0,25713.3793604739
"2024/2025",2025,123,123,100,0,-2952,0,24642.8603601637
"2025/2026",2026,123,123,100,0,-2952,0,25179.7155528124
"2026/2027",2027,123,123,100,0,-2952,0,23650.3114569578
"2027/2028",2028,123,123,100,0,-2952,0,24037.2264428532
"2028/2029",2029,123,123,100,0,-2952,0,26263.5011569546
"2029/2030",2030,123,123,100,0,-2947.5,0,23343.6400507744
