"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2952,0,26767.3361351648
"2000/2001",2001,123,123,100,0,-2952,0,26230.4389859654
"2001/2002",2002,123,123,100,0,-2952,0,25845.9003991632
"2002/2003",2003,123,123,100,0,-2952,0,26890.6833271698
"2003/2004",2004,123,123,100,0,-2952,0,26561.0651320902
"2004/2005",2005,123,123,100,0,-2952,0,26119.9433203826
"2005/2006",2006,123,123,100,0,-2952,0,26397.9910483956
"2006/2007",2007,123,123,100,0,-2952,0,27234.2297024911
"2007/2008",2008,123,123,100,0,-2952,0,25299.0683381307
"2008/2009",2009,123,123,100,0,-2952,0,26201.9181021862
"2009/2010",2010,123,123,100,0,-2952,0,27554.5288976107
"2010/2011",2011,123,123,100,0,-2952,0,25659.0391251741
"2011/2012",2012,123,123,100,0,-2952,0,26984.0636426059
"2012/2013",2013,123,123,100,0,-2952,0,27836.2485005819
"2013/2014",2014,123,123,100,0,-2952,0,25776.9284072663
"2014/2015",2015,123,123,100,0,-2952,0,26296.5726382767
"2015/2016",2016,123,123,100,0,-2952,0,25502.6078218149
"2016/2017",2017,123,123,100,0,-2952,0,24260.2010217591
"2017/2018",2018,123,123,100,0,-2952,0,25276.0131718698
"2018/2019",2019,123,123,100,0,-2952,0,27969.327599436
"2019/2020",2020,123,123,100,0,-2952,0,26870.9478077842
"2020/2021",2021,123,123,100,0,-2952,0,26239.3707335398
"2021/2022",2022,123,123,100,0,-2952,0,25173.8382927149
"2022/2023",2023,123,123,100,0,-2952,0,25127.3827483302
"2023/2024",2024,123,123,100,0,-2952,0,26885.8602382599
"2024/2025",2025,123,123,100,0,-2952,0,26032.7530547762
"2025/2026",2026,123,123,100,0,-2952,0,26462.5725449284
"2026/2027",2027,123,123,100,0,-2952,0,24786.4000012435
"2027/2028",2028,123,123,100,0,-2952,0,25308.2494413427
"2028/2029",2029,123,123,100,0,-2952,0,27699.8224463435
"2029/2030",2030,123,123,100,0,-2948,0,24580.3761563562
"2030/2031",2031,123,123,100,0,-2952,0,27335.8417400788
"2031/2032",2032,123,123,100,0,-2952,0,25910.9153726669
"2032/2033",2033,123,123,100,0,-2952,0,27736.2497450272
"2033/2034",2034,123,123,100,0,-2952,0,26271.1769106071
"2034/2035",2035,123,123,100,0,-2952,0,24755.6401191778
"2035/2036",2036,123,123,100,0,-2952,0,26181.8486355599
"2036/2037",2037,123,123,100,0,-2952,0,25637.6890039416
"2037/2038",2038,123,123,100,0,-2952,0,27802.6056456664
"2038/2039",2039,123,123,100,0,-2952,0,24751.9968927121
"2039/2040",2040,123,123,100,0,-2952,0,25468.0584249794
"2040/2041",2041,123,123,100,0,-2952,0,25669.0941339191
"2041/2042",2042,123,123,100,0,-2952,0,26568.6469338471
"2042/2043",2043,123,123,100,0,-2952,0,25559.5887286616
"2043/2044",2044,123,123,100,0,-2952,0,25888.2848634403
"2044/2045",2045,123,123,100,0,-2952,0,24861.0303430972
"2045/2046",2046,123,123,100,0,-2952,0,24732.6579509503
"2046/2047",2047,123,123,100,0,-2952,0,24725.6613273644
"2047/2048",2048,123,123,100,0,-2952,0,26083.6205139309
"2048/2049",2049,123,123,100,0,-2952,0,27221.8181762081
"2049/2050",2050,123,123,100,0,-2952,0,27544.730847565
"2050/2051",2051,123,123,100,0,-2952,0,27428.2362478087
"2051/2052",2052,123,123,100,0,-2952,0,27705.9235771177
"2052/2053",2053,123,123,100,0,-2952,0,27219.0162306889
"2053/2054",2054,123,123,100,0,-2952,0,26777.9040717776
"2054/2055",2055,123,123,100,0,-2952,0,26493.4761061706
"2055/2056",2056,123,123,100,0,-2952,0,27556.3518571565
"2056/2057",2057,123,123,100,0,-2952,0,27968.5102168201
"2057/2058",2058,123,123,100,0,-2952,0,26614.9416202996
"2058/2059",2059,123,123,100,0,-2952,0,25951.3252807287
"2059/2060",2060,123,123,100,0,-2952,0,26370.3160051396
"2060/2061",2061,123,123,100,0,-2952,0,26156.0895091789
"2061/2062",2062,123,123,100,0,-2952,0,27334.8871925566
"2062/2063",2063,123,123,100,0,-2952,0,25858.0485445531
"2063/2064",2064,123,123,100,0,-2952,0,27897.6909579122
"2064/2065",2065,123,123,100,0,-2952,0,25010.4135268144
"2065/2066",2066,123,123,100,0,-2952,0,25955.4657488614
"2066/2067",2067,123,123,100,0,-2952,0,26842.2923611505
"2067/2068",2068,123,123,100,0,-2952,0,25915.6883533206
"2068/2069",2069,123,123,100,0,-2952,0,24044.4955366161
"2069/2070",2070,123,123,100,0,-2952,0,25148.0967048565
"2070/2071",2071,123,123,100,0,-2952,0,27814.6017290177
"2071/2072",2072,123,123,100,0,-2952,0,27093.9886639463
"2072/2073",2073,123,123,100,0,-2952,0,27069.2944892514
"2073/2074",2074,123,123,100,0,-2952,0,29307.6308760401
"2074/2075",2075,123,123,100,0,-2952,0,27913.078195421
"2075/2076",2076,123,123,100,0,-2952,0,25942.9120434215
"2076/2077",2077,123,123,100,0,-2952,0,25593.8077055747
"2077/2078",2078,123,123,100,0,-2952,0,26959.1577491248
"2078/2079",2079,123,123,100,0,-2952,0,26696.4104792178
"2079/2080",2080,123,123,100,0,-2952,0,25967.9358921014
"2080/2081",2081,123,123,100,0,-2952,0,28110.6456038635
