"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2952,0,17503.7791450779
"2000/2001",2001,123,123,100,0,-2952,0,17281.2879690906
"2001/2002",2002,123,123,100,0,-2952,0,16754.5516717225
"2002/2003",2003,123,123,100,0,-2952,0,17766.3083668691
"2003/2004",2004,123,123,100,0,-2952,0,17485.2733290979
"2004/2005",2005,123,123,100,0,-2952,0,17103.2074595624
"2005/2006",2006,123,123,100,0,-2952,0,17386.6218935768
"2006/2007",2007,123,123,100,0,-2952,0,17991.4596934987
"2007/2008",2008,123,123,100,0,-2952,0,16292.7466525037
"2008/2009",2009,123,123,100,0,-2952,0,17134.0349309006
"2009/2010",2010,123,123,100,0,-2952,0,18348.9356855041
"2010/2011",2011,123,123,100,0,-2952,0,16676.2556602522
"2011/2012",2012,123,123,100,0,-2952,0,17993.1672827542
"2012/2013",2013,123,123,100,0,-2952,0,18676.1834771379
"2013/2014",2014,123,123,100,0,-2952,0,16730.2962517316
"2014/2015",2015,123,123,100,0,-2952,0,17323.7143801113
"2015/2016",2016,123,123,100,0,-2952,0,16397.9066461107
"2016/2017",2017,123,123,100,0,-2952,0,15327.2600318273
"2017/2018",2018,123,123,100,0,-2952,0,16331.074111951
"2018/2019",2019,123,123,100,0,-2952,0,19009.1342517582
"2019/2020",2020,123,123,100,0,-2952,0,17925.6897654526
"2020/2021",2021,123,123,100,0,-2952,0,17050.9166184305
"2021/2022",2022,123,123,100,0,-2952,0,16173.6106169999
"2022/2023",2023,123,123,100,0,-2952,0,16329.7310035846
"2023/2024",2024,123,123,100,0,-2952,0,17743.7791438431
"2024/2025",2025,123,123,100,0,-2952,0,16923.0775353543
"2025/2026",2026,123,123,100,0,-2952,0,17512.097427309
"2026/2027",2027,123,123,100,0,-2952,0,15717.9511894977
"2027/2028",2028,123,123,100,0,-2952,0,16206.4147018513
"2028/2029",2029,123,123,100,0,-2952,0,18561.8461806853
"2029/2030",2030,123,123,100,0,-2952,0,15681.9675239867
"2030/2031",2031,123,123,100,0,-2952,0,18312.7425197728
"2031/2032",2032,123,123,100,0,-2952,0,16941.0181157892
"2032/2033",2033,123,123,100,0,-2952,0,18628.9655433369
"2033/2034",2034,123,123,100,0,-2952,0,17155.2675272871
"2034/2035",2035,123,123,100,0,-2952,0,15740.2897876082
"2035/2036",2036,123,123,100,0,-2952,0,17184.7421332523
"2036/2037",2037,123,123,100,0,-2952,0,16554.3478293181
"2037/2038",2038,123,123,100,0,-2952,0,18735.8343096641
"2038/2039",2039,123,123,100,0,-2952,0,15719.8214469254
"2039/2040",2040,123,123,100,0,-2952,0,16479.8063349961
"2040/2041",2041,123,123,100,0,-2952,0,16499.6635345411
"2041/2042",2042,123,123,100,0,-2952,0,17532.4703558264
"2042/2043",2043,123,123,100,0,-2952,0,16473.4433031646
"2043/2044",2044,123,123,100,0,-2952,0,16807.6235347427
"2044/2045",2045,123,123,100,0,-2952,0,15874.8794741472
"2045/2046",2046,123,123,100,0,-2952,0,15897.7745854356
"2046/2047",2047,123,123,100,0,-2952,0,15603.2211087141
"2047/2048",2048,123,123,100,0,-2952,0,17090.2032509949
"2048/2049",2049,123,123,100,0,-2952,0,18087.3279308942
"2049/2050",2050,123,123,100,0,-2952,0,18912.0568254152
"2050/2051",2051,123,123,100,0,-2952,0,18386.3934664368
"2051/2052",2052,123,123,100,0,-2952,0,18571.9481972829
"2052/2053",2053,123,123,100,0,-2952,0,18017.6376577965
"2053/2054",2054,123,123,100,0,-2952,0,17569.0497193807
"2054/2055",2055,123,123,100,0,-2952,0,17299.5181208388
"2055/2056",2056,123,123,100,0,-2952,0,18411.7929790285
"2056/2057",2057,123,123,100,0,-2952,0,18687.6708551859
"2057/2058",2058,123,123,100,0,-2952,0,17566.3499320946
"2058/2059",2059,123,123,100,0,-2952,0,16783.1637530369
"2059/2060",2060,123,123,100,0,-2952,0,17308.7489381842
"2060/2061",2061,123,123,100,0,-2952,0,17203.7352146409
"2061/2062",2062,123,123,100,0,-2952,0,18209.4833228705
"2062/2063",2063,123,123,100,0,-2952,0,16755.0040845396
"2063/2064",2064,123,123,100,0,-2952,0,18960.7850375283
"2064/2065",2065,123,123,100,0,-2952,0,15942.4742354411
"2065/2066",2066,123,123,100,0,-2952,0,16890.5759150684
"2066/2067",2067,123,123,100,0,-2952,0,17742.7965135523
"2067/2068",2068,123,123,100,0,-2952,0,16941.636462403
"2068/2069",2069,123,123,100,0,-2952,0,15144.6699575149
"2069/2070",2070,123,123,100,0,-2952,0,16094.398326545
"2070/2071",2071,123,123,100,0,-2952,0,18584.8684786265
"2071/2072",2072,123,123,100,0,-2952,0,17941.4600806581
"2072/2073",2073,123,123,100,0,-2952,0,17836.139790873
"2073/2074",2074,123,123,100,0,-2952,0,19999.3885509614
"2074/2075",2075,123,123,100,0,-2952,0,18717.7672328269
"2075/2076",2076,123,123,100,0,-2952,0,16764.5500753978
"2076/2077",2077,123,123,100,0,-2952,0,16471.1372815007
"2077/2078",2078,123,123,100,0,-2952,0,17811.7525788909
"2078/2079",2079,123,123,100,0,-2952,0,17531.1470965501
"2079/2080",2080,123,123,100,0,-2952,0,16928.9089812087
"2080/2081",2081,123,123,100,0,-2952,0,18844.0853805877
"2081/2082",2082,123,123,100,0,-2952,0,18602.1796972016
"2082/2083",2083,123,123,100,0,-2952,0,17633.9145768601
"2083/2084",2084,123,123,100,0,-2952,0,16708.9617611552
"2084/2085",2085,123,123,100,0,-2952,0,17409.4223096333
"2085/2086",2086,123,123,100,0,-2952,0,16006.2958639134
"2086/2087",2087,123,123,100,0,-2952,0,18780.9385914169
"2087/2088",2088,123,123,100,0,-2952,0,17826.1210489096
"2088/2089",2089,123,123,100,0,-2952,0,19156.6012644982
"2089/2090",2090,123,123,100,0,-2952,0,16665.2620076742
"2090/2091",2091,123,123,100,0,-2952,0,17997.4774549427
"2091/2092",2092,123,123,100,0,-2952,0,18169.04795676
"2092/2093",2093,123,123,100,0,-2952,0,15649.4488623114
"2093/2094",2094,123,123,100,0,-2952,0,15836.9729764955
"2094/2095",2095,123,123,100,0,-2952,0,17380.2614137148
"2095/2096",2096,123,123,100,0,-2952,0,18056.1357556256
"2096/2097",2097,123,123,100,0,-2952,0,16467.2735544434
"2097/2098",2098,123,123,100,0,-2952,0,17134.1582026314
"2098/2099",2099,123,123,100,0,-2952,0,18811.7979140701
"2099/2100",2100,123,123,100,0,-2952,0,15820.3663117588
