"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2952,0,11903.8218480798
"2000/2001",2001,123,123,100,0,-2952,0,11699.9390391942
"2001/2002",2002,123,123,100,0,-2952,0,11454.212275369
"2002/2003",2003,123,123,100,0,-2952,0,11939.7261877157
"2003/2004",2004,123,123,100,0,-2952,0,11803.0517188155
"2004/2005",2005,123,123,100,0,-2952,0,11832.9874412867
"2005/2006",2006,123,123,100,0,-2952,0,11685.917836413
"2006/2007",2007,123,123,100,0,-2952,0,12176.4353814528
"2007/2008",2008,123,123,100,0,-2952,0,11095.285838517
"2008/2009",2009,123,123,100,0,-2952,0,11698.0019526715
"2009/2010",2010,123,123,100,0,-2952,0,12615.6242770946
"2010/2011",2011,123,123,100,0,-2952,0,11588.8857240845
"2011/2012",2012,123,123,100,0,-2952,0,12176.6049066385
"2012/2013",2013,123,123,100,0,-2952,0,12627.029043173
"2013/2014",2014,123,123,100,0,-2952,0,11713.4692567354
"2014/2015",2015,123,123,100,0,-2952,0,12186.3753963223
"2015/2016",2016,123,123,100,0,-2952,0,11465.5455349461
"2016/2017",2017,123,123,100,0,-2952,0,10838.0424207121
"2017/2018",2018,123,123,100,0,-2952,0,11366.4291270112
"2018/2019",2019,123,123,100,0,-2952,0,13040.1751133644
"2019/2020",2020,123,123,100,0,-2952,0,12387.2554889525
"2020/2021",2021,123,123,100,0,-2952,0,11476.1066665729
"2021/2022",2022,123,123,100,0,-2952,0,11233.3988584068
"2022/2023",2023,123,123,100,0,-2952,0,11200.3534759257
"2023/2024",2024,123,123,100,0,-2952,0,12584.6624961442
"2024/2025",2025,123,123,100,0,-2952,0,11181.5512098188
"2025/2026",2026,123,123,100,0,-2952,0,11860.26983446
"2026/2027",2027,123,123,100,0,-2952,0,11281.0704703808
"2027/2028",2028,123,123,100,0,-2952,0,11191.8086111962
"2028/2029",2029,123,123,100,0,-2952,0,12418.6788729969
