"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,500,1010.5,62.9615345381246,19277.6101760689
"2000/2001",2001,123,123,100,628,1069.5,60.872469214234,18554.8264841306
"2001/2002",2002,123,123,100,491,1039,61.2705281883545,19107.0291600183
"2002/2003",2003,123,123,100,500,939.5,61.0793059665412,20021.1259439592
"2003/2004",2004,123,123,100,486,1010.5,62.7839446168998,19429.6836594017
"2004/2005",2005,123,123,100,536,1072,65.8021519777795,18891.0913874928
"2005/2006",2006,123,123,100,523,1031,63.9274307055447,18767.4462348252
"2006/2007",2007,123,123,100,427,972.5,61.8363726754825,19604.4530821755
"2007/2008",2008,123,123,100,486,1244,66.4377214833866,17330.5772055903
"2008/2009",2009,123,123,100,521,1000,61.5759567418692,19460.9020578681
"2009/2010",2010,123,123,100,425,904.5,59.9599267701292,20546.3435661066
"2010/2011",2011,123,123,100,649,1172.5,69.8930382182945,17923.8580556638
"2011/2012",2012,123,123,100,472,1008,62.4916205458464,19283.2198704933
"2012/2013",2013,123,123,100,472,841.5,58.9189280195044,20659.2559787903
"2013/2014",2014,123,123,100,600,1058,63.9798248013692,18595.2296010549
"2014/2015",2015,123,123,100,494,1049.5,62.8438316525353,18997.6478380833
"2015/2016",2016,123,123,100,502,1078,65.8233982616139,18412.6292630634
"2016/2017",2017,123,123,100,679,1291.5,69.6060855805799,16537.0605717867
"2017/2018",2018,123,123,100,696,1161,66.7546460799028,17562.7396917099
"2018/2019",2019,123,123,100,401,850.5,62.1638387390219,20656.1461393279
"2019/2020",2020,123,123,100,469,970.5,63.1862356844986,19696.5755083847
"2020/2021",2021,123,123,100,485,1079,63.2420687223159,18918.789767968
"2021/2022",2022,123,123,100,588,1165.5,66.35171788665,18004.816619237
"2022/2023",2023,123,123,100,693,1214,68.559965754044,17273.5669809901
"2023/2024",2024,123,123,100,386,938.5,58.6065253661027,20256.9804452886
"2024/2025",2025,123,123,100,585,1255.5,69.4215065873695,17248.9592721472
"2025/2026",2026,123,123,100,577,1050,65.1312033495574,18611.4817475481
"2026/2027",2027,123,123,100,475,1031,62.0277617248958,19016.2389443507
"2027/2028",2028,123,123,100,567,1221.5,69.6411027062336,17621.6776047181
"2028/2029",2029,123,123,100,499,941,60.2078600577165,19985.4538591774
"2029/2030",2030,123,123,100,504,1185.5,71.4998917413523,17697.2369613517
"2030/2031",2031,123,123,100,570,1023.5,61.905311916581,19210.6535373973
"2031/2032",2032,123,123,100,585,1168.5,65.368236187232,18077.0965525759
"2032/2033",2033,123,123,100,440,824,55.4195196279088,21144.8349994314
"2033/2034",2034,123,123,100,459,1047,63.4885391438011,18983.349712146
"2034/2035",2035,123,123,100,561,1170.5,68.7601881742225,17328.8518612026
"2035/2036",2036,123,123,100,598,1094.5,63.9890825812522,18049.2017423408
"2036/2037",2037,123,123,100,472,1144,67.9598765515275,18022.2051679767
"2037/2038",2038,123,123,100,424,841,57.1721598508193,20697.6901753414
"2038/2039",2039,123,123,100,489,1153.5,66.9951584880796,18240.9202991328
"2039/2040",2040,123,123,100,567,1062,64.2032779888077,18792.5435018782
"2040/2041",2041,123,123,100,489,1121.5,67.8040754769822,18416.0077834073
"2041/2042",2042,123,123,100,455,999,63.0351977702189,19512.4524799325
"2042/2043",2043,123,123,100,468,1145.5,66.4920464445472,18204.6678073518
"2043/2044",2044,123,123,100,574,1062,66.3033556607757,18633.4240122125
"2044/2045",2045,123,123,100,677,1260,71.2033801663988,17043.6346897464
"2045/2046",2046,123,123,100,755,1275.5,68.8424919600866,16376.0324251642
"2046/2047",2047,123,123,100,526,1224.5,72.8938715637855,17420.4007122675
"2047/2048",2048,123,123,100,589,1032.5,60.4473293532492,19044.2642297763
"2048/2049",2049,123,123,100,441,941,61.2929627196118,19995.7374857469
"2049/2050",2050,123,123,100,526,926,59.8179495987388,19678.9885624349
"2050/2051",2051,123,123,100,516,973,59.9751280283999,19606.9266477833
"2051/2052",2052,123,123,100,393,872,58.8480972840252,20645.1581080575
"2052/2053",2053,123,123,100,519,886.5,54.8639909294725,20580.6306009898
"2053/2054",2054,123,123,100,507,1054.5,64.498799527606,18965.0465074386
"2054/2055",2055,123,123,100,411,974.5,60.8349934459493,19878.9314566068
"2055/2056",2056,123,123,100,428,808,53.8324850674517,21153.7830142695
"2056/2057",2057,123,123,100,467,952,59.7297969462925,20045.601701865
"2057/2058",2058,123,123,100,380,785.5,54.8194422130291,21388.3025486637
"2058/2059",2059,123,123,100,451,1044,66.6831793082474,18898.2144545745
"2059/2060",2060,123,123,100,426,951,58.0223289117539,19914.9018163653
"2060/2061",2061,123,123,100,505,994,63.240496621479,19116.9419144467
"2061/2062",2062,123,123,100,439,879,57.4000111408059,20447.7698926749
"2062/2063",2063,123,123,100,459,1033,63.648726030493,18993.8860145509
"2063/2064",2064,123,123,100,418,869,54.5296692915845,20789.3849559492
"2064/2065",2065,123,123,100,474,1123,65.6992829764731,18276.4987754347
"2065/2066",2066,123,123,100,472,1054,62.1903080173943,18942.1471208725
"2066/2067",2067,123,123,100,444,921.5,58.8454391487494,20195.4240215495
"2067/2068",2068,123,123,100,555,1143.5,65.6332532511005,18081.7090841467
"2068/2069",2069,123,123,100,581,1282,72.3945100802584,16923.0970685212
"2069/2070",2070,123,123,100,470,1154,71.2864088028064,18083.8841444943
"2070/2071",2071,123,123,100,352,816,59.0838505487927,21133.1481165839
"2071/2072",2072,123,123,100,430,908,57.7127487469807,20313.6996311359
"2072/2073",2073,123,123,100,315,927,62.2613194548912,20520.5027494002
"2073/2074",2074,123,123,100,302,662,53.4682430928815,22508.2328853058
"2074/2075",2075,123,123,100,396,899.5,58.3756860153735,20385.5033391044
"2075/2076",2076,123,123,100,533,1086,64.1985254320471,18734.3989983695
"2076/2077",2077,123,123,100,526,1126,66.9845031714685,17891.6574174138
"2077/2078",2078,123,123,100,493,901,59.7405568769009,20509.2433698568
"2078/2079",2079,123,123,100,451,1027.5,62.1155786857871,19345.6913369438
