"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2946,0,45577.4804268241
"2000/2001",2001,123,123,100,0,-2943.5,0,46403.2110642772
"2001/2002",2002,123,123,100,0,-2952,0,45055.5378244259
"2002/2003",2003,123,123,100,0,-2950,0,45836.6804765093
"2003/2004",2004,123,123,100,0,-2944.5,0,46529.1021785025
"2004/2005",2005,123,123,100,4,-2930,0,45185.3163118478
"2005/2006",2006,123,123,100,0,-2933,0,47158.6046060477
"2006/2007",2007,123,123,100,5,-2881.5,0,46086.4268165792
"2007/2008",2008,123,123,100,0,-2942.5,0,42651.9096179255
"2008/2009",2009,123,123,100,0,-2952,0,45221.3879215468
"2009/2010",2010,123,123,100,0,-2937,0,46092.1824039978
"2010/2011",2011,123,123,100,0,-2952,0,46340.4606126605
"2011/2012",2012,123,123,100,0,-2949.5,0,45309.6256990104
"2012/2013",2013,123,123,100,0,-2951,0,46060.1217036762
"2013/2014",2014,123,123,100,0,-2933,0,45728.6941820604
"2014/2015",2015,123,123,100,0,-2951,0,44105.2238491769
"2015/2016",2016,123,123,100,0,-2952,0,44068.6750682716
"2016/2017",2017,123,123,100,0,-2952,0,45023.9601659644
"2017/2018",2018,123,123,100,0,-2949,0,47892.2273820844
"2018/2019",2019,123,123,100,0,-2932.5,0,45498.2667476283
"2019/2020",2020,123,123,100,0,-2942,0,44339.1084644981
"2020/2021",2021,123,123,100,0,-2944.5,0,45093.6864108667
"2021/2022",2022,123,123,100,0,-2939,0,44208.5367788142
"2022/2023",2023,123,123,100,0,-2932.5,0,48340.4982178118
"2023/2024",2024,123,123,100,4,-2931.5,0,43138.4964122558
"2024/2025",2025,123,123,100,6,-2899,0,45385.3978677937
"2025/2026",2026,123,123,100,0,-2940,0,46066.464983128
"2026/2027",2027,123,123,100,0,-2952,0,43935.6482687024
"2027/2028",2028,123,123,100,0,-2950,0,44192.1854739115
"2028/2029",2029,123,123,100,0,-2944.5,0,46546.8064230382
"2029/2030",2030,123,123,100,0,-2952,0,44600.3877590657
"2030/2031",2031,123,123,100,0,-2944,0,46258.0003998042
"2031/2032",2032,123,123,100,0,-2948,0,47429.0906934766
"2032/2033",2033,123,123,100,0,-2947.5,0,45316.1303656641
"2033/2034",2034,123,123,100,0,-2938.5,0,44382.1169150509
"2034/2035",2035,123,123,100,4,-2928.5,0,47046.7148821382
"2035/2036",2036,123,123,100,0,-2950,0,48600.6808043076
"2036/2037",2037,123,123,100,0,-2952,0,43852.0845300565
"2037/2038",2038,123,123,100,0,-2942,0,44217.7919349391
"2038/2039",2039,123,123,100,0,-2952,0,43370.1851901831
"2039/2040",2040,123,123,100,0,-2952,0,45001.9284802051
"2040/2041",2041,123,123,100,0,-2952,0,45826.8545426037
"2041/2042",2042,123,123,100,0,-2952,0,44901.8722732477
"2042/2043",2043,123,123,100,0,-2949,0,46312.1400929196
"2043/2044",2044,123,123,100,0,-2941.5,0,46778.4604500243
"2044/2045",2045,123,123,100,0,-2950,0,46676.5136566609
"2045/2046",2046,123,123,100,0,-2943.5,0,47532.6080788132
"2046/2047",2047,123,123,100,0,-2952,0,44977.3213639697
"2047/2048",2048,123,123,100,0,-2952,0,45634.0148303276
"2048/2049",2049,123,123,100,0,-2936.5,0,45964.1694826325
"2049/2050",2050,123,123,100,14,-2825,0,45013.7675624974
"2050/2051",2051,123,123,100,0,-2927.5,0,45467.0403395602
