"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2950.5,0,36806.3323288045
"2000/2001",2001,123,123,100,0,-2946.5,0,37124.661841016
"2001/2002",2002,123,123,100,0,-2952,0,35622.4942960155
"2002/2003",2003,123,123,100,0,-2952,0,37005.8904430799
"2003/2004",2004,123,123,100,0,-2948,0,37297.7057308968
"2004/2005",2005,123,123,100,2,-2934.5,0,35809.991664023
"2005/2006",2006,123,123,100,0,-2942,0,38331.0957511644
"2006/2007",2007,123,123,100,0,-2906,0,37594.9211557063
"2007/2008",2008,123,123,100,0,-2944.5,0,32308.1899545729
"2008/2009",2009,123,123,100,0,-2952,0,35970.8728466276
"2009/2010",2010,123,123,100,0,-2946.5,0,37277.0751946626
"2010/2011",2011,123,123,100,0,-2952,0,37014.787991618
"2011/2012",2012,123,123,100,0,-2952,0,35867.0967183993
"2012/2013",2013,123,123,100,0,-2952,0,37477.7810621625
"2013/2014",2014,123,123,100,0,-2938,0,36573.6544266923
"2014/2015",2015,123,123,100,0,-2952,0,34243.704639371
"2015/2016",2016,123,123,100,0,-2952,0,34667.7330597949
"2016/2017",2017,123,123,100,0,-2952,0,35074.1503276026
"2017/2018",2018,123,123,100,0,-2950.5,0,38723.8190927545
"2018/2019",2019,123,123,100,0,-2944,0,36331.5640992541
"2019/2020",2020,123,123,100,0,-2946,0,34509.3579725879
"2020/2021",2021,123,123,100,0,-2947,0,35724.0356376546
"2021/2022",2022,123,123,100,0,-2946,0,34548.9569631508
"2022/2023",2023,123,123,100,0,-2938.5,0,39364.5807072036
"2023/2024",2024,123,123,100,1,-2935.5,0,33143.6648853561
"2024/2025",2025,123,123,100,1,-2915,0,36155.2688531964
"2025/2026",2026,123,123,100,0,-2945.5,0,37467.3386666472
"2026/2027",2027,123,123,100,0,-2952,0,33934.9546773508
"2027/2028",2028,123,123,100,0,-2952,0,34280.0364910853
"2028/2029",2029,123,123,100,0,-2947.5,0,37852.5591363548
"2029/2030",2030,123,123,100,0,-2952,0,34374.8969769846
"2030/2031",2031,123,123,100,0,-2946,0,37476.0775662139
"2031/2032",2032,123,123,100,0,-2951,0,38205.6606258284
"2032/2033",2033,123,123,100,0,-2951.5,0,36661.2771936203
"2033/2034",2034,123,123,100,0,-2941,0,34636.7580599259
"2034/2035",2035,123,123,100,0,-2933.5,0,37917.7685490334
"2035/2036",2036,123,123,100,0,-2952,0,40446.2247227654
"2036/2037",2037,123,123,100,0,-2952,0,34408.4215796459
"2037/2038",2038,123,123,100,0,-2944,0,34397.2409384539
"2038/2039",2039,123,123,100,0,-2952,0,33557.4022607557
"2039/2040",2040,123,123,100,0,-2952,0,35657.871542993
"2040/2041",2041,123,123,100,0,-2952,0,36107.9396758424
"2041/2042",2042,123,123,100,0,-2952,0,35464.0915505434
"2042/2043",2043,123,123,100,0,-2952,0,36614.2716868501
