"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2950,0,38361.5718091402
"2000/2001",2001,123,123,100,0,-2946.5,0,38813.7206619012
"2001/2002",2002,123,123,100,0,-2952,0,37292.8204755828
"2002/2003",2003,123,123,100,0,-2952,0,38598.358173275
"2003/2004",2004,123,123,100,0,-2948,0,39009.5144561795
"2004/2005",2005,123,123,100,0,-2934.5,0,37466.3849969348
"2005/2006",2006,123,123,100,0,-2941,0,40055.4515337916
"2006/2007",2007,123,123,100,0,-2905.5,0,39283.5958724169
"2007/2008",2008,123,123,100,0,-2944.5,0,33933.2834156369
"2008/2009",2009,123,123,100,0,-2952,0,37603.3911204526
"2009/2010",2010,123,123,100,0,-2946.5,0,38927.6096726574
"2010/2011",2011,123,123,100,0,-2952,0,38580.4798491052
"2011/2012",2012,123,123,100,0,-2952,0,37482.0591083269
"2012/2013",2013,123,123,100,0,-2952,0,39083.8061530809
"2013/2014",2014,123,123,100,0,-2939,0,38282.5924041478
"2014/2015",2015,123,123,100,0,-2952,0,35945.9527390294
"2015/2016",2016,123,123,100,0,-2952,0,36311.9058693834
"2016/2017",2017,123,123,100,0,-2952,0,36847.5610088478
"2017/2018",2018,123,123,100,0,-2950.5,0,40513.6195654063
"2018/2019",2019,123,123,100,0,-2944.5,0,38009.240398824
"2019/2020",2020,123,123,100,0,-2944.5,0,36092.5515202146
"2020/2021",2021,123,123,100,0,-2946.5,0,37332.9924181281
"2021/2022",2022,123,123,100,0,-2945.5,0,36173.007490641
"2022/2023",2023,123,123,100,0,-2939.5,0,41082.8813029104
"2023/2024",2024,123,123,100,0,-2935.5,0,34828.0013226867
"2024/2025",2025,123,123,100,1,-2914.5,0,37872.6255210009
"2025/2026",2026,123,123,100,0,-2946,0,39080.9098109598
"2026/2027",2027,123,123,100,0,-2952,0,35613.7256577327
"2027/2028",2028,123,123,100,0,-2952,0,35910.5195999159
"2028/2029",2029,123,123,100,0,-2947.5,0,39468.4546136786
"2029/2030",2030,123,123,100,0,-2952,0,36094.5503548295
"2030/2031",2031,123,123,100,0,-2946,0,39158.9451396712
"2031/2032",2032,123,123,100,0,-2951,0,39966.0678299661
"2032/2033",2033,123,123,100,0,-2951.5,0,38231.620743643
"2033/2034",2034,123,123,100,0,-2940.5,0,36315.8745717164
"2034/2035",2035,123,123,100,0,-2934,0,39716.8874885635
"2035/2036",2036,123,123,100,0,-2952,0,42118.8534287964
"2036/2037",2037,123,123,100,0,-2952,0,36059.7211561613
"2037/2038",2038,123,123,100,0,-2945,0,36076.5709749484
"2038/2039",2039,123,123,100,0,-2952,0,35156.0114265513
"2039/2040",2040,123,123,100,0,-2952,0,37313.2724724673
"2040/2041",2041,123,123,100,0,-2952,0,37880.9107741062
"2041/2042",2042,123,123,100,0,-2952,0,37185.8555147508
"2042/2043",2043,123,123,100,0,-2952,0,38304.2544361977
"2043/2044",2044,123,123,100,0,-2944.5,0,39394.5309387548
"2044/2045",2045,123,123,100,0,-2952,0,38950.3693626979
"2045/2046",2046,123,123,100,0,-2948,0,39887.4351736121
"2046/2047",2047,123,123,100,0,-2952,0,36665.2509166775
"2047/2048",2048,123,123,100,0,-2952,0,37752.8879796434
"2048/2049",2049,123,123,100,0,-2945,0,38784.5993643077
"2049/2050",2050,123,123,100,0,-2858.5,0,37757.1098373597
"2050/2051",2051,123,123,100,0,-2932,0,38066.9099851847
"2051/2052",2052,123,123,100,0,-2941.5,0,38607.8520569419
"2052/2053",2053,123,123,100,0,-2935,0,36719.0645354446
"2053/2054",2054,123,123,100,0,-2946,0,37753.6745628752
"2054/2055",2055,123,123,100,0,-2952,0,36559.7824686086
"2055/2056",2056,123,123,100,0,-2952,0,37956.3628789615
"2056/2057",2057,123,123,100,0,-2933.5,0,40157.7876546476
"2057/2058",2058,123,123,100,0,-2952,0,35530.3853608221
"2058/2059",2059,123,123,100,0,-2952,0,36987.5712022483
"2059/2060",2060,123,123,100,0,-2952,0,36382.7628728282
"2060/2061",2061,123,123,100,0,-2941,0,39872.3879717756
"2061/2062",2062,123,123,100,0,-2952,0,40095.4595967
"2062/2063",2063,123,123,100,0,-2952,0,37059.5863147927
"2063/2064",2064,123,123,100,0,-2945.5,0,37836.7218286358
"2064/2065",2065,123,123,100,0,-2952,0,36669.3893692465
"2065/2066",2066,123,123,100,0,-2950.5,0,35839.7226999644
"2066/2067",2067,123,123,100,0,-2952,0,37846.3135387832
"2067/2068",2068,123,123,100,0,-2952,0,38302.9611246428
"2068/2069",2069,123,123,100,0,-2952,0,35621.6921550548
"2069/2070",2070,123,123,100,0,-2952,0,38148.5337785818
"2070/2071",2071,123,123,100,0,-2943,0,37867.773483282
"2071/2072",2072,123,123,100,0,-2952,0,37236.6312227203
"2072/2073",2073,123,123,100,0,-2941,0,34722.0888836524
"2073/2074",2074,123,123,100,0,-2946,0,37461.957189017
