"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2952,0,35390.8231560341
"2000/2001",2001,123,123,100,0,-2952,0,35485.4189590002
"2001/2002",2002,123,123,100,0,-2952,0,34247.3494704889
"2002/2003",2003,123,123,100,0,-2952,0,35438.4266063715
"2003/2004",2004,123,123,100,0,-2952,0,35644.5815852666
"2004/2005",2005,123,123,100,0,-2951.5,0,34567.9722938092
"2005/2006",2006,123,123,100,0,-2952,0,36180.3711905755
"2006/2007",2007,123,123,100,0,-2952,0,36077.2397333903
"2007/2008",2008,123,123,100,0,-2952,0,32494.2451177182
"2008/2009",2009,123,123,100,0,-2952,0,34558.9317274212
"2009/2010",2010,123,123,100,0,-2952,0,34948.9260284776
"2010/2011",2011,123,123,100,0,-2952,0,35197.1601519203
"2011/2012",2012,123,123,100,0,-2952,0,34492.1342450844
"2012/2013",2013,123,123,100,0,-2952,0,35354.4593394375
"2013/2014",2014,123,123,100,0,-2952,0,35038.5998535296
"2014/2015",2015,123,123,100,0,-2952,0,33374.4582498001
"2015/2016",2016,123,123,100,0,-2952,0,33792.7779099012
"2016/2017",2017,123,123,100,0,-2952,0,33456.2101904117
"2017/2018",2018,123,123,100,0,-2952,0,36149.1228862472
"2018/2019",2019,123,123,100,0,-2952,0,35158.3673844119
"2019/2020",2020,123,123,100,0,-2952,0,34026.6820170763
"2020/2021",2021,123,123,100,0,-2952,0,34250.7484188662
"2021/2022",2022,123,123,100,0,-2952,0,33340.786505247
"2022/2023",2023,123,123,100,0,-2952,0,36228.7570218479
"2023/2024",2024,123,123,100,0,-2952,0,32499.2962361122
"2024/2025",2025,123,123,100,0,-2952,0,34635.323088428
"2025/2026",2026,123,123,100,0,-2952,0,35732.7590436731
"2026/2027",2027,123,123,100,0,-2952,0,33211.8488042071
"2027/2028",2028,123,123,100,0,-2952,0,33877.9781264775
