"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2952,0,42850.2148268178
"2000/2001",2001,123,123,100,0,-2952,0,41374.5072130282
"2001/2002",2002,123,123,100,0,-2952,0,42339.2603814061
"2002/2003",2003,123,123,100,0,-2952,0,43437.3074068382
"2003/2004",2004,123,123,100,0,-2952,0,42592.407036142
"2004/2005",2005,123,123,100,0,-2952,0,42554.6901325388
"2005/2006",2006,123,123,100,0,-2952,0,42152.8761854136
"2006/2007",2007,123,123,100,0,-2952,0,43099.7224191398
"2007/2008",2008,123,123,100,0,-2951.5,0,40418.7150823046
"2008/2009",2009,123,123,100,0,-2952,0,42364.8493627916
"2009/2010",2010,123,123,100,0,-2952,0,44771.4585581447
"2010/2011",2011,123,123,100,0,-2952,0,41597.5497610404
"2011/2012",2012,123,123,100,0,-2952,0,42601.4077822703
"2012/2013",2013,123,123,100,0,-2952,0,44627.2041116697
"2013/2014",2014,123,123,100,0,-2952,0,42103.6750868447
"2014/2015",2015,123,123,100,0,-2952,0,42139.4709345652
"2015/2016",2016,123,123,100,0,-2952,0,41421.1273794272
"2016/2017",2017,123,123,100,0,-2952,0,39719.8319768647
"2017/2018",2018,123,123,100,0,-2952,0,40748.3973550247
"2018/2019",2019,123,123,100,0,-2950,0,43797.4639461825
"2019/2020",2020,123,123,100,0,-2950.5,0,42711.9022960076
"2020/2021",2021,123,123,100,0,-2952,0,42507.6417669361
"2021/2022",2022,123,123,100,0,-2952,0,41579.7940006666
"2022/2023",2023,123,123,100,0,-2950,0,41035.6871157577
"2023/2024",2024,123,123,100,0,-2952,0,43388.5408404791
"2024/2025",2025,123,123,100,0,-2952,0,40976.2057404593
"2025/2026",2026,123,123,100,0,-2952,0,42200.7558027403
"2026/2027",2027,123,123,100,0,-2952,0,41789.5184005084
"2027/2028",2028,123,123,100,0,-2952,0,40487.3293031729
"2028/2029",2029,123,123,100,0,-2951.5,0,43932.1403137199
"2029/2030",2030,123,123,100,0,-2945.5,0,40814.5636220435
"2030/2031",2031,123,123,100,0,-2952,0,43243.5338671529
"2031/2032",2032,123,123,100,0,-2952,0,41996.6856733477
"2032/2033",2033,123,123,100,0,-2952,0,44945.1724031502
"2033/2034",2034,123,123,100,0,-2952,0,42611.8298220322
"2034/2035",2035,123,123,100,0,-2952,0,40555.8803375699
"2035/2036",2036,123,123,100,0,-2952,0,41913.3643636466
"2036/2037",2037,123,123,100,0,-2952,0,41880.6451948741
"2037/2038",2038,123,123,100,0,-2952,0,44131.762859486
"2038/2039",2039,123,123,100,0,-2952,0,41501.2494530329
"2039/2040",2040,123,123,100,0,-2952,0,41965.5861325325
"2040/2041",2041,123,123,100,0,-2952,0,42174.1352263866
"2041/2042",2042,123,123,100,0,-2951,0,42996.8451361386
"2042/2043",2043,123,123,100,0,-2952,0,42057.9348690109
"2043/2044",2044,123,123,100,0,-2952,0,42053.4940514797
"2044/2045",2045,123,123,100,0,-2952,0,40569.0230624313
"2045/2046",2046,123,123,100,0,-2952,0,39709.5199703751
"2046/2047",2047,123,123,100,0,-2952,0,40727.1929251235
"2047/2048",2048,123,123,100,0,-2950.5,0,42109.5487596896
"2048/2049",2049,123,123,100,0,-2952,0,43524.7794834049
"2049/2050",2050,123,123,100,0,-2952,0,42259.9643821185
"2050/2051",2051,123,123,100,0,-2952,0,43367.3299065558
"2051/2052",2052,123,123,100,0,-2947.5,0,44590.4808973549
"2052/2053",2053,123,123,100,0,-2952,0,44019.5177605199
"2053/2054",2054,123,123,100,0,-2952,0,43029.3113244716
"2054/2055",2055,123,123,100,0,-2952,0,43203.3869159864
"2055/2056",2056,123,123,100,0,-2952,0,44278.9332898892
"2056/2057",2057,123,123,100,0,-2952,0,44446.1817498328
"2057/2058",2058,123,123,100,0,-2949,0,43761.0464807209
"2058/2059",2059,123,123,100,0,-2952,0,42271.8379875887
"2059/2060",2060,123,123,100,0,-2952,0,43030.9051845986
"2060/2061",2061,123,123,100,0,-2952,0,42410.8972605364
"2061/2062",2062,123,123,100,0,-2952,0,44142.4776178636
"2062/2063",2063,123,123,100,0,-2952,0,42616.849187471
"2063/2064",2064,123,123,100,0,-2952,0,44133.8087270269
"2064/2065",2065,123,123,100,0,-2952,0,41888.3553286949
"2065/2066",2066,123,123,100,0,-2952,0,42004.3988610283
"2066/2067",2067,123,123,100,0,-2952,0,43750.5950980587
"2067/2068",2068,123,123,100,0,-2952,0,41782.9979691058
"2068/2069",2069,123,123,100,0,-2952,0,40078.5186070995
"2069/2070",2070,123,123,100,0,-2952,0,41674.0466511529
"2070/2071",2071,123,123,100,0,-2952,0,44903.3712020852
"2071/2072",2072,123,123,100,0,-2952,0,43464.1769573931
"2072/2073",2073,123,123,100,0,-2929.5,0,43744.1192813581
"2073/2074",2074,123,123,100,0,-2952,0,46411.2407275364
"2074/2075",2075,123,123,100,0,-2952,0,44554.8582739644
"2075/2076",2076,123,123,100,0,-2952,0,42238.9479907416
"2076/2077",2077,123,123,100,0,-2952,0,41095.7823437694
"2077/2078",2078,123,123,100,0,-2952,0,44267.1179146701
"2078/2079",2079,123,123,100,0,-2952,0,43192.9212607583
"2079/2080",2080,123,123,100,0,-2952,0,42009.1862186678
"2080/2081",2081,123,123,100,0,-2952,0,45039.9119948223
"2081/2082",2082,123,123,100,0,-2952,0,44494.6328213811
"2082/2083",2083,123,123,100,0,-2952,0,43089.1402435731
"2083/2084",2084,123,123,100,0,-2952,0,42133.0445260759
"2084/2085",2085,123,123,100,0,-2952,0,42280.7267287038
