"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2952,0,42039.3662634489
"2000/2001",2001,123,123,100,0,-2952,0,40556.5845682122
"2001/2002",2002,123,123,100,0,-2952,0,41541.5518648469
"2002/2003",2003,123,123,100,0,-2952,0,42640.3299771741
"2003/2004",2004,123,123,100,0,-2952,0,41835.0739040526
"2004/2005",2005,123,123,100,0,-2952,0,41680.5869607608
"2005/2006",2006,123,123,100,0,-2952,0,41362.779431765
"2006/2007",2007,123,123,100,0,-2952,0,42292.7590114831
"2007/2008",2008,123,123,100,0,-2952,0,39654.037695693
"2008/2009",2009,123,123,100,0,-2952,0,41541.8218883309
"2009/2010",2010,123,123,100,0,-2952,0,43980.6781748708
"2010/2011",2011,123,123,100,0,-2952,0,40680.5271057086
"2011/2012",2012,123,123,100,0,-2952,0,41879.8250939751
"2012/2013",2013,123,123,100,0,-2952,0,43817.1928253267
"2013/2014",2014,123,123,100,0,-2952,0,41287.5591541494
"2014/2015",2015,123,123,100,0,-2952,0,41340.3336058354
"2015/2016",2016,123,123,100,0,-2952,0,40628.2081454969
"2016/2017",2017,123,123,100,0,-2952,0,38862.5197971947
"2017/2018",2018,123,123,100,0,-2952,0,39916.7458360032
"2018/2019",2019,123,123,100,0,-2949.5,0,43003.7443397557
"2019/2020",2020,123,123,100,0,-2951,0,41928.3156546042
"2020/2021",2021,123,123,100,0,-2952,0,41699.3028741451
"2021/2022",2022,123,123,100,0,-2952,0,40737.0726152174
"2022/2023",2023,123,123,100,0,-2950,0,40139.1061259094
"2023/2024",2024,123,123,100,0,-2952,0,42614.4359186413
"2024/2025",2025,123,123,100,0,-2952,0,40190.2347368556
"2025/2026",2026,123,123,100,0,-2952,0,41368.1166823255
"2026/2027",2027,123,123,100,0,-2952,0,40949.5989319556
"2027/2028",2028,123,123,100,0,-2952,0,39656.320234397
"2028/2029",2029,123,123,100,0,-2951,0,43109.8996430961
"2029/2030",2030,123,123,100,0,-2945,0,39945.3083537351
"2030/2031",2031,123,123,100,0,-2952,0,42435.4970925022
"2031/2032",2032,123,123,100,0,-2952,0,41116.3434941056
"2032/2033",2033,123,123,100,0,-2952,0,44172.6527761593
