"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2952,0,24398.5985587955
"2000/2001",2001,123,123,100,0,-2952,0,24436.0590501024
"2001/2002",2002,123,123,100,0,-2952,0,23035.678038261
"2002/2003",2003,123,123,100,0,-2952,0,24312.9852684587
"2003/2004",2004,123,123,100,0,-2952,0,24525.5139014445
"2004/2005",2005,123,123,100,0,-2950,0,23180.3556287215
"2005/2006",2006,123,123,100,0,-2950,0,25748.8059672281
"2006/2007",2007,123,123,100,0,-2944.5,0,25936.5376029661
"2007/2008",2008,123,123,100,0,-2952,0,20900.5607651094
"2008/2009",2009,123,123,100,0,-2952,0,23472.0244139727
"2009/2010",2010,123,123,100,0,-2952,0,23704.5772340418
"2010/2011",2011,123,123,100,0,-2952,0,23934.2328259213
"2011/2012",2012,123,123,100,0,-2952,0,23087.5236800086
"2012/2013",2013,123,123,100,0,-2952,0,24315.306357172
"2013/2014",2014,123,123,100,0,-2952,0,23788.8326028624
"2014/2015",2015,123,123,100,0,-2952,0,21462.2133416211
"2015/2016",2016,123,123,100,0,-2952,0,22569.329250983
"2016/2017",2017,123,123,100,0,-2952,0,22199.7036068211
"2017/2018",2018,123,123,100,0,-2952,0,25486.8378569883
"2018/2019",2019,123,123,100,0,-2950.5,0,24075.523588462
"2019/2020",2020,123,123,100,0,-2952,0,22437.7902539263
"2020/2021",2021,123,123,100,0,-2952,0,22856.707794057
"2021/2022",2022,123,123,100,0,-2952,0,21952.4519728459
"2022/2023",2023,123,123,100,0,-2947,0,25519.2563044971
"2023/2024",2024,123,123,100,0,-2950,0,20813.1494661046
"2024/2025",2025,123,123,100,0,-2946,0,23681.5667333016
"2025/2026",2026,123,123,100,0,-2952,0,25122.6173944899
"2026/2027",2027,123,123,100,0,-2952,0,21567.0691471293
"2027/2028",2028,123,123,100,0,-2952,0,22340.4340207689
"2028/2029",2029,123,123,100,0,-2952,0,24804.7728647173
"2029/2030",2030,123,123,100,0,-2952,0,21878.0594339122
"2030/2031",2031,123,123,100,0,-2952,0,24138.3775621755
"2031/2032",2032,123,123,100,0,-2952,0,25045.1001053965
"2032/2033",2033,123,123,100,0,-2952,0,23416.8615808466
"2033/2034",2034,123,123,100,0,-2949.5,0,21882.2883047974
"2034/2035",2035,123,123,100,0,-2946.5,0,25055.1846330019
"2035/2036",2036,123,123,100,0,-2952,0,27213.4998996696
"2036/2037",2037,123,123,100,0,-2952,0,22043.9424191089
"2037/2038",2038,123,123,100,0,-2948.5,0,21984.6700415593
"2038/2039",2039,123,123,100,0,-2952,0,21067.9428769615
"2039/2040",2040,123,123,100,0,-2952,0,22613.8734905808
"2040/2041",2041,123,123,100,0,-2952,0,23067.5064926441
"2041/2042",2042,123,123,100,0,-2952,0,22617.9571166099
"2042/2043",2043,123,123,100,0,-2952,0,23534.1497588623
"2043/2044",2044,123,123,100,0,-2947.5,0,24608.4157979283
"2044/2045",2045,123,123,100,0,-2952,0,24076.3116171765
"2045/2046",2046,123,123,100,0,-2952,0,25203.2208767058
"2046/2047",2047,123,123,100,0,-2952,0,22393.569774189
"2047/2048",2048,123,123,100,0,-2952,0,23685.5534433485
"2048/2049",2049,123,123,100,0,-2952,0,24511.4834005944
"2049/2050",2050,123,123,100,0,-2950,0,24214.8015961158
"2050/2051",2051,123,123,100,0,-2950,0,23793.5124010076
"2051/2052",2052,123,123,100,0,-2951,0,23779.0079215653
"2052/2053",2053,123,123,100,0,-2949.5,0,22756.5629475936
"2053/2054",2054,123,123,100,0,-2947.5,0,23633.9257346252
"2054/2055",2055,123,123,100,0,-2952,0,22352.0344050778
"2055/2056",2056,123,123,100,0,-2952,0,24009.2213031789
"2056/2057",2057,123,123,100,0,-2950.5,0,25793.5449785893
"2057/2058",2058,123,123,100,0,-2952,0,21660.987634493
"2058/2059",2059,123,123,100,0,-2952,0,22678.7514703716
"2059/2060",2060,123,123,100,0,-2952,0,22546.5203774259
"2060/2061",2061,123,123,100,0,-2952,0,25716.8713425705
"2061/2062",2062,123,123,100,0,-2952,0,26037.95249516
"2062/2063",2063,123,123,100,0,-2952,0,23556.2085295981
"2063/2064",2064,123,123,100,0,-2952,0,23345.8754773499
"2064/2065",2065,123,123,100,0,-2952,0,22315.2244052202
"2065/2066",2066,123,123,100,0,-2952,0,22056.1698683789
"2066/2067",2067,123,123,100,0,-2952,0,23054.3708470534
"2067/2068",2068,123,123,100,0,-2952,0,23441.6297438722
