"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,19,-971.5,1.00175108980173,37652.1147183268
"2000/2001",2001,123,123,100,28,-993,0,37740.5159600159
"2001/2002",2002,123,123,100,16,-1043,0,38143.6609332574
"2002/2003",2003,123,123,100,35,-941,1.0174005071919,37332.8995868784
"2003/2004",2004,123,123,100,26,-956.5,0,37408.2554803521
"2004/2005",2005,123,123,100,27,-1041,1.00359133823723,37947.0748035331
"2005/2006",2006,123,123,100,29,-929,1.00322710921489,37060.0929265924
"2006/2007",2007,123,123,100,44,-938,1.00168613375613,37234.2926995214
"2007/2008",2008,123,123,100,38,-1136,0,39122.3916490428
"2008/2009",2009,123,123,100,17,-1029,0,38124.7329385809
"2009/2010",2010,123,123,100,46,-932,1.00441835897108,37243.5311022068
"2010/2011",2011,123,123,100,15,-989,1.00886018614714,37651.1988607252
"2011/2012",2012,123,123,100,27,-998,0,37948.2231174442
"2012/2013",2013,123,123,100,34,-927.5,2.93858888045818,37111.8452603689
"2013/2014",2014,123,123,100,23,-1020,0,37964.1355506573
"2014/2015",2015,123,123,100,18,-1055.5,1.00026219573735,38474.3542514921
"2015/2016",2016,123,123,100,11,-1066,0,38604.2609652779
"2016/2017",2017,123,123,100,8,-1120.5,1.0011855834603,38949.310123852
"2017/2018",2018,123,123,100,20,-973.5,1.00205646411129,37467.0783490345
"2018/2019",2019,123,123,100,57,-996.5,0,37701.9698320064
"2019/2020",2020,123,123,100,37,-1029,0,38156.6421144828
"2020/2021",2021,123,123,100,30,-1010.5,0,37972.3019490638
"2021/2022",2022,123,123,100,31,-1078.5,2.01847861811719,38633.6605519676
"2022/2023",2023,123,123,100,33,-960.5,1.01428070139593,37264.2741957642
"2023/2024",2024,123,123,100,12,-1096,1.00656537971572,38932.1665129531
"2024/2025",2025,123,123,100,48,-1025,2.00882230713464,38006.820846403
"2025/2026",2026,123,123,100,36,-964.5,2.01461567203033,37517.1488974518
"2026/2027",2027,123,123,100,1,-1111,1.00589322007907,38950.0436268495
"2027/2028",2028,123,123,100,19,-1091,0,38648.526053586
"2028/2029",2029,123,123,100,23,-897,2.00609417695028,36793.6782641807
"2029/2030",2030,123,123,100,5,-1111.5,0,38728.4726817422
"2030/2031",2031,123,123,100,16,-943,0,37281.6693807612
"2031/2032",2032,123,123,100,13,-973.5,0,37423.8621757207
"2032/2033",2033,123,123,100,27,-923.5,0,37117.4359423714
"2033/2034",2034,123,123,100,18,-1060,0,38452.3060133783
"2034/2035",2035,123,123,100,24,-1027,1.01354163971594,38046.8448932613
"2035/2036",2036,123,123,100,22,-883,0,36606.9428831404
"2036/2037",2037,123,123,100,28,-1054.5,1.00244904003701,38457.3763948558
"2037/2038",2038,123,123,100,25,-1000,0,37928.0931727011
"2038/2039",2039,123,123,100,6,-1113.5,0,38947.5865285173
"2039/2040",2040,123,123,100,11,-1060,0,38344.8134791981
"2040/2041",2041,123,123,100,10,-1018.5,0,37876.1862431476
"2041/2042",2042,123,123,100,7,-1021,0,37891.4506598786
"2042/2043",2043,123,123,100,26,-1020.5,1.0031235782814,38021.2740182607
"2043/2044",2044,123,123,100,22,-965.5,1.00611830708746,37487.9792499067
"2044/2045",2045,123,123,100,6,-1028.5,0,37971.0377976196
"2045/2046",2046,123,123,100,26,-998.5,1.00511319418696,37597.7572929561
"2046/2047",2047,123,123,100,5,-1103,0,38745.7057789536
"2047/2048",2048,123,123,100,26,-1014.5,0,37866.8408705583
"2048/2049",2049,123,123,100,44,-931.5,0,37300.1556020174
"2049/2050",2050,123,123,100,57,-943,0,37435.1748163188
"2050/2051",2051,123,123,100,46,-946,0,37398.0602158606
"2051/2052",2052,123,123,100,26,-940.5,0,37107.2733002007
"2052/2053",2053,123,123,100,27,-1005.5,0.142578766246885,37981.6536715869
"2053/2054",2054,123,123,100,27,-972.5,0,37508.0672845226
"2054/2055",2055,123,123,100,9,-1024,0,38241.3462420432
"2055/2056",2056,123,123,100,24,-950,0,37410.6410573069
"2056/2057",2057,123,123,100,41,-872.5,1.04297496730013,36549.2159069693
"2057/2058",2058,123,123,100,0,-1084,1.00226454468915,38346.2331920797
"2058/2059",2059,123,123,100,26,-1037.5,0.98963391551473,38248.3125537243
