"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,11,-1222,0,40652.0282818575
"2000/2001",2001,123,123,100,25,-1249,0,40835.2259893374
"2001/2002",2002,123,123,100,10,-1290.5,0,41116.1477554875
"2002/2003",2003,123,123,100,27,-1194.5,0,40323.7724092447
"2003/2004",2004,123,123,100,22,-1218.5,0,40533.3760356121
"2004/2005",2005,123,123,100,18,-1288,0,40887.338390276
"2005/2006",2006,123,123,100,20,-1171,0.999448745878866,40092.5561314364
"2006/2007",2007,123,123,100,38,-1193.5,0,40320.6784747683
"2007/2008",2008,123,123,100,29,-1387.5,0,42128.9313675496
"2008/2009",2009,123,123,100,15,-1270.5,0,41070.6420119216
"2009/2010",2010,123,123,100,38,-1185.5,0,40219.9821503051
"2010/2011",2011,123,123,100,7,-1255,0,40675.3177582026
"2011/2012",2012,123,123,100,19,-1260.5,0,40809.7898515549
"2012/2013",2013,123,123,100,21,-1173,0,40059.137798765
"2013/2014",2014,123,123,100,18,-1269,0,41006.1690158143
"2014/2015",2015,123,123,100,13,-1306.5,0,41434.7124094639
"2015/2016",2016,123,123,100,8,-1332.5,0,41599.2098653396
"2016/2017",2017,123,123,100,5,-1392,0,42030.912443792
"2017/2018",2018,123,123,100,15,-1240.5,0,40636.8526576902
"2018/2019",2019,123,123,100,43,-1240.5,0,40593.5188235785
"2019/2020",2020,123,123,100,34,-1291,0,40980.804639562
"2020/2021",2021,123,123,100,23,-1263,0,40995.4790316969
"2021/2022",2022,123,123,100,25,-1325,0,41592.892650655
"2022/2023",2023,123,123,100,28,-1219,1.01060075238503,40443.0476721572
"2023/2024",2024,123,123,100,11,-1333,0,41749.2438987079
"2024/2025",2025,123,123,100,41,-1284,0,41114.6945134327
"2025/2026",2026,123,123,100,25,-1231.5,1.00327332241659,40572.6509831054
"2026/2027",2027,123,123,100,0,-1359.5,0,41988.1705055707
"2027/2028",2028,123,123,100,11,-1342.5,0,41730.4611244756
"2028/2029",2029,123,123,100,16,-1154.5,0,39758.1230165428
"2029/2030",2030,123,123,100,2,-1376,0,41775.5318247718
"2030/2031",2031,123,123,100,13,-1200.5,0,40294.8353021014
"2031/2032",2032,123,123,100,10,-1243,0,40515.1089256667
"2032/2033",2033,123,123,100,22,-1171,0,39981.4265936399
"2033/2034",2034,123,123,100,15,-1313.5,0,41431.2531504231
"2034/2035",2035,123,123,100,20,-1297,0,41159.9042459959
"2035/2036",2036,123,123,100,14,-1154.5,0,39790.6049574548
"2036/2037",2037,123,123,100,24,-1322.5,0,41503.933508452
"2037/2038",2038,123,123,100,16,-1236.5,0,40850.2459668452
"2038/2039",2039,123,123,100,5,-1372,0,41896.3056621831
"2039/2040",2040,123,123,100,4,-1326,0,41284.0663111685
"2040/2041",2041,123,123,100,2,-1277,0,40946.5936365854
"2041/2042",2042,123,123,100,2,-1269,0,40842.1024156073
"2042/2043",2043,123,123,100,20,-1278.5,0,41113.9693163391
"2043/2044",2044,123,123,100,14,-1216.5,0,40617.1971525196
"2044/2045",2045,123,123,100,3,-1292,0,41068.9444652479
"2045/2046",2046,123,123,100,18,-1250.5,0,40769.793584126
"2046/2047",2047,123,123,100,4,-1360.5,0,41880.9042905308
"2047/2048",2048,123,123,100,21,-1263.5,0,40746.8941762652
"2048/2049",2049,123,123,100,36,-1195.5,0,40285.0040933648
"2049/2050",2050,123,123,100,49,-1204.5,0,40498.0084017497
"2050/2051",2051,123,123,100,38,-1201.5,0,40297.0801979117
