"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,20,-784.5,1.01169219233793,35724.0623238286
"2000/2001",2001,123,123,100,34,-814,1.01130346693943,35778.496886289
"2001/2002",2002,123,123,100,24,-859.5,1.00340783055693,36172.6870505369
"2002/2003",2003,123,123,100,54,-761,3.00209719675817,35408.4096400951
"2003/2004",2004,123,123,100,33,-780.5,2.01080694639625,35452.4066100288
"2004/2005",2005,123,123,100,32,-851,0,36000.1105828553
"2005/2006",2006,123,123,100,41,-733.5,2.01559952556609,35061.1763710272
"2006/2007",2007,123,123,100,51,-748,2.00521402009768,35235.7066154991
"2007/2008",2008,123,123,100,45,-958.5,3.03865395267164,37196.400807819
"2008/2009",2009,123,123,100,26,-835,0,36164.4054083622
"2009/2010",2010,123,123,100,57,-757,0.192588905056709,35350.532978304
"2010/2011",2011,123,123,100,30,-804,1.82194391000141,35684.1515184713
"2011/2012",2012,123,123,100,40,-832,0,36016.4830146991
"2012/2013",2013,123,123,100,49,-743.5,3.89132207991965,35202.3478380006
"2013/2014",2014,123,123,100,34,-848,1.005710356691,36029.7815780521
"2014/2015",2015,123,123,100,25,-880.5,1.00860014579578,36564.2544482979
"2015/2016",2016,123,123,100,16,-892.5,1.0047576216492,36719.5767966134
"2016/2017",2017,123,123,100,14,-935,1.00148189275812,36966.5240901506
"2017/2018",2018,123,123,100,28,-778,2.01204505568862,35477.2532110245
"2018/2019",2019,123,123,100,59,-810.5,0,35692.698336466
"2019/2020",2020,123,123,100,45,-865.5,2.01658159174363,36266.4802349049
"2020/2021",2021,123,123,100,43,-837.5,0,36030.9913996221
"2021/2022",2022,123,123,100,38,-914.5,2.01501894554445,36713.0415827078
"2022/2023",2023,123,123,100,37,-776,1.01636407223745,35251.9723895676
"2023/2024",2024,123,123,100,27,-926.5,0.98663569462704,37035.1239978382
"2024/2025",2025,123,123,100,55,-836.5,2.01489298699579,36007.6104280669
"2025/2026",2026,123,123,100,42,-773,2.01509453670067,35558.0247008097
"2026/2027",2027,123,123,100,3,-934.5,1.01406479735576,36996.8604304339
"2027/2028",2028,123,123,100,31,-908.5,0,36678.7744960501
"2028/2029",2029,123,123,100,52,-725,2.99138347579688,34878.474417123
"2029/2030",2030,123,123,100,9,-939.5,0,36788.4019077816
"2030/2031",2031,123,123,100,23,-777.5,0,35357.376907168
"2031/2032",2032,123,123,100,27,-799.5,0,35458.2533541713
"2032/2033",2033,123,123,100,45,-751,0.997595324366387,35270.7349962308
"2033/2034",2034,123,123,100,29,-875.5,0,36508.9098397275
"2034/2035",2035,123,123,100,30,-845,1.25465388847005,36067.3875118876
"2035/2036",2036,123,123,100,30,-698,1.00133675623806,34609.5679210355
"2036/2037",2037,123,123,100,34,-878.5,3.02503160480256,36531.5763170361
"2037/2038",2038,123,123,100,42,-816.5,2.01259318188858,36029.9935084782
"2038/2039",2039,123,123,100,17,-938,1.00108947921797,37037.6617119783
"2039/2040",2040,123,123,100,15,-886.5,0,36432.1016003103
"2040/2041",2041,123,123,100,15,-821.5,1.01610271417212,35902.2684955262
"2041/2042",2042,123,123,100,19,-825.5,0,36028.7787513882
"2042/2043",2043,123,123,100,33,-850,2.00763185185798,36037.8717101933
"2043/2044",2044,123,123,100,35,-788.5,1.99831728238115,35506.9435364613
"2044/2045",2045,123,123,100,12,-853,0,35979.1469864445
"2045/2046",2046,123,123,100,40,-799.5,0.989137275761152,35635.6592994267
"2046/2047",2047,123,123,100,7,-918,0,36752.0479146494
"2047/2048",2048,123,123,100,37,-846,1.00410048212882,35912.3991461713
"2048/2049",2049,123,123,100,50,-761.5,0,35357.7101673512
"2049/2050",2050,123,123,100,65,-777,1.00567012285359,35500.1705000298
"2050/2051",2051,123,123,100,55,-774,0,35534.4893184789
"2051/2052",2052,123,123,100,41,-770.5,0,35194.7249705624
"2052/2053",2053,123,123,100,35,-820,2.01465405946959,36079.2387507912
