"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,0,-2935,0,51010.5787363216
"2000/2001",2001,123,123,100,0,-2920.5,0,50792.5369186327
"2001/2002",2002,123,123,100,0,-2937,0,51442.7811550415
"2002/2003",2003,123,123,100,0,-2946.5,0,51150.9668696613
"2003/2004",2004,123,123,100,0,-2943,0,51248.6522357289
"2004/2005",2005,123,123,100,0,-2934,0,51032.2593664061
"2005/2006",2006,123,123,100,0,-2938.5,0,50229.4330648156
"2006/2007",2007,123,123,100,0,-2943,0,50051.7297512249
"2007/2008",2008,123,123,100,0,-2906.5,0,51209.5097774668
"2008/2009",2009,123,123,100,0,-2935,0,51643.0265980465
"2009/2010",2010,123,123,100,0,-2947.5,0,51111.841963731
"2010/2011",2011,123,123,100,0,-2946.5,0,50926.703470381
"2011/2012",2012,123,123,100,0,-2938,0,51414.8786900037
"2012/2013",2013,123,123,100,0,-2941,0,51080.8573015791
"2013/2014",2014,123,123,100,0,-2923.5,0,50870.9067704026
"2014/2015",2015,123,123,100,0,-2917.5,0,51502.8905044314
"2015/2016",2016,123,123,100,0,-2915,0,51190.6642118599
"2016/2017",2017,123,123,100,0,-2928,0,50852.905142067
"2017/2018",2018,123,123,100,0,-2936,0,49885.7269943389
"2018/2019",2019,123,123,100,0,-2930.5,0,51546.945131097
"2019/2020",2020,123,123,100,0,-2931.5,0,51822.7333580279
"2020/2021",2021,123,123,100,0,-2930.5,0,51437.7911433373
"2021/2022",2022,123,123,100,0,-2937,0,51122.6228122208
"2022/2023",2023,123,123,100,0,-2950,0,50007.6701560938
"2023/2024",2024,123,123,100,0,-2935.5,0,52264.3258504099
"2024/2025",2025,123,123,100,0,-2899,0,50161.3137769946
"2025/2026",2026,123,123,100,0,-2940.5,0,50499.9721024097
"2026/2027",2027,123,123,100,0,-2946.5,0,51788.3948464841
"2027/2028",2028,123,123,100,0,-2902,0,50994.9315108238
"2028/2029",2029,123,123,100,0,-2938,0,50804.5762661379
"2029/2030",2030,123,123,100,0,-2924.5,0,51234.5760088433
"2030/2031",2031,123,123,100,0,-2941,0,51257.2189315036
"2031/2032",2032,123,123,100,0,-2939.5,0,50273.8736095205
"2032/2033",2033,123,123,100,0,-2939.5,0,51667.214995198
"2033/2034",2034,123,123,100,0,-2935.5,0,51460.6194040626
"2034/2035",2035,123,123,100,0,-2939.5,0,50137.5818061009
"2035/2036",2036,123,123,100,0,-2939.5,0,50005.5265599452
"2036/2037",2037,123,123,100,0,-2931,0,51252.7862435877
"2037/2038",2038,123,123,100,0,-2921,0,52033.7886819793
"2038/2039",2039,123,123,100,0,-2936,0,51531.785579971
"2039/2040",2040,123,123,100,0,-2938.5,0,51374.4332765974
"2040/2041",2041,123,123,100,0,-2927,0,51083.23311288
"2041/2042",2042,123,123,100,0,-2924,0,51537.322720469
"2042/2043",2043,123,123,100,0,-2946.5,0,51112.7846181784
"2043/2044",2044,123,123,100,0,-2946,0,50610.5124576371
"2044/2045",2045,123,123,100,0,-2925.5,0,50601.2972328775
"2045/2046",2046,123,123,100,0,-2942,0,50071.4996052776
"2046/2047",2047,123,123,100,0,-2922,0,51172.7400232898
"2047/2048",2048,123,123,100,0,-2941,0,51353.6917177374
"2048/2049",2049,123,123,100,0,-2949,0,51515.7971338714
"2049/2050",2050,123,123,100,0,-2921.5,0,50298.6974381292
"2050/2051",2051,123,123,100,0,-2927,0,51149.3325618031
"2051/2052",2052,123,123,100,0,-2945,0,51522.7370121665
"2052/2053",2053,123,123,100,0,-2933,0,51644.1153489929
"2053/2054",2054,123,123,100,0,-2916.5,0,51003.2009723531
"2054/2055",2055,123,123,100,0,-2942,0,52038.2512806728
"2055/2056",2056,123,123,100,0,-2944,0,51805.0179227479
"2056/2057",2057,123,123,100,0,-2938,0,50594.2113160864
"2057/2058",2058,123,123,100,0,-2930,0,52093.3672802765
"2058/2059",2059,123,123,100,0,-2930.5,0,51469.0483497642
"2059/2060",2060,123,123,100,0,-2937,0,51772.4897193126
"2060/2061",2061,123,123,100,0,-2944,0,50489.5562481452
"2061/2062",2062,123,123,100,0,-2943,0,50751.5861935392
"2062/2063",2063,123,123,100,0,-2941,0,51005.8092568368
"2063/2064",2064,123,123,100,0,-2937.5,0,52015.4180335235
"2064/2065",2065,123,123,100,0,-2929.5,0,51064.8754107393
"2065/2066",2066,123,123,100,0,-2917.5,0,51379.5542521458
"2066/2067",2067,123,123,100,0,-2943,0,51698.475288121
"2067/2068",2068,123,123,100,0,-2944.5,0,51064.3832642604
"2068/2069",2069,123,123,100,0,-2934,0,51185.0708495192
"2069/2070",2070,123,123,100,0,-2946,0,51146.6913404055
"2070/2071",2071,123,123,100,0,-2940.5,0,51936.3567161374
"2071/2072",2072,123,123,100,0,-2932.5,0,51798.3356899098
"2072/2073",2073,123,123,100,0,-2898,0,51962.1242210921
"2073/2074",2074,123,123,100,0,-2931.5,0,52161.4807116389
"2074/2075",2075,123,123,100,0,-2938,0,50477.3988874126
"2075/2076",2076,123,123,100,0,-2935,0,51241.2004348282
"2076/2077",2077,123,123,100,0,-2909.5,0,50864.4673312251
"2077/2078",2078,123,123,100,0,-2945.5,0,51652.3484124281
"2078/2079",2079,123,123,100,0,-2923.5,0,51376.5807044115
"2079/2080",2080,123,123,100,0,-2914.5,0,50987.9862973168
"2080/2081",2081,123,123,100,0,-2930.5,0,52142.1752704792
"2081/2082",2082,123,123,100,0,-2942.5,0,51823.5921354443
"2082/2083",2083,123,123,100,0,-2934,0,50676.4209612068
"2083/2084",2084,123,123,100,0,-2895.5,0,51365.1314210556
"2084/2085",2085,123,123,100,0,-2915.5,0,50677.750506686
"2085/2086",2086,123,123,100,0,-2921.5,0,50415.3272141218
"2086/2087",2087,123,123,100,0,-2927.5,0,52684.8468244094
"2087/2088",2088,123,123,100,0,-2949,0,50795.961663641
"2088/2089",2089,123,123,100,0,-2943,0,50938.6312886607
"2089/2090",2090,123,123,100,0,-2928,0,51244.8325288966
"2090/2091",2091,123,123,100,0,-2941.5,0,50238.0399818867
"2091/2092",2092,123,123,100,0,-2941,0,51123.3333803397
"2092/2093",2093,123,123,100,0,-2940.5,0,49753.8263173699
"2093/2094",2094,123,123,100,0,-2929.5,0,50464.0909068156
"2094/2095",2095,123,123,100,0,-2935,0,51420.7643225789
"2095/2096",2096,123,123,100,0,-2943.5,0,51749.4549065772
"2096/2097",2097,123,123,100,0,-2935,0,51098.2753244638
"2097/2098",2098,123,123,100,0,-2943,0,50208.7135833707
"2098/2099",2099,123,123,100,0,-2916,0,51837.7560132146
"2099/2100",2100,123,123,100,0,-2934,0,50568.5913879853
