"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,714,988,56.4620187514979,18941.1492581156
"2000/2001",2001,123,123,100,663,910.5,56.5826949074332,19751.1937346109
"2001/2002",2002,123,123,100,741,941,55.1780238040133,19082.4838948581
"2002/2003",2003,123,123,100,728,1063,59.5413800631798,18456.7468089443
"2003/2004",2004,123,123,100,740,1011.5,60.5256571894641,18945.0740654558
"2004/2005",2005,123,123,100,708,961,56.4447866950979,19306.7534785743
"2005/2006",2006,123,123,100,676,902.5,54.1053292117235,19796.4429430101
"2006/2007",2007,123,123,100,678,917.5,55.0375895809011,19127.3272928824
"2007/2008",2008,123,123,100,786,881,47.9182187631475,19830.4055546131
"2008/2009",2009,123,123,100,766,967.5,55.430123998036,18911.6992384784
"2009/2010",2010,123,123,100,735,1169,61.4342915011722,17721.1052004365
"2010/2011",2011,123,123,100,634,940,56.7157745565934,19821.589561165
"2011/2012",2012,123,123,100,728,1021,59.2770084496414,18688.130897247
"2012/2013",2013,123,123,100,751,1094.5,62.7094972864978,17937.626744187
"2013/2014",2014,123,123,100,723,927,53.3921598665148,19634.4783868822
"2014/2015",2015,123,123,100,817,951.5,57.328861579859,18793.9961510245
"2015/2016",2016,123,123,100,793,953.5,53.4155897219091,19260.00245018
"2016/2017",2017,123,123,100,673,766,49.9553785937694,20902.2533718171
"2017/2018",2018,123,123,100,614,808,51.6602988041791,20778.3713930906
"2018/2019",2019,123,123,100,796,964.5,58.118301375993,18504.2858206832
"2019/2020",2020,123,123,100,833,1003,58.1118309208252,18647.2655875783
"2020/2021",2021,123,123,100,768,1072,57.358008340826,18540.1105613941
"2021/2022",2022,123,123,100,751,916,54.1693563673762,19786.7651578654
"2022/2023",2023,123,123,100,526,807.5,55.3115595144088,20911.9658170145
"2023/2024",2024,123,123,100,953,1005.5,53.0264004883109,18241.7147174873
"2024/2025",2025,123,123,100,675,886.5,54.3891111375667,19741.624976085
"2025/2026",2026,123,123,100,784,936.5,53.9449711059779,19521.9922578163
"2026/2027",2027,123,123,100,849,926,51.8126582796656,19389.2769529577
"2027/2028",2028,123,123,100,731,833,54.3767470328385,19942.0358248008
"2028/2029",2029,123,123,100,688,1108,62.4352430237786,17990.2688235394
"2029/2030",2030,123,123,100,733,799.5,50.4938996491862,20270.5479553016
"2030/2031",2031,123,123,100,707,1084.5,59.3723325814126,18301.1946480949
"2031/2032",2032,123,123,100,579,865,52.1395083877505,20071.9596273541
"2032/2033",2033,123,123,100,787,1200,64.8185526345724,17099.0204043323
"2033/2034",2034,123,123,100,781,971.5,54.0881720673078,18915.2903573783
"2034/2035",2035,123,123,100,654,732.5,48.4606664026282,21345.9502453422
"2035/2036",2036,123,123,100,566,958,57.9633263768478,19771.3265443174
"2036/2037",2037,123,123,100,828,946.5,53.7271342943868,19340.370809223
"2037/2038",2038,123,123,100,884,1097,62.0014478409362,17671.002766842
"2038/2039",2039,123,123,100,822,924.5,53.418307475255,19445.4602465266
"2039/2040",2040,123,123,100,736,919.5,53.4006375072045,19465.9635456386
"2040/2041",2041,123,123,100,735,948,56.4493050914584,19403.9292438524
"2041/2042",2042,123,123,100,792,1005,56.9900110606877,18694.9692008207
"2042/2043",2043,123,123,100,743,878,52.3544522703387,19803.8623158513
"2043/2044",2044,123,123,100,655,939,56.2653096238678,19737.8503330592
"2044/2045",2045,123,123,100,595,872,51.6987746769005,20257.8201143234
"2045/2046",2046,123,123,100,547,799.5,50.0945899220551,21272.9793461799
"2046/2047",2047,123,123,100,692,822,48.2336949104733,20215.0470825573
"2047/2048",2048,123,123,100,671,897,51.9939302936677,19578.9687032793
"2048/2049",2049,123,123,100,790,1091.5,57.5320240197234,18265.2408519732
"2049/2050",2050,123,123,100,745,959.5,54.4301371521315,18880.9114476489
"2050/2051",2051,123,123,100,782,1067.5,57.9230920756549,18334.2097264966
"2051/2052",2052,123,123,100,770,1185,65.1812920425068,17511.1222716225
"2052/2053",2053,123,123,100,826,1011,59.9272905697353,18107.458240889
"2053/2054",2054,123,123,100,739,1062,59.600471221614,18403.7764244098
"2054/2055",2055,123,123,100,844,1026.5,58.9547090928831,18384.632106211
"2055/2056",2056,123,123,100,829,1042,60.8436616009926,18024.1889791759
"2056/2057",2057,123,123,100,721,1109.5,62.3108773619647,18244.3606534414
"2057/2058",2058,123,123,100,895,1008,58.2082701970462,17944.2603346808
"2058/2059",2059,123,123,100,799,960,56.6072030714281,19146.3741703667
"2059/2060",2060,123,123,100,851,942,55.7021489843187,18953.3948668325
"2060/2061",2061,123,123,100,735,910.5,56.0004743794534,19547.2354870224
"2061/2062",2062,123,123,100,744,1031,58.7871537864066,18500.2849351
"2062/2063",2063,123,123,100,756,915,57.4374010299998,19413.283714666
"2063/2064",2064,123,123,100,820,1128,64.9750573750771,17533.5197229255
"2064/2065",2065,123,123,100,753,859.5,53.513463939461,19983.6765698362
"2065/2066",2066,123,123,100,846,923,55.8667278513458,19117.6787369587
"2066/2067",2067,123,123,100,786,1039,59.4824570555584,18321.7289449405
"2067/2068",2068,123,123,100,712,886.5,51.7259665025958,19889.6871425277
"2068/2069",2069,123,123,100,741,739.5,48.5849235054484,20813.4084050031
"2069/2070",2070,123,123,100,766,940,55.1703627329998,19570.1167478142
"2070/2071",2071,123,123,100,874,1146.5,64.8441752858726,17463.4750441946
"2071/2072",2072,123,123,100,797,1063,63.2931105227672,18019.3144708937
"2072/2073",2073,123,123,100,868,1066,61.1228961852812,17506.3810556075
"2073/2074",2074,123,123,100,888,1281,66.5130503722376,16181.5459160823
"2074/2075",2075,123,123,100,716,1115.5,64.3205090579759,17851.9396734154
"2075/2076",2076,123,123,100,714,998,57.2113718594965,19008.0015832381
"2076/2077",2077,123,123,100,733,952,55.974416643915,19490.1037164396
"2077/2078",2078,123,123,100,752,1058.5,60.1171412714921,18249.4573549349
"2078/2079",2079,123,123,100,799,1054,54.2658490034191,18464.0107270917
"2079/2080",2080,123,123,100,760,945,56.4053494702566,18931.1481192503
"2080/2081",2081,123,123,100,836,1099,59.1413805526226,17445.9271218395
