"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,354,357.5,34.272022443059,25337.6854179424
"2000/2001",2001,123,123,100,358,234.5,30.6126553137764,26441.7266552986
"2001/2002",2002,123,123,100,434,344.5,33.1557073476746,25366.3569741756
"2002/2003",2003,123,123,100,373,392,37.5893983232929,24996.3547737914
"2003/2004",2004,123,123,100,369,331,38.6261348341046,25549.4601716371
"2004/2005",2005,123,123,100,365,270.5,33.1145224911625,25898.3923388603
"2005/2006",2006,123,123,100,369,234,32.1286455957937,26637.491039354
"2006/2007",2007,123,123,100,384,256.5,33.7252555414661,25814.1701305878
"2007/2008",2008,123,123,100,443,269.5,29.349301753378,25644.0726511551
"2008/2009",2009,123,123,100,435,355.5,38.330418780579,25213.177390025
"2009/2010",2010,123,123,100,369,473,41.0760731498769,24394.0091700682
"2010/2011",2011,123,123,100,337,205,30.0174674516522,26714.0760171961
"2011/2012",2012,123,123,100,370,382.5,32.9992643135887,25072.8005863479
"2012/2013",2013,123,123,100,365,441.5,41.2770196443366,24654.07834459
"2013/2014",2014,123,123,100,379,281,31.7265228651161,26059.5735612295
"2014/2015",2015,123,123,100,427,378,31.1086221361319,24945.8550609597
"2015/2016",2016,123,123,100,415,327,28.6510005491846,25410.6436177532
"2016/2017",2017,123,123,100,384,123,26.8006048739372,26957.4295913461
"2017/2018",2018,123,123,100,293,99,31.6292243309223,27638.8397680128
"2018/2019",2019,123,123,100,463,360,35.7328048416349,25050.4780598329
"2019/2020",2020,123,123,100,440,407.5,32.2577545716101,24915.417101908
"2020/2021",2021,123,123,100,369,390.5,35.7947085687274,24908.331920349
"2021/2022",2022,123,123,100,360,293,26.8675302959538,25721.0920103821
"2022/2023",2023,123,123,100,306,58.5,31.4843350358709,27971.2871380202
"2023/2024",2024,123,123,100,548,487.5,34.2723447255164,24063.5585110867
"2024/2025",2025,123,123,100,366,231.5,34.2046300538656,26094.4093592009
"2025/2026",2026,123,123,100,375,293,32.3564727224481,25828.2743356558
"2026/2027",2027,123,123,100,443,325.5,33.2828822169339,25580.9119281918
