"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,233,278.5,36.597456297455,26099.5035155692
"2000/2001",2001,123,123,100,240,166,32.8730670079469,27263.9034678029
"2001/2002",2002,123,123,100,283,258.5,33.2889273247373,26359.8815255467
"2002/2003",2003,123,123,100,240,320.5,38.9723225185299,25792.2773325395
"2003/2004",2004,123,123,100,248,256.5,39.1809387703128,26287.3007055797
"2004/2005",2005,123,123,100,208,198,33.2969146858375,26846.9991867844
"2005/2006",2006,123,123,100,259,172,29.8775277004564,27426.6236935016
"2006/2007",2007,123,123,100,261,229,33.7238178051908,26347.2964087991
"2007/2008",2008,123,123,100,258,149.5,29.9806423536245,27102.7013518489
"2008/2009",2009,123,123,100,299,259,36.4702864051966,26168.0961819729
"2009/2010",2010,123,123,100,231,398.5,39.5182340565765,25113.6278688037
"2010/2011",2011,123,123,100,196,140.5,31.0023958010532,27574.5742505097
"2011/2012",2012,123,123,100,234,283,33.1986028460633,26045.9943245959
"2012/2013",2013,123,123,100,238,410,44.2091347661777,25198.8558090534
"2013/2014",2014,123,123,100,246,165.5,31.9290285782173,27065.0360132747
"2014/2015",2015,123,123,100,281,280,33.8450771586663,26086.9905249258
"2015/2016",2016,123,123,100,228,210,29.7383195718073,26599.4330811107
"2016/2017",2017,123,123,100,219,-4,26.8037473297899,28280.2122172988
"2017/2018",2018,123,123,100,185,14,33.2392263872918,28552.7338148265
"2018/2019",2019,123,123,100,344,310.5,35.8645285647929,25853.1029655272
"2019/2020",2020,123,123,100,276,301,35.5742841516715,26082.1892858422
"2020/2021",2021,123,123,100,215,267.5,36.5320283395627,26000.3812366757
"2021/2022",2022,123,123,100,193,158.5,27.4906674174242,27044.228645314
"2022/2023",2023,123,123,100,201,-3,29.5311838621511,28715.3402230497
"2023/2024",2024,123,123,100,352,392,35.394618247928,25235.7346642511
"2024/2025",2025,123,123,100,245,155.5,32.8216412557999,26831.1381806722
"2025/2026",2026,123,123,100,236,205,31.8447493687383,26663.1056384975
"2026/2027",2027,123,123,100,281,183.5,28.2918593288673,27020.7501058062
"2027/2028",2028,123,123,100,293,118,31.65703018263,27266.9513424402
"2028/2029",2029,123,123,100,227,365.5,40.8792143666237,25169.9148666696
"2029/2030",2030,123,123,100,310,90,24.8963084345282,27875.8398006815
"2030/2031",2031,123,123,100,222,327,38.3647520343768,25485.8088261047
"2031/2032",2032,123,123,100,214,85,32.158313423859,27834.6799653503
"2032/2033",2033,123,123,100,217,483,45.6643000241183,24207.8717930405
"2033/2034",2034,123,123,100,307,247,34.3348353407368,26282.0023478577
"2034/2035",2035,123,123,100,207,5.5,21.7672282316266,28971.3688168381
"2035/2036",2036,123,123,100,130,110.5,30.0349468728266,27533.2830509492
"2036/2037",2037,123,123,100,244,221.5,31.6368079810491,26319.8626842774
"2037/2038",2038,123,123,100,300,401,34.6629650669354,25041.7051024716
"2038/2039",2039,123,123,100,247,179.5,31.679404287948,26789.7938788421
"2039/2040",2040,123,123,100,260,188,32.8903460732743,26830.8853984904
"2040/2041",2041,123,123,100,249,196,35.1209051185026,27058.3220977094
"2041/2042",2042,123,123,100,272,274,31.6660570831382,26060.2797768665
"2042/2043",2043,123,123,100,270,164.5,31.1309564979738,27287.8338601273
"2043/2044",2044,123,123,100,189,175.5,34.0649028173671,27200.744761168
"2044/2045",2045,123,123,100,156,76.5,27.9458073399112,28038.0714317821
"2045/2046",2046,123,123,100,123,-32,24.824766837103,28984.9587715995
"2046/2047",2047,123,123,100,235,95,28.8240464999164,27708.1592905195
"2047/2048",2048,123,123,100,279,166,25.9175451708936,27113.6743020751
"2048/2049",2049,123,123,100,242,353,39.622595183652,25622.80314185
"2049/2050",2050,123,123,100,328,237.5,31.7956606584103,26078.8423881074
"2050/2051",2051,123,123,100,215,351,42.94306384587,25356.6319648679
"2051/2052",2052,123,123,100,253,414,40.0331145251084,24871.8179859025
"2052/2053",2053,123,123,100,326,376.5,35.6021092747251,25335.7414760925
"2053/2054",2054,123,123,100,202,296.5,35.6684302229992,25865.2415913409
"2054/2055",2055,123,123,100,306,310.5,34.877057159893,25914.0121638924
"2055/2056",2056,123,123,100,350,369.5,36.220530863659,25376.0345261618
