"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,269,409.5,41.5254087872352,24967.6953863525
"2000/2001",2001,123,123,100,277,304,34.1972468499677,26015.2969331765
"2001/2002",2002,123,123,100,326,374,37.2171484278226,25233.5008625479
"2002/2003",2003,123,123,100,287,457.5,44.0522280392504,24645.2674033644
"2003/2004",2004,123,123,100,290,415.5,42.236122553602,25014.0633154041
"2004/2005",2005,123,123,100,251,328,35.6872018073867,25596.8691264028
"2005/2006",2006,123,123,100,291,306,35.9640040656669,26156.8962868705
"2006/2007",2007,123,123,100,304,379.5,37.5841964262281,25103.2052895972
"2007/2008",2008,123,123,100,301,268.5,34.693870156486,26088.4919833899
"2008/2009",2009,123,123,100,336,388.5,41.2109454244186,25036.825440337
"2009/2010",2010,123,123,100,271,542.5,47.0106478881971,23871.0359317904
"2010/2011",2011,123,123,100,235,258.5,35.8235198278214,26318.4030880933
"2011/2012",2012,123,123,100,279,414.5,36.2284169945376,24871.3598831194
"2012/2013",2013,123,123,100,298,553.5,45.8676668846806,23946.1630922814
"2013/2014",2014,123,123,100,296,308.5,34.2445694490468,25870.9154089771
"2014/2015",2015,123,123,100,328,400.5,33.8057834936952,24925.8403646485
"2015/2016",2016,123,123,100,276,340.5,37.3771337444928,25482.2874780123
"2016/2017",2017,123,123,100,261,124.5,30.4499208420143,27190.7539149004
"2017/2018",2018,123,123,100,218,151.5,34.4860558189595,27263.4343389464
"2018/2019",2019,123,123,100,378,447,42.154085888224,24563.2597952273
"2019/2020",2020,123,123,100,323,435,37.6992336444397,24848.8629083687
"2020/2021",2021,123,123,100,254,391.5,37.6182982192827,24869.6578097604
"2021/2022",2022,123,123,100,232,289.5,29.1586298400975,26021.4218613831
"2022/2023",2023,123,123,100,237,141,31.9666941952426,27440.9811673816
"2023/2024",2024,123,123,100,416,514,39.8293503461962,24135.6052372362
"2024/2025",2025,123,123,100,276,293,35.2979735737972,25738.9173293496
"2025/2026",2026,123,123,100,281,336,36.9643754008639,25578.2989277914
"2026/2027",2027,123,123,100,331,314.5,32.4612354131193,25823.7546878178
"2027/2028",2028,123,123,100,325,253.5,33.6753647692581,26113.7682161615
"2028/2029",2029,123,123,100,271,510,46.2542260026119,23949.2858321457
"2029/2030",2030,123,123,100,339,209,28.4126426711803,26720.7928513852
"2030/2031",2031,123,123,100,278,463,41.8019294806766,24274.5678354208
"2031/2032",2032,123,123,100,243,233,35.335562573732,26450.5101797418
"2032/2033",2033,123,123,100,267,611.5,49.5792088735691,23062.6047641835
"2033/2034",2034,123,123,100,345,378,36.9562738446261,25146.4142674119
"2034/2035",2035,123,123,100,247,125.5,26.7863701037568,27642.6552496315
"2035/2036",2036,123,123,100,156,266.5,32.9516993053421,26170.6979373964
"2036/2037",2037,123,123,100,287,366.5,33.3537139589091,25328.5651180907
"2037/2038",2038,123,123,100,350,536,45.2509218239245,23744.7439106554
"2038/2039",2039,123,123,100,304,294,33.4282768374783,25789.9472050946
"2039/2040",2040,123,123,100,309,306.5,35.3648480584391,25674.4691633279
"2040/2041",2041,123,123,100,288,341.5,37.978406176187,25748.9729764331
"2041/2042",2042,123,123,100,318,410.5,39.644633824277,24772.2547020391
"2042/2043",2043,123,123,100,318,299.5,33.5524127287929,26060.7000679718
"2043/2044",2044,123,123,100,228,317,36.1435845210976,25980.2414321043
"2044/2045",2045,123,123,100,182,210.5,30.3594979791135,26765.2520684134
"2045/2046",2046,123,123,100,169,108.5,28.8048591052057,27764.5711886678
"2046/2047",2047,123,123,100,276,238.5,31.0119366058113,26476.0017471164
"2047/2048",2048,123,123,100,316,290.5,28.1791080329222,25883.8339223918
"2048/2049",2049,123,123,100,288,477.5,41.2857334266828,24477.2279578997
"2049/2050",2050,123,123,100,351,375.5,35.6974532222671,24823.4549382497
"2050/2051",2051,123,123,100,267,488.5,43.7818944877631,24249.013048918
"2051/2052",2052,123,123,100,290,544.5,43.1785704946087,23622.5161535433
"2052/2053",2053,123,123,100,381,509.5,39.3923217503229,24118.3876274275
"2053/2054",2054,123,123,100,248,425,38.5800772203579,24687.0682235518
"2054/2055",2055,123,123,100,358,454.5,37.2404286632941,24663.1359389871
"2055/2056",2056,123,123,100,398,522.5,43.5241292410924,24065.6808918687
"2056/2057",2057,123,123,100,234,515,40.7037404422431,24199.6314196466
"2057/2058",2058,123,123,100,468,503,41.0876895193041,23967.8472848227
"2058/2059",2059,123,123,100,299,377,37.918745475597,25305.2276858976
"2059/2060",2060,123,123,100,393,397,35.5291949275206,25120.275578035
"2060/2061",2061,123,123,100,348,336.5,37.3060221829514,25825.813165402
"2061/2062",2062,123,123,100,325,430,43.8360318419786,24648.8592494968
"2062/2063",2063,123,123,100,298,340,36.7014602407671,25482.1892615845
"2063/2064",2064,123,123,100,345,549.5,42.8058853987891,23623.9428247847
"2064/2065",2065,123,123,100,304,260,30.6748718649906,26327.978450899
"2065/2066",2066,123,123,100,347,367.5,35.0397300380482,25190.1390442792
"2066/2067",2067,123,123,100,340,454,41.3024581023665,24626.0372382645
"2067/2068",2068,123,123,100,265,308,39.138356240032,26148.5342160566
"2068/2069",2069,123,123,100,326,161,29.4091223752844,27135.7151034605
"2069/2070",2070,123,123,100,285,290.5,40.3614068514016,26048.5964278774
"2070/2071",2071,123,123,100,377,578.5,46.125823967991,23537.316420339
"2071/2072",2072,123,123,100,319,488.5,37.8678480762173,24186.7497471711
"2072/2073",2073,123,123,100,424,565.5,42.0698770740019,23380.1662604557
"2073/2074",2074,123,123,100,387,730.5,52.8112199337879,22025.5661612106
"2074/2075",2075,123,123,100,301,529,44.252961867337,23772.5536819203
"2075/2076",2076,123,123,100,290,383,41.6028538049377,25199.2679697974
"2076/2077",2077,123,123,100,258,317,35.9155376263097,25695.863608635
"2077/2078",2078,123,123,100,316,475,40.1770666681837,24470.7299695089
"2078/2079",2079,123,123,100,304,464,43.2490477445504,24602.9389915671
"2079/2080",2080,123,123,100,332,354,38.3299713153838,25047.0865131533
"2080/2081",2081,123,123,100,400,602,41.93415601367,23309.0119828628
"2081/2082",2082,123,123,100,407,544.5,46.3612404356973,23814.3226438425
"2082/2083",2083,123,123,100,270,386,38.5645509707947,25243.179599259
"2083/2084",2084,123,123,100,323,370.5,38.7809794535915,25176.7838918325
"2084/2085",2085,123,123,100,328,381,37.0297186308085,25123.2926193271
"2085/2086",2086,123,123,100,238,201,35.2880854439741,26483.9750274513
"2086/2087",2087,123,123,100,479,581.5,42.9030212543407,23171.6101861298
"2087/2088",2088,123,123,100,255,371.5,42.9466495118118,25392.2862487324
"2088/2089",2089,123,123,100,262,475,41.7572487943439,24332.2962503359
"2089/2090",2090,123,123,100,306,397.5,40.9549454773028,25119.0984070171
"2090/2091",2091,123,123,100,202,443.5,40.9312495337317,24651.6188155562
"2091/2092",2092,123,123,100,338,452.5,36.4020255128048,24629.3048686534
"2092/2093",2093,123,123,100,151,73,28.0202689337871,28151.5182263628
"2093/2094",2094,123,123,100,156,206.5,30.0404463090631,26690.4095336311
"2094/2095",2095,123,123,100,353,469.5,42.7557553098832,24622.4453152716
"2095/2096",2096,123,123,100,261,577.5,50.9743669528089,23620.2519364022
"2096/2097",2097,123,123,100,254,305.5,32.7403153002469,25970.6463071052
"2097/2098",2098,123,123,100,205,283.5,36.3068526704146,26131.3211116381
"2098/2099",2099,123,123,100,359,522.5,39.1304856739471,23880.0533631518
"2099/2100",2100,123,123,100,272,225,36.21049930961,26746.4475916382
