"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,448,849,54.3011823114706,20964.8659309295
"2000/2001",2001,123,123,100,437,746,51.1743973632546,21827.0648278328
"2001/2002",2002,123,123,100,483,804.5,52.54562067872,21128.5949168093
"2002/2003",2003,123,123,100,479,906.5,56.7599694979677,20514.9759498453
"2003/2004",2004,123,123,100,461,881,55.6497349763605,20911.3704849356
"2004/2005",2005,123,123,100,431,800.5,55.0792986616727,21435.3401054416
"2005/2006",2006,123,123,100,433,754,50.5186912790985,21750.6531315652
"2006/2007",2007,123,123,100,439,842.5,53.2967381896685,20857.4637253893
"2007/2008",2008,123,123,100,476,700.5,46.6137050261567,22292.268106232
"2008/2009",2009,123,123,100,500,831.5,53.863008750438,21017.623285238
"2009/2010",2010,123,123,100,463,1026.5,59.9253948946292,19605.473940069
"2010/2011",2011,123,123,100,371,747.5,54.9927360309086,21868.0096721828
"2011/2012",2012,123,123,100,443,867.5,56.2387182083546,20777.0965856067
"2012/2013",2013,123,123,100,510,984,59.4110770178628,19714.0204719494
"2013/2014",2014,123,123,100,445,765,52.2465814579468,21800.104345059
"2014/2015",2015,123,123,100,491,819,51.8776313352354,21032.0056721375
"2015/2016",2016,123,123,100,478,787,51.4740396783432,21516.8986534753
"2016/2017",2017,123,123,100,413,570.5,43.3375752207467,23456.1230382111
"2017/2018",2018,123,123,100,348,626,47.525439605485,22971.0779711152
"2018/2019",2019,123,123,100,558,873.5,54.4674028029356,20442.7369087497
"2019/2020",2020,123,123,100,517,876,54.1266358504593,20736.240035312
"2020/2021",2021,123,123,100,454,881.5,54.4804940667204,20780.589631441
"2021/2022",2022,123,123,100,414,719,48.2046040681307,22163.4429743001
"2022/2023",2023,123,123,100,345,620,48.4989818465765,23040.0194274844
"2023/2024",2024,123,123,100,625,921,53.0884598069376,20386.9340027208
"2024/2025",2025,123,123,100,407,751.5,50.8483720997046,21789.0284298044
"2025/2026",2026,123,123,100,492,797,53.9950054026108,21568.353349783
"2026/2027",2027,123,123,100,521,766,50.7254375866146,21717.13880827
"2027/2028",2028,123,123,100,455,695,48.8336230455538,22143.4299741406
"2028/2029",2029,123,123,100,444,990,59.3896557152173,19641.4008485568
"2029/2030",2030,123,123,100,476,656.5,47.2805247990211,22600.8393717161
"2030/2031",2031,123,123,100,427,932.5,56.6919874304836,20210.9857033356
"2031/2032",2032,123,123,100,353,699.5,51.4302313174849,22043.9222545805
"2032/2033",2033,123,123,100,482,1075,61.3394339135389,18982.0936531723
"2033/2034",2034,123,123,100,473,839,52.1785796130284,21102.4910983969
"2034/2035",2035,123,123,100,403,581,44.8300400982439,23413.3952675527
"2035/2036",2036,123,123,100,298,770.5,52.6649569039469,21755.5678082039
"2036/2037",2037,123,123,100,454,800,51.2211827497104,21612.7565874849
"2037/2038",2038,123,123,100,549,997,56.265277619515,19652.1948979823
"2038/2039",2039,123,123,100,471,755,48.7142174960468,21870.7297486071
"2039/2040",2040,123,123,100,474,773.5,52.0934103206855,21700.2964484058
"2040/2041",2041,123,123,100,470,787,51.6269854584643,21458.4832266374
