"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,246,423,42.6064219347339,24858.481101592
"2000/2001",2001,123,123,100,264,321.5,36.3612663114789,25921.4056827274
"2001/2002",2002,123,123,100,313,408,40.9084326122964,25060.627506835
"2002/2003",2003,123,123,100,270,481.5,43.3401748137064,24474.795642369
"2003/2004",2004,123,123,100,273,425,42.312690066316,24988.9700167304
"2004/2005",2005,123,123,100,229,360.5,38.5995570698466,25445.1749812086
"2005/2006",2006,123,123,100,281,327.5,39.6329578585632,26034.387798803
"2006/2007",2007,123,123,100,289,390.5,40.4345577007662,24927.1726883794
"2007/2008",2008,123,123,100,282,283.5,36.8153129395245,25949.4404614759
"2008/2009",2009,123,123,100,334,406,44.029444201237,24909.2899741998
"2009/2010",2010,123,123,100,251,563,48.984610817172,23706.8042388017
"2010/2011",2011,123,123,100,207,285,37.1565591303648,26092.225274751
"2011/2012",2012,123,123,100,271,424,38.2869634307774,24797.6401987555
"2012/2013",2013,123,123,100,265,568.5,47.1092597542774,23749.0375917826
"2013/2014",2014,123,123,100,271,309,33.2899945211939,25780.9163544651
"2014/2015",2015,123,123,100,299,418,36.8439863061262,24841.4157938538
"2015/2016",2016,123,123,100,262,352,39.6717395580387,25328.5190352683
"2016/2017",2017,123,123,100,238,135,28.5863311437863,27146.8043197603
"2017/2018",2018,123,123,100,207,161,36.0074450172659,27210.1984456629
"2018/2019",2019,123,123,100,372,458.5,43.3954439880597,24509.4772722402
"2019/2020",2020,123,123,100,311,449,38.9280041509815,24767.7095802526
"2020/2021",2021,123,123,100,242,418,42.8327305591126,24702.9713919032
"2021/2022",2022,123,123,100,225,306.5,32.6696143596423,25894.6847659727
"2022/2023",2023,123,123,100,208,167.5,33.380345448918,27219.8702255785
"2023/2024",2024,123,123,100,399,520.5,39.4766238631778,24062.465312405
"2024/2025",2025,123,123,100,262,299.5,35.9339855474427,25672.6041966933
"2025/2026",2026,123,123,100,264,363.5,37.4315792759414,25386.4223110629
"2026/2027",2027,123,123,100,313,330.5,34.6163390622405,25672.8818013482
"2027/2028",2028,123,123,100,308,280.5,38.9069909981897,25959.24394143
"2028/2029",2029,123,123,100,255,534.5,49.1445450931549,23694.661739408
"2029/2030",2030,123,123,100,320,236.5,28.5355735435517,26542.7324080709
"2030/2031",2031,123,123,100,256,475.5,42.9842038840518,24139.7925141701
"2031/2032",2032,123,123,100,225,253,35.8091656461404,26379.5195826557
"2032/2033",2033,123,123,100,251,644.5,49.4777305432874,22847.2168800929
"2033/2034",2034,123,123,100,317,402.5,37.0501640175021,24963.7282934333
"2034/2035",2035,123,123,100,234,127,28.7250730354192,27621.2239743504
"2035/2036",2036,123,123,100,140,277,34.1693697004146,26076.928029859
"2036/2037",2037,123,123,100,260,385,35.8266550646194,25135.700397416
"2037/2038",2038,123,123,100,328,557,43.8927202857233,23631.7678653048
"2038/2039",2039,123,123,100,269,333.5,34.4907271696334,25521.2628520215
"2039/2040",2040,123,123,100,279,332,35.9046352391438,25558.3006530255
"2040/2041",2041,123,123,100,257,358.5,39.4953438533751,25634.1978997979
"2041/2042",2042,123,123,100,298,433,42.0638160484152,24677.9394630259
"2042/2043",2043,123,123,100,295,315.5,33.7840925451437,25871.0531035801
"2043/2044",2044,123,123,100,220,332,38.0475082594135,25839.0227427213
"2044/2045",2045,123,123,100,171,226,30.6352508840964,26662.1826107902
"2045/2046",2046,123,123,100,149,120,30.9636796245422,27621.665802421
"2046/2047",2047,123,123,100,249,254.5,32.2707946396904,26459.0116939712
"2047/2048",2048,123,123,100,312,307.5,34.5712474249476,25736.0945989415
"2048/2049",2049,123,123,100,281,501.5,44.3489062318122,24222.944054612
"2049/2050",2050,123,123,100,329,405,35.2121913468704,24817.5346466498
"2050/2051",2051,123,123,100,260,498.5,45.845732516374,24058.2745855004
"2051/2052",2052,123,123,100,270,563.5,45.1611487975042,23491.3227136414
"2052/2053",2053,123,123,100,360,547,44.9118335403964,23918.0619678432
"2053/2054",2054,123,123,100,227,444,39.7774265070125,24448.8102281578
"2054/2055",2055,123,123,100,323,476.5,39.4608936457926,24500.8367151329
"2055/2056",2056,123,123,100,391,531,43.3793494062966,23869.1491169892
"2056/2057",2057,123,123,100,209,524.5,45.8803716536377,24079.2623103103
"2057/2058",2058,123,123,100,447,519,42.9668572659361,23795.3619291373
"2058/2059",2059,123,123,100,290,394.5,40.9930401074926,25250.4049883857
"2059/2060",2060,123,123,100,364,433,39.9814685943702,24925.911899888
"2060/2061",2061,123,123,100,326,363,39.3133804174454,25621.6350348229
"2061/2062",2062,123,123,100,296,476.5,43.1190467627202,24410.8206831515
"2062/2063",2063,123,123,100,274,358,37.5456052404561,25244.4333955646
"2063/2064",2064,123,123,100,321,573.5,45.6154266774051,23431.5950991968
"2064/2065",2065,123,123,100,275,280.5,32.8434312386071,26268.5408151075
"2065/2066",2066,123,123,100,316,395,36.9252128956009,25004.5228328742
"2066/2067",2067,123,123,100,318,486.5,43.2342009953754,24381.3602727931
"2067/2068",2068,123,123,100,259,320.5,40.5110874135212,26011.693823047
"2068/2069",2069,123,123,100,304,180.5,32.9772296191309,27009.0028904732
"2069/2070",2070,123,123,100,258,317.5,40.8296087149924,25793.7578085484
"2070/2071",2071,123,123,100,364,596,47.778636065294,23331.2245344315
"2071/2072",2072,123,123,100,317,494.5,39.8706141745101,24072.7700999789
"2072/2073",2073,123,123,100,410,588,43.1502141345036,23224.6257325746
"2073/2074",2074,123,123,100,370,751,55.127498895788,21832.949377236
"2074/2075",2075,123,123,100,283,558.5,46.1102677155172,23496.3393723434
"2075/2076",2076,123,123,100,274,403,42.3905331426977,25097.1672284007
"2076/2077",2077,123,123,100,250,333,38.5979139189021,25571.8128217719
"2077/2078",2078,123,123,100,288,498,40.5277211746607,24290.769250121
"2078/2079",2079,123,123,100,277,477.5,41.1676827170795,24484.1543592978
"2079/2080",2080,123,123,100,324,387.5,39.3065632134776,24874.2309723673
"2080/2081",2081,123,123,100,393,606.5,44.6302643445056,23210.376820039
"2081/2082",2082,123,123,100,380,586.5,45.6654912526083,23587.5107346317
"2082/2083",2083,123,123,100,244,394,39.2691392296842,25214.699333868
"2083/2084",2084,123,123,100,308,367,38.9614674556087,25251.1898050699
"2084/2085",2085,123,123,100,305,404,39.1031808870912,24990.378988076
"2085/2086",2086,123,123,100,210,228,33.5454059727781,26492.7495822422
"2086/2087",2087,123,123,100,463,604,44.6306714887933,22987.5771221872
"2087/2088",2088,123,123,100,240,380,42.5655548822833,25171.0154088028
"2088/2089",2089,123,123,100,240,494,44.9354721384088,24242.1639406066
"2089/2090",2090,123,123,100,286,415.5,43.196272745502,24922.8860103227
"2090/2091",2091,123,123,100,182,472.5,47.4488416914764,24420.8271209989
"2091/2092",2092,123,123,100,320,469,37.7908937195634,24496.569000937
"2092/2093",2093,123,123,100,139,85,29.9515747768792,28031.4308494646
"2093/2094",2094,123,123,100,136,218,33.1503772895849,26633.968431171
"2094/2095",2095,123,123,100,338,476.5,44.88025350521,24425.5476820581
"2095/2096",2096,123,123,100,236,610,49.9486854563293,23417.5784657933
"2096/2097",2097,123,123,100,240,330.5,37.206582283462,25773.8816959467
"2097/2098",2098,123,123,100,198,304.5,35.2640054548565,25967.939960815
"2098/2099",2099,123,123,100,339,545,43.6538479315068,23731.8655533064
"2099/2100",2100,123,123,100,248,247.5,36.3539674633867,26593.111587733
