"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,361,599,43.1612374187829,23290.7679415255
"2000/2001",2001,123,123,100,356,482.5,41.6725163921728,24292.8999734024
"2001/2002",2002,123,123,100,405,551,44.4893327454046,23504.8884831589
"2002/2003",2003,123,123,100,381,637,46.377701304284,22942.2197966842
"2003/2004",2004,123,123,100,366,595.5,45.6871799676482,23364.6709045254
"2004/2005",2005,123,123,100,355,528,42.6447512149743,23876.0323130382
"2005/2006",2006,123,123,100,374,491,41.1975030363853,24354.7285921151
"2006/2007",2007,123,123,100,374,569.5,45.5403441739614,23348.7006139376
"2007/2008",2008,123,123,100,401,451,36.2123493092894,24476.137029502
"2008/2009",2009,123,123,100,422,561.5,46.4930756717487,23360.9325189419
"2009/2010",2010,123,123,100,372,752.5,52.1181778989588,22111.8917636891
"2010/2011",2011,123,123,100,307,454,44.1141116761652,24488.4702648548
"2011/2012",2012,123,123,100,360,597,42.6902236432112,23166.3572051865
"2012/2013",2013,123,123,100,413,736.5,51.0547283702089,22201.656489721
"2013/2014",2014,123,123,100,372,510.5,41.6297103007653,24149.9541606866
"2014/2015",2015,123,123,100,413,584,40.5093986652972,23311.7810017501
"2015/2016",2016,123,123,100,381,526.5,41.2088432283658,23781.7607412708
"2016/2017",2017,123,123,100,341,314,33.4568219166003,25593.5887665164
"2017/2018",2018,123,123,100,287,363,41.7975471039581,25501.0357954495
"2018/2019",2019,123,123,100,460,611.5,43.3676422697395,22953.1966940623
"2019/2020",2020,123,123,100,416,617,41.1837985254524,23184.3535243669
"2020/2021",2021,123,123,100,362,587.5,47.8846388233601,23142.7581545748
"2021/2022",2022,123,123,100,319,479.5,35.7141334074856,24324.399237521
"2022/2023",2023,123,123,100,297,326.5,36.0489779605282,25616.2762272782
"2023/2024",2024,123,123,100,529,682.5,44.6882815785589,22595.1995881046
"2024/2025",2025,123,123,100,351,480.5,41.4332938583113,24039.9864249029
"2025/2026",2026,123,123,100,369,535.5,44.2901383773039,23869.4015526315
