"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,269,499,43.7274358461783,24192.0577432553
"2000/2001",2001,123,123,100,281,394,40.2254171269621,25213.5311200571
"2001/2002",2002,123,123,100,325,476,43.2114144150226,24406.409597556
"2002/2003",2003,123,123,100,284,547,46.6823988743672,23810.9433003258
"2003/2004",2004,123,123,100,286,506.5,45.3224239117693,24237.5869295995
"2004/2005",2005,123,123,100,245,431,42.1564208025796,24768.2897593451
"2005/2006",2006,123,123,100,291,400,41.4767053619804,25256.9247443519
"2006/2007",2007,123,123,100,299,482.5,43.9333782806313,24195.2843586466
"2007/2008",2008,123,123,100,294,354,34.1682671567831,25437.69423495
"2008/2009",2009,123,123,100,342,480,44.8036112273124,24227.9300496699
"2009/2010",2010,123,123,100,270,653,50.401665811847,22978.3885948326
"2010/2011",2011,123,123,100,221,361.5,40.0051281157014,25396.9011268478
"2011/2012",2012,123,123,100,278,507,39.5400148009739,24083.1875543909
"2012/2013",2013,123,123,100,301,641.5,51.6297946561942,23037.2330731202
"2013/2014",2014,123,123,100,294,392.5,39.2979420851836,25098.8819490396
"2014/2015",2015,123,123,100,322,488,39.2299970117912,24179.5801501328
"2015/2016",2016,123,123,100,271,430.5,41.1104063827039,24705.3448829427
"2016/2017",2017,123,123,100,259,210.5,30.4041032411864,26554.5941449436
"2017/2018",2018,123,123,100,223,243,39.5608452332017,26447.9432696423
"2018/2019",2019,123,123,100,379,551,43.1972732994849,23735.1005687942
"2019/2020",2020,123,123,100,322,528.5,39.213229384243,24057.7174264602
"2020/2021",2021,123,123,100,258,493,41.4698407967835,24059.8472931073
"2021/2022",2022,123,123,100,237,375,32.8724825742036,25318.0232598586
"2022/2023",2023,123,123,100,227,244.5,34.5343834094242,26542.4813350444
"2023/2024",2024,123,123,100,415,590.5,42.935631494274,23399.0165371499
"2024/2025",2025,123,123,100,275,375,41.5592289759627,25019.6026714938
"2025/2026",2026,123,123,100,280,435,43.4194986647594,24774.8683312773
"2026/2027",2027,123,123,100,325,404.5,38.3104100723865,24991.0155721884
"2027/2028",2028,123,123,100,317,349.5,40.9111610890818,25323.0257956726
"2028/2029",2029,123,123,100,273,617,49.0467416211277,23012.3222871474
"2029/2030",2030,123,123,100,335,310,31.7706579160813,25900.7819709983
"2030/2031",2031,123,123,100,292,558,45.7243580352063,23456.7249384718
"2031/2032",2032,123,123,100,238,324.5,40.9724228412301,25591.5199023965
"2032/2033",2033,123,123,100,269,710,52.1870869812428,22198.4642213918
"2033/2034",2034,123,123,100,336,465.5,40.9721282364005,24353.0236184788
"2034/2035",2035,123,123,100,242,213.5,33.8883788356225,26867.9374829996
"2035/2036",2036,123,123,100,151,363.5,37.2665766082559,25282.2325537126
"2036/2037",2037,123,123,100,287,456,36.7772466000361,24599.6741660987
"2037/2038",2038,123,123,100,340,636.5,47.6768305322878,22921.1854029968
"2038/2039",2039,123,123,100,292,402.5,36.8426004935211,25008.7211410957
"2039/2040",2040,123,123,100,299,405,41.1027310449776,24896.8058217335
"2040/2041",2041,123,123,100,278,430,41.5441834648927,24902.1987482905
"2041/2042",2042,123,123,100,327,506.5,47.1864472166546,23947.9772964949
"2042/2043",2043,123,123,100,306,378.5,35.9003472123964,25198.6120622624
"2043/2044",2044,123,123,100,227,412.5,40.6544403470612,25114.1890460802
"2044/2045",2045,123,123,100,176,293,33.6839245136262,25921.6314315125
"2045/2046",2046,123,123,100,160,202.5,33.9379006413997,26968.8180409325
"2046/2047",2047,123,123,100,268,330.5,36.8324521242976,25769.8999465182
"2047/2048",2048,123,123,100,324,379,37.7111906614955,25026.2018117532
"2048/2049",2049,123,123,100,298,578,46.8581692949615,23557.2602606034
"2049/2050",2050,123,123,100,353,461,37.8906715621843,24170.7956354907
"2050/2051",2051,123,123,100,270,583,49.1117313925006,23449.3857124932
"2051/2052",2052,123,123,100,290,647,49.8674700428655,22753.4583371021
"2052/2053",2053,123,123,100,385,613.5,44.4161097023416,23246.5118347108
"2053/2054",2054,123,123,100,238,530.5,43.7252785514916,23809.4455159092
"2054/2055",2055,123,123,100,347,552,40.9072855977788,23813.3352824757
"2055/2056",2056,123,123,100,404,607.5,46.96086168173,23132.9265947519
"2056/2057",2057,123,123,100,233,614,49.0589204776702,23328.8238140671
"2057/2058",2058,123,123,100,465,606,48.4911280874903,23089.915935955
"2058/2059",2059,123,123,100,305,472.5,42.8037664291369,24553.6940316837
"2059/2060",2060,123,123,100,391,498,40.8342149406417,24291.3068316886
"2060/2061",2061,123,123,100,343,448,40.3844596581998,24887.4019830059
"2061/2062",2062,123,123,100,325,551,47.9954070794729,23657.750363702
"2062/2063",2063,123,123,100,290,442.5,40.9662903587691,24673.2371450253
"2063/2064",2064,123,123,100,346,654.5,49.3376493541509,22750.1043265183
"2064/2065",2065,123,123,100,302,348,33.1301292793128,25567.0068173427
"2065/2066",2066,123,123,100,349,460,41.4775245711812,24389.5071286568
"2066/2067",2067,123,123,100,334,558,46.36527243111,23666.5921531264
"2067/2068",2068,123,123,100,276,383.5,39.5303331119303,25331.5645527821
"2068/2069",2069,123,123,100,318,244,35.2999723067528,26395.7497276934
"2069/2070",2070,123,123,100,280,381,41.0665282723639,25141.2706554718
"2070/2071",2071,123,123,100,380,672,48.9332378414924,22588.855661951
"2071/2072",2072,123,123,100,325,573,44.9584717802377,23335.6822202867
"2072/2073",2073,123,123,100,427,655.5,44.4067398704196,22599.4692403562
"2073/2074",2074,123,123,100,390,831.5,55.8401607713181,21128.1491498565
"2074/2075",2075,123,123,100,302,638,50.2581642188852,22826.0403930256
"2075/2076",2076,123,123,100,281,478,44.5737661677767,24396.113924291
"2076/2077",2077,123,123,100,252,413.5,39.9103510713135,24957.2804001467
"2077/2078",2078,123,123,100,310,583,43.9655201276464,23557.2983516753
"2078/2079",2079,123,123,100,299,554,45.5262015757371,23824.2462600153
"2079/2080",2080,123,123,100,327,447,43.6069291075041,24218.8649481935
"2080/2081",2081,123,123,100,398,702,47.9496894174135,22429.2023642873
"2081/2082",2082,123,123,100,414,663,49.3332419513044,22896.7559572561
"2082/2083",2083,123,123,100,270,478.5,41.090510823497,24474.1527807694
"2083/2084",2084,123,123,100,325,447,41.8784451121846,24524.7635142114
"2084/2085",2085,123,123,100,330,473,42.6496253404212,24400.015467966
"2085/2086",2086,123,123,100,229,299.5,38.9019988577656,25816.7647022642
"2086/2087",2087,123,123,100,476,675.5,46.7065215875145,22318.3597806413
"2087/2088",2088,123,123,100,256,470,44.6523108768779,24530.787268512
"2088/2089",2089,123,123,100,276,583.5,46.4792583494818,23487.9781437516
"2089/2090",2090,123,123,100,302,501,43.9480327070687,24240.8923016246
"2090/2091",2091,123,123,100,196,551.5,45.6000444221236,23694.7268502116
