"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,142,-90.5,21.8184060503204,29253.5635764147
"2000/2001",2001,123,123,100,138,-188.5,18.9248813761325,30230.3058288412
"2001/2002",2002,123,123,100,180,-78.5,22.5594517841439,29312.3310088033
"2002/2003",2003,123,123,100,121,-44,25.8514697075182,28942.8242354564
"2003/2004",2004,123,123,100,148,-103,24.7751050222834,29408.4135511877
"2004/2005",2005,123,123,100,119,-149,17.177078368101,29870.7730013039
"2005/2006",2006,123,123,100,143,-176.5,24.8705104177262,30537.5104190084
"2006/2007",2007,123,123,100,166,-95.5,21.6436047911907,29329.7424748873
"2007/2008",2008,123,123,100,152,-173.5,23.1560522826241,29865.6255379673
"2008/2009",2009,123,123,100,169,-85,20.2863864272364,29131.1686414761
"2009/2010",2010,123,123,100,121,49.5,28.0332467674315,28236.3452784528
"2010/2011",2011,123,123,100,97,-205,16.9513658772833,30785.9910499158
"2011/2012",2012,123,123,100,143,-67,24.2600740571837,29113.4270766773
"2012/2013",2013,123,123,100,133,48,28.9072183239744,28282.9413488961
"2013/2014",2014,123,123,100,144,-161.5,22.0810645023673,30079.4650903165
"2014/2015",2015,123,123,100,181,-56,24.4877003697952,29037.8895712534
"2015/2016",2016,123,123,100,138,-126,20.9861786875712,29594.322353859
"2016/2017",2017,123,123,100,139,-321.5,16.9469385760393,31112.6155256266
"2017/2018",2018,123,123,100,111,-331.5,21.9223902506303,31648.3750694133
"2018/2019",2019,123,123,100,223,-11.5,26.9022263948741,28781.6476634825
"2019/2020",2020,123,123,100,170,-45,25.8691488419464,29035.1198680005
"2020/2021",2021,123,123,100,108,-71.5,24.0938268705206,29117.7578093279
"2021/2022",2022,123,123,100,106,-187,22.793570860955,29987.6947716153
"2022/2023",2023,123,123,100,98,-334,22.6532500722602,31760.2521607112
"2023/2024",2024,123,123,100,225,81.5,25.5891235377892,27984.8150116778
"2024/2025",2025,123,123,100,123,-183,22.549515915618,29718.9692589571
"2025/2026",2026,123,123,100,127,-130,20.5377513170946,29668.7622516793
"2026/2027",2027,123,123,100,170,-142,15.5366648636536,29996.4083159883
"2027/2028",2028,123,123,100,175,-194,19.0646056656174,30054.7841158193
"2028/2029",2029,123,123,100,123,27,25.8303802391488,28322.0850642589
"2029/2030",2030,123,123,100,184,-241.5,17.3336997355365,30753.3828769792
"2030/2031",2031,123,123,100,118,-19,29.4369728596901,28496.7844887571
"2031/2032",2032,123,123,100,130,-235,20.8153570538994,30952.5575521216
"2032/2033",2033,123,123,100,138,137.5,30.4736418864272,27324.5956623293
"2033/2034",2034,123,123,100,184,-54,24.6801626521695,29223.3214765927
"2034/2035",2035,123,123,100,108,-332,16.9876099140613,31898.3795974529
"2035/2036",2036,123,123,100,41,-254,20.0995995650958,30780.5789621128
"2036/2037",2037,123,123,100,138,-101,24.9910239381724,29050.8143780706
"2037/2038",2038,123,123,100,182,81,27.7179572764827,27923.8185828505
"2038/2039",2039,123,123,100,122,-157.5,18.9412892568182,29798.0350380922
"2039/2040",2040,123,123,100,144,-144,20.8394116024161,29818.084383497
"2040/2041",2041,123,123,100,129,-161,20.9289570770314,30103.6770492094
"2041/2042",2042,123,123,100,155,-43.5,19.8488812569078,29002.8661675053
"2042/2043",2043,123,123,100,146,-162,22.8549473853589,30274.6727837399
"2043/2044",2044,123,123,100,108,-176,24.8467591193405,30306.4083876275
"2044/2045",2045,123,123,100,79,-260.5,16.0255932628918,31183.9297834858
"2045/2046",2046,123,123,100,54,-356,18.1762092983925,31900.3486773744
"2046/2047",2047,123,123,100,144,-230.5,16.369067143833,30612.4138635723
"2047/2048",2048,123,123,100,191,-145.5,19.7679224287997,30140.3757213717
"2048/2049",2049,123,123,100,123,-8,27.9433722603501,28670.6269456781
"2049/2050",2050,123,123,100,203,-74.5,27.5820993966017,28837.7517239777
"2050/2051",2051,123,123,100,127,-4,26.8627801114405,28315.700910504
"2051/2052",2052,123,123,100,136,59,28.6701937221121,27951.6040889062
"2052/2053",2053,123,123,100,208,53.5,26.0423024271875,28284.0361340968
"2053/2054",2054,123,123,100,101,-67.5,26.9239253990561,28957.7266911613
"2054/2055",2055,123,123,100,169,-24.5,27.0875697273634,28863.989028166
"2055/2056",2056,123,123,100,216,40,31.7584968667595,28366.8589399783
"2056/2057",2057,123,123,100,96,5,27.4046836574894,28762.1056970181
"2057/2058",2058,123,123,100,264,45,24.652620067347,27972.2430363428
"2058/2059",2059,123,123,100,149,-90,19.8797764741428,29423.9757940555
"2059/2060",2060,123,123,100,215,-62,26.0394454962611,29129.7373194825
"2060/2061",2061,123,123,100,181,-149,22.0362962758056,30257.3731625136
"2061/2062",2062,123,123,100,144,-29.5,25.8765319757431,29091.7551501682
"2062/2063",2063,123,123,100,160,-116.5,21.2550410711046,29471.1847564224
"2063/2064",2064,123,123,100,182,87,31.5100073247847,27815.2879219223
"2064/2065",2065,123,123,100,155,-200.5,21.6224464429411,30611.3150332337
"2065/2066",2066,123,123,100,156,-82,24.6546688408196,29145.4563395716
"2066/2067",2067,123,123,100,168,-32.5,24.912129335811,28990.2020569528
"2067/2068",2068,123,123,100,134,-173.5,25.4926817601595,30307.8696617354
"2068/2069",2069,123,123,100,186,-275,16.8044954379936,30970.2783931866
"2069/2070",2070,123,123,100,115,-160,22.0176756822984,30305.0926601226
