"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,850,605,47.7826195138832,18761.002020072
"2000/2001",2001,123,123,100,936,701,49.4748084508454,18059.4117575026
"2001/2002",2002,123,123,100,875,603,39.9288156326152,19878.0495094111
"2002/2003",2003,123,123,100,870,620,48.7685935985618,18889.3321520613
"2003/2004",2004,123,123,100,968,688.5,44.0540377320307,18656.6540001427
"2004/2005",2005,123,123,100,910,684.5,48.7575583278006,18966.2514747083
"2005/2006",2006,123,123,100,939,717.5,47.5082046132653,17601.978445382
"2006/2007",2007,123,123,100,873,641,46.4056522976301,18245.8346510087
"2007/2008",2008,123,123,100,737,557,42.4857979080655,21154.8530518676
"2008/2009",2009,123,123,100,834,557,46.6011846852714,19254.1666729148
"2009/2010",2010,123,123,100,870,552,43.3697678122893,19557.5518866652
"2010/2011",2011,123,123,100,931,792,52.2887833197082,17630.3457460323
"2011/2012",2012,123,123,100,906,579,43.335653959575,19747.7026772513
"2012/2013",2013,123,123,100,908,570,42.0492425080162,19350.8049174063
"2013/2014",2014,123,123,100,884,665,48.8580599930639,18554.6979808395
"2014/2015",2015,123,123,100,814,521.5,38.2362945118483,20845.9683600634
"2015/2016",2016,123,123,100,889,517,42.0521362323366,20617.6317224326
"2016/2017",2017,123,123,100,883,687.5,43.8900686096412,19814.4234912968
"2017/2018",2018,123,123,100,980,876.5,53.4053633077248,16474.4171757053
"2018/2019",2019,123,123,100,919,617.5,40.8945504147296,19478.8151770444
"2019/2020",2020,123,123,100,871,588,43.0233175279388,19729.1548330444
"2020/2021",2021,123,123,100,830,574.5,48.2456364288637,19581.404773612
"2021/2022",2022,123,123,100,777,565.5,44.6737160458342,20156.9195125403
"2022/2023",2023,123,123,100,1003,922,57.8280999056492,16336.4919731158
"2023/2024",2024,123,123,100,677,349.5,33.0648572169612,22515.3741230583
"2024/2025",2025,123,123,100,823,644.5,47.7565901112355,18935.6187100103
