"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,871,608,49.2428053622036,18713.399511972
"2000/2001",2001,123,123,100,929,684,50.8215209280939,18136.575917907
"2001/2002",2002,123,123,100,877,577.5,38.9559902693811,19893.8634902195
"2002/2003",2003,123,123,100,888,611.5,45.0372780000549,18920.7536085319
"2003/2004",2004,123,123,100,970,655.5,42.3501913280438,18769.4526364213
"2004/2005",2005,123,123,100,920,661,46.8592891050254,19056.11863476
"2005/2006",2006,123,123,100,938,688,45.8496797401151,17658.6745721782
"2006/2007",2007,123,123,100,876,608.5,45.7888773500052,18294.1734470148
"2007/2008",2008,123,123,100,751,553.5,42.0374006166458,21122.679225937
"2008/2009",2009,123,123,100,847,552.5,43.0843617901969,19139.7473159543
"2009/2010",2010,123,123,100,874,537.5,39.8682157348333,19635.7715377145
"2010/2011",2011,123,123,100,938,760,52.6107816179107,17728.0581690387
"2011/2012",2012,123,123,100,908,580,41.8441776305428,19685.590207235
"2012/2013",2013,123,123,100,922,558.5,41.5722674130591,19378.7970596326
"2013/2014",2014,123,123,100,904,668,42.7939086877956,18601.2868262739
"2014/2015",2015,123,123,100,816,514.5,39.399151931721,20879.7912087962
"2015/2016",2016,123,123,100,907,532,38.7847642117511,20572.2694469942
"2016/2017",2017,123,123,100,878,666.5,42.472566038166,19893.6303037505
"2017/2018",2018,123,123,100,1002,858,51.3118424153671,16581.7374949716
"2018/2019",2019,123,123,100,930,588.5,40.3110228780452,19448.1537801339
"2019/2020",2020,123,123,100,872,565.5,41.1306367139844,19775.4020090727
"2020/2021",2021,123,123,100,858,579.5,46.6111087900865,19549.5100556083
"2021/2022",2022,123,123,100,787,567,43.7408761097927,20097.6372938659
"2022/2023",2023,123,123,100,997,892,59.0078725303176,16531.3065927287
"2023/2024",2024,123,123,100,687,337.5,34.1820921210422,22439.8616296337
"2024/2025",2025,123,123,100,838,640.5,45.9908734906066,18914.3787581204
"2025/2026",2026,123,123,100,943,675.5,48.1401180646942,17773.3092741244
"2026/2027",2027,123,123,100,894,640,38.6241740718731,20617.609279511
"2027/2028",2028,123,123,100,870,655,44.0020247904652,19755.3322211383
"2028/2029",2029,123,123,100,918,585,43.6419874178789,18345.1176371616
"2029/2030",2030,123,123,100,858,663.5,41.0250937571316,19969.0823915252
"2030/2031",2031,123,123,100,922,606,50.0717386860592,18944.9424821604
"2031/2032",2032,123,123,100,990,804.5,56.3063544773295,17432.6187975397
"2032/2033",2033,123,123,100,920,464.5,39.111460792358,19841.2705904022
"2033/2034",2034,123,123,100,803,516,35.4669017731026,20699.2885723822
