"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,721,360,31.7530067320545,22119.7681352437
"2000/2001",2001,123,123,100,774,438,37.8690245083227,21480.8248890648
"2001/2002",2002,123,123,100,750,332,33.5222269756159,23212.703171448
"2002/2003",2003,123,123,100,733,338.5,31.4472143530905,22261.5101774464
"2003/2004",2004,123,123,100,761,440.5,34.75938851758,22344.8320462873
"2004/2005",2005,123,123,100,739,397,37.1528734658746,22573.4902961613
"2005/2006",2006,123,123,100,768,485,38.7744325947161,20924.8383254788
"2006/2007",2007,123,123,100,681,366.5,37.974409608945,21623.799270461
"2007/2008",2008,123,123,100,526,178.5,30.23263268089,25215.5113225995
"2008/2009",2009,123,123,100,717,301.5,35.5095166473376,22328.5360020244
"2009/2010",2010,123,123,100,730,268,29.4081180891504,23124.1861837433
"2010/2011",2011,123,123,100,743,524,43.5658426544892,21155.8325564561
"2011/2012",2012,123,123,100,755,324.5,29.5226263072404,23102.357328268
"2012/2013",2013,123,123,100,758,318.5,37.5132503913254,22578.2664092842
"2013/2014",2014,123,123,100,719,403,32.9690069349414,22084.9568149403
"2014/2015",2015,123,123,100,618,213.5,25.8190673329489,24620.6159909111
"2015/2016",2016,123,123,100,708,236,32.9007317142265,23984.3421672895
"2016/2017",2017,123,123,100,671,332,36.3556183426288,23787.458310748
"2017/2018",2018,123,123,100,766,624.5,45.3050880229935,20106.9544447102
"2018/2019",2019,123,123,100,703,345,30.053925823521,22581.7127204351
"2019/2020",2020,123,123,100,671,300,33.2689554013004,23181.8662670753
"2020/2021",2021,123,123,100,644,310.5,28.6710677918279,23198.9580674507
"2021/2022",2022,123,123,100,620,239,33.7355886464645,23583.4143351445
"2022/2023",2023,123,123,100,785,651,45.2706680883609,20316.8110932889
"2023/2024",2024,123,123,100,530,-20,19.269479793438,26080.3970522992
"2024/2025",2025,123,123,100,646,319.5,35.5653299713873,22705.5648793038
"2025/2026",2026,123,123,100,741,422.5,40.9984741796451,21065.5131727359
"2026/2027",2027,123,123,100,619,327.5,24.48990508516,24294.7464061351
"2027/2028",2028,123,123,100,673,335,36.4422844003816,23386.7436611354
"2028/2029",2029,123,123,100,768,370.5,36.0556624639712,21637.7465883945
"2029/2030",2030,123,123,100,662,362.5,33.5535315664963,23680.1240422307
"2030/2031",2031,123,123,100,762,357,34.7323297228531,22449.2465020479
"2031/2032",2032,123,123,100,783,564.5,40.1907762224753,21113.9148980919
"2032/2033",2033,123,123,100,783,251,33.4238044584895,22879.4920557481
"2033/2034",2034,123,123,100,655,208.5,28.6800035370413,24328.3409324023
"2034/2035",2035,123,123,100,773,487,37.1036575069977,21281.4072026131
"2035/2036",2036,123,123,100,919,566.5,45.1281729657783,19911.0326291593
"2036/2037",2037,123,123,100,661,122.5,32.5250564060098,24923.3751965938
"2037/2038",2038,123,123,100,652,208.5,26.9308399691618,24448.2309672339
"2038/2039",2039,123,123,100,701,269,31.1059779674035,24579.8031235961
"2039/2040",2040,123,123,100,707,278,34.6854483425393,23470.1237879698
"2040/2041",2041,123,123,100,707,424.5,35.3724258068767,22945.102447561
"2041/2042",2042,123,123,100,687,273,28.1323099755805,23905.7726130718
"2042/2043",2043,123,123,100,713,465,31.1024635074971,22673.4402659694
"2043/2044",2044,123,123,100,761,460.5,38.3220101489171,21367.5307401684
"2044/2045",2045,123,123,100,711,414.5,39.3401230544789,21731.8589475099
"2045/2046",2046,123,123,100,754,632.5,45.4961806364622,20037.2753018187
"2046/2047",2047,123,123,100,620,268,33.7457225458827,24281.6514981035
"2047/2048",2048,123,123,100,730,502,40.1497083220197,21547.6921214042
"2048/2049",2049,123,123,100,757,386,34.6505614207135,22092.7001943095
"2049/2050",2050,123,123,100,678,341.5,34.9823644989556,22636.8593403371
"2050/2051",2051,123,123,100,748,301,39.6721773032523,22478.3041222598
"2051/2052",2052,123,123,100,752,347,33.4272006383296,22817.2431340655
"2052/2053",2053,123,123,100,661,214,35.6640616970335,22573.5290560676
"2053/2054",2054,123,123,100,727,419,34.1186114898637,22023.918426821
"2054/2055",2055,123,123,100,723,327.5,28.6135387019972,23749.2336984696
"2055/2056",2056,123,123,100,736,303,27.3897146793756,22544.9753263108
"2056/2057",2057,123,123,100,818,437,36.8773610417029,21450.5264827255
"2057/2058",2058,123,123,100,653,76,27.9702807898625,24075.3596367827
"2058/2059",2059,123,123,100,659,252.5,32.7157577237035,23741.8960480178
"2059/2060",2060,123,123,100,711,318.5,29.1323020096988,23873.9073799402
"2060/2061",2061,123,123,100,843,507,35.5303903694667,20877.4148647897
"2061/2062",2062,123,123,100,829,386,34.645658201367,21294.0435903389
"2062/2063",2063,123,123,100,739,305.5,35.0923844565104,23303.272955941
