"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,523,226.5,33.3619827180436,25179.6695419655
"2000/2001",2001,123,123,100,521,141,28.5378835467081,26173.6617497222
"2001/2002",2002,123,123,100,551,76.5,27.9946707858058,26293.9371065727
"2002/2003",2003,123,123,100,549,206.5,34.3872417928306,25335.4333574575
"2003/2004",2004,123,123,100,583,181,34.4437401369067,25560.01645506
"2004/2005",2005,123,123,100,535,137.5,27.0199308245573,26512.5659175212
"2005/2006",2006,123,123,100,560,104,29.2923551822593,26344.7379154571
"2006/2007",2007,123,123,100,643,206.5,30.4715349735162,25061.5096792099
"2007/2008",2008,123,123,100,492,-43,22.6209450380295,27460.0937712408
"2008/2009",2009,123,123,100,546,154.5,28.8123333577388,25583.7124609663
"2009/2010",2010,123,123,100,603,343.5,30.1514513714185,24488.320909693
"2010/2011",2011,123,123,100,451,68,27.4981587352771,27471.7786952748
"2011/2012",2012,123,123,100,579,193.5,27.7789357542426,25465.0770110015
"2012/2013",2013,123,123,100,578,344,31.9143727816224,24146.8116612094
"2013/2014",2014,123,123,100,530,95.5,28.9944394339548,26315.2043111625
"2014/2015",2015,123,123,100,559,45.5,26.1617750004535,26627.4926233208
"2015/2016",2016,123,123,100,460,39,23.8637908182172,26993.6878849906
"2016/2017",2017,123,123,100,415,-167.5,15.3381394448048,28600.847775768
"2017/2018",2018,123,123,100,464,30,29.2309072792783,27347.9336377911
"2018/2019",2019,123,123,100,607,203,34.0589462329286,24825.7725681993
"2019/2020",2020,123,123,100,543,189.5,23.4050751400977,25933.7192155712
"2020/2021",2021,123,123,100,566,169,29.5888989017404,25933.0081049313
"2021/2022",2022,123,123,100,461,95.5,25.2828498002189,26750.2809053329
"2022/2023",2023,123,123,100,450,-1,24.8075683046319,27726.4927655826
"2023/2024",2024,123,123,100,650,212,28.3114939082531,25100.335062583
"2024/2025",2025,123,123,100,500,94,27.995499187772,25843.4433519132
"2025/2026",2026,123,123,100,554,58.5,26.6908955893949,26300.5455062143
"2026/2027",2027,123,123,100,492,-49,17.2263876083837,27914.7439973247
"2027/2028",2028,123,123,100,535,-26.5,24.0436794799658,27446.1861355966
"2028/2029",2029,123,123,100,635,371,37.2663656975174,24134.4565704651
"2029/2030",2030,123,123,100,502,-98,13.8610809621374,28427.5435457011
"2030/2031",2031,123,123,100,585,294,33.4686757850329,24763.787288975
"2031/2032",2032,123,123,100,461,96.5,27.3860025372865,26602.7698611938
"2032/2033",2033,123,123,100,646,431,36.2561613723283,23547.9114862508
"2033/2034",2034,123,123,100,531,64.5,27.3802186220164,26178.0339002558
"2034/2035",2035,123,123,100,495,12,19.7036408636918,27790.525920134
"2035/2036",2036,123,123,100,462,176,29.4094309510069,26046.3156795274
"2036/2037",2037,123,123,100,544,3.5,27.8819915097092,26694.7336393185
"2037/2038",2038,123,123,100,603,304.5,33.4239918963576,24182.9998677853
"2038/2039",2039,123,123,100,556,16,19.0189424854348,27877.8171348623
"2039/2040",2040,123,123,100,549,68,23.2628791590887,27011.463886572
"2040/2041",2041,123,123,100,566,67,22.4953699309845,27220.9506005174
"2041/2042",2042,123,123,100,557,190.5,26.9746917194364,25891.0325949057
"2042/2043",2043,123,123,100,589,105.5,23.0360027249924,26927.154079176
"2043/2044",2044,123,123,100,548,158,27.3071968866402,26301.427140668
"2044/2045",2045,123,123,100,444,66.5,19.0618479681825,27556.9919909285
"2045/2046",2046,123,123,100,430,-12.5,20.4265495002885,27960.793070564
"2046/2047",2047,123,123,100,470,-59.5,19.4115026553104,27812.006073324
"2047/2048",2048,123,123,100,479,60,26.4667741105804,26839.0586712081
"2048/2049",2049,123,123,100,630,303,31.8243808471304,24452.1668722704
"2049/2050",2050,123,123,100,563,13.5,28.5959845768605,25708.1846346771
"2050/2051",2051,123,123,100,616,315,32.8744501923995,24690.7237071628
"2051/2052",2052,123,123,100,625,339.5,36.9297302199188,23933.0860722046
"2052/2053",2053,123,123,100,607,331,27.8175564953194,24735.3745281603
"2053/2054",2054,123,123,100,587,282.5,26.2439032539376,24816.3965695202
"2054/2055",2055,123,123,100,574,128.5,26.169669048156,26206.8079776615
"2055/2056",2056,123,123,100,619,220,32.7930065492405,24807.6011609863
"2056/2057",2057,123,123,100,683,392.5,32.5148620123414,23867.6669412814
"2057/2058",2058,123,123,100,606,226,25.174857274546,25276.0232729213
"2058/2059",2059,123,123,100,578,141.5,23.6929089706166,26081.9438863685
"2059/2060",2060,123,123,100,558,-2.5,25.1290667436581,26747.3863609834
"2060/2061",2061,123,123,100,516,85.5,25.0242948307789,26569.8336781133
"2061/2062",2062,123,123,100,637,370,34.4163698764869,24178.4921619641
"2062/2063",2063,123,123,100,511,138.5,27.1933486425057,26398.9008320784
"2063/2064",2064,123,123,100,585,241,30.5119391967121,24821.8948587589
"2064/2065",2065,123,123,100,493,17,18.9749105965132,27523.6178174736
"2065/2066",2066,123,123,100,543,33.5,25.1220426248299,26343.8650735226
"2066/2067",2067,123,123,100,585,223,29.0944920353948,25569.4828004427
"2067/2068",2068,123,123,100,530,82.5,27.5325639275338,26959.6889090547
"2068/2069",2069,123,123,100,474,-200.5,16.0025992920739,28865.0747835794
"2069/2070",2070,123,123,100,524,-10.5,21.6338142735581,27858.7233700054
"2070/2071",2071,123,123,100,694,382,32.7943917170653,23979.6860816199
"2071/2072",2072,123,123,100,545,181,26.1617695691871,25416.3550688364
"2072/2073",2073,123,123,100,612,137,29.2466731484942,24454.9095499925
"2073/2074",2074,123,123,100,702,536,39.2324646268621,22100.7599069234
"2074/2075",2075,123,123,100,652,410.5,35.6876126987199,23686.0955382073
"2075/2076",2076,123,123,100,559,165,30.3985216353653,25956.1197900027
"2076/2077",2077,123,123,100,523,26.5,29.5566325086256,27014.2402230166
"2077/2078",2078,123,123,100,546,199,28.5092780469481,25120.7517962661
"2078/2079",2079,123,123,100,548,223.5,28.3735843943091,25376.259837633
"2079/2080",2080,123,123,100,570,101,27.382269399423,25985.671305662
"2080/2081",2081,123,123,100,607,369,32.1980997642595,23552.9036660101
"2081/2082",2082,123,123,100,666,259,34.2280223550647,24558.7925389605
"2082/2083",2083,123,123,100,529,208,32.0024478134897,25408.0794770932
"2083/2084",2084,123,123,100,558,138.5,26.0761034517054,25631.2805979392
"2084/2085",2085,123,123,100,640,203,28.0020300716824,25581.8743238142
"2085/2086",2086,123,123,100,414,-52.5,21.8921557967055,27518.2877277173
"2086/2087",2087,123,123,100,666,238,25.4032550522629,24454.769529257
"2087/2088",2088,123,123,100,569,212,33.885883490484,25265.0658558439
"2088/2089",2089,123,123,100,658,343,38.8498769169278,23656.9078026973
"2089/2090",2090,123,123,100,550,126.5,26.3044332773529,26517.7483255174
"2090/2091",2091,123,123,100,545,402,38.6775796618454,24161.0014646444
"2091/2092",2092,123,123,100,569,172.5,27.1818213364045,25105.2677454278
"2092/2093",2093,123,123,100,418,-60,25.2019694721257,28349.285185935
"2093/2094",2094,123,123,100,404,67,24.9176571619932,27587.0904557128
"2094/2095",2095,123,123,100,632,126,29.5253974075003,25684.8335467894
"2095/2096",2096,123,123,100,616,402.5,31.4976038575992,24306.3967990372
"2096/2097",2097,123,123,100,408,34.5,23.9621414592189,27210.2462684158
"2097/2098",2098,123,123,100,501,221,23.5686700276392,26103.7042122148
"2098/2099",2099,123,123,100,621,276.5,31.2076562716343,24347.0364210512
"2099/2100",2100,123,123,100,523,-49.5,26.9641647523049,27856.5048803184
