"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,277,385.5,36.0219121399715,25368.8791483838
"2000/2001",2001,123,123,100,296,327,32.819675823592,25693.4219908275
"2001/2002",2002,123,123,100,314,508.5,39.6961430211408,24188.6909982821
"2002/2003",2003,123,123,100,233,346.5,36.3162999667153,25783.4065017909
"2003/2004",2004,123,123,100,269,332.5,35.3877385224413,25708.8695081532
"2004/2005",2005,123,123,100,355,425,34.290284539017,24887.2670166402
"2005/2006",2006,123,123,100,277,308,32.2851209532953,25988.5226350786
"2006/2007",2007,123,123,100,307,278.5,36.4250596472756,26226.0621562107
"2007/2008",2008,123,123,100,466,575,42.9109326293377,23304.5535984029
"2008/2009",2009,123,123,100,251,496.5,38.0316631291799,24329.2356645672
"2009/2010",2010,123,123,100,260,290,33.0070153601717,26314.8095577366
"2010/2011",2011,123,123,100,333,343,34.5643926728617,25705.5139306183
"2011/2012",2012,123,123,100,296,390,35.2182353007324,25183.6960430709
"2012/2013",2013,123,123,100,254,273.5,35.8058138746854,26152.461996543
"2013/2014",2014,123,123,100,290,409,39.8151342046294,24930.0324365292
"2014/2015",2015,123,123,100,376,535.5,43.0684132212238,23703.3933348593
"2015/2016",2016,123,123,100,375,560.5,44.4068884083614,23436.5096966
"2016/2017",2017,123,123,100,457,579.5,39.5211545006886,23608.9488871202
"2017/2018",2018,123,123,100,310,294.5,33.0908683352928,26032.8585748079
"2018/2019",2019,123,123,100,304,419.5,40.309367508571,24857.6702975025
"2019/2020",2020,123,123,100,384,514,41.9488198440168,24053.7405514903
"2020/2021",2021,123,123,100,285,411,35.607881500544,25040.0960022951
"2021/2022",2022,123,123,100,406,513,41.9519007875726,23952.0374786886
"2022/2023",2023,123,123,100,272,254,32.7317387668357,26557.9241121514
"2023/2024",2024,123,123,100,421,654,50.030264333491,22710.2496084748
"2024/2025",2025,123,123,100,340,355,31.1171506975541,25517.1012683343
"2025/2026",2026,123,123,100,268,386.5,34.7014220311871,25295.0698427507
"2026/2027",2027,123,123,100,402,655,43.772228003276,23020.0370637416
"2027/2028",2028,123,123,100,453,524,42.0880662752329,23670.4704834837
"2028/2029",2029,123,123,100,271,243,33.0740054742437,26766.9092695434
