"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,1194,1719,82.936183864177,11090.6843622875
"2000/2001",2001,123,123,100,1025,1679.5,84.228470471497,11557.0467081952
"2001/2002",2002,123,123,100,1066,1663.5,83.6585657306323,11181.8213867623
"2002/2003",2003,123,123,100,1204,1723,81.607007148031,10632.4732903678
"2003/2004",2004,123,123,100,1151,1747.5,83.2555014541781,10583.9874934769
"2004/2005",2005,123,123,100,1130,1687.5,81.9663394307564,11503.4872675738
"2005/2006",2006,123,123,100,1072,1641.5,78.6081420615501,11645.1578211722
"2006/2007",2007,123,123,100,1217,1704.5,81.1401892022095,10935.0953433471
"2007/2008",2008,123,123,100,1071,1541,78.4523899700522,12996.0619087953
"2008/2009",2009,123,123,100,1088,1600.5,80.0461474761348,11526.6824294052
"2009/2010",2010,123,123,100,1256,1892,86.0695333470896,9446.55528389139
"2010/2011",2011,123,123,100,945,1704,83.8088185345621,11640.2712842347
"2011/2012",2012,123,123,100,1099,1721.5,83.6014148385898,11202.1907617046
"2012/2013",2013,123,123,100,1190,1785,84.1436340252903,9792.34806303843
"2013/2014",2014,123,123,100,1098,1663,80.1503164444766,11616.9607869179
"2014/2015",2015,123,123,100,1179,1660,82.5937278290808,11207.0387983441
"2015/2016",2016,123,123,100,1083,1664.5,80.8994142817824,11802.5826574597
"2016/2017",2017,123,123,100,861,1459.5,72.2934194689135,13848.2305230019
"2017/2018",2018,123,123,100,1006,1635.5,81.4624387372432,12295.7223073088
"2018/2019",2019,123,123,100,1168,1643.5,80.1632256565144,10831.1878537945
"2019/2020",2020,123,123,100,1153,1753,84.2818010069914,10611.3619126664
"2020/2021",2021,123,123,100,1198,1785.5,81.23040952466,10973.375500516
"2021/2022",2022,123,123,100,1038,1624.5,79.1521617460239,12564.3642788115
"2022/2023",2023,123,123,100,847,1601.5,80.5268956269297,12556.6742010138
"2023/2024",2024,123,123,100,1215,1632.5,81.7500292977138,10957.5323157022
"2024/2025",2025,123,123,100,1055,1550,79.5590679135635,12526.4666081693
"2025/2026",2026,123,123,100,1126,1605.5,80.705277529823,11843.4027723544
"2026/2027",2027,123,123,100,1079,1633,82.6730187419193,11855.9299886243
"2027/2028",2028,123,123,100,1049,1538.5,79.6317566190041,12580.102623085
"2028/2029",2029,123,123,100,1251,1902.5,87.0797094947125,9658.40685427794
"2029/2030",2030,123,123,100,925,1503.5,78.9677235331956,13049.0506448648
"2030/2031",2031,123,123,100,1222,1822.5,83.9473250198621,10282.5485536563
"2031/2032",2032,123,123,100,976,1756,85.1822479650555,11230.0518950499
"2032/2033",2033,123,123,100,1316,1906,84.1881866374538,9114.95096860826
"2033/2034",2034,123,123,100,1091,1605,79.1413341872917,11514.7626930582
"2034/2035",2035,123,123,100,975,1614.5,79.1872470103044,12793.531971321
"2035/2036",2036,123,123,100,1003,1806.5,82.9202440977306,11206.4640002721
"2036/2037",2037,123,123,100,1198,1577,77.3350904872032,12122.9251230578
"2037/2038",2038,123,123,100,1200,1777,86.5349304581941,10054.6202055458
"2038/2039",2039,123,123,100,1049,1611,78.4986189556812,12247.2410256546
"2039/2040",2040,123,123,100,1055,1628.5,81.0621680374416,11745.3745810604
"2040/2041",2041,123,123,100,1115,1681.5,81.4797846566162,11581.8284811387
"2041/2042",2042,123,123,100,1223,1780.5,83.8530167940889,10604.3517534519
"2042/2043",2043,123,123,100,1044,1659,81.2334844079405,11735.3871626058
"2043/2044",2044,123,123,100,1067,1701.5,84.3193109582044,11607.604187048
"2044/2045",2045,123,123,100,948,1724,83.3046992051568,12083.5759262298
"2045/2046",2046,123,123,100,896,1645.5,80.5814933564825,13011.2638804936
"2046/2047",2047,123,123,100,1035,1613.5,80.3505866074465,12379.7790655699
"2047/2048",2048,123,123,100,1006,1640.5,82.1991246607276,11564.3686969262
"2048/2049",2049,123,123,100,1268,1738,82.3385379917036,10752.2752996613
"2049/2050",2050,123,123,100,1134,1571,81.457423901219,11292.4511776716
"2050/2051",2051,123,123,100,1244,1746.5,81.495930970782,10805.5511560091
"2051/2052",2052,123,123,100,1303,1866,87.0110679423451,9526.6403226275
"2052/2053",2053,123,123,100,1187,1743,84.9749834267959,10265.8913644003
"2053/2054",2054,123,123,100,1175,1770.5,81.8247763015506,10975.7009078437
"2054/2055",2055,123,123,100,1153,1690.5,82.5248089285078,10837.0736920452
"2055/2056",2056,123,123,100,1178,1727.5,84.8694976885236,9939.1484151585
"2056/2057",2057,123,123,100,1328,1881.5,84.5126363462805,9833.62303568237
"2057/2058",2058,123,123,100,1227,1706.5,84.0461312309199,10202.9925536942
"2058/2059",2059,123,123,100,1167,1687,80.9437129416883,11313.0012138337
"2059/2060",2060,123,123,100,1132,1568,81.6983194342065,11334.2924174927
"2060/2061",2061,123,123,100,1020,1684.5,85.6992044051167,11130.4776438
"2061/2062",2062,123,123,100,1233,1786.5,84.9845284875364,10092.5202777758
"2062/2063",2063,123,123,100,1171,1663.5,78.0652268545628,11437.1174129937
"2063/2064",2064,123,123,100,1203,1731,86.0817830222813,9844.09173428547
"2064/2065",2065,123,123,100,1099,1682,85.3668407646037,11803.9355956148
"2065/2066",2066,123,123,100,1118,1553,77.274716705313,11911.2452301029
"2066/2067",2067,123,123,100,1086,1762.5,85.3871263712945,10351.3086240115
"2067/2068",2068,123,123,100,1085,1669.5,82.182324198584,11792.1077567162
"2068/2069",2069,123,123,100,911,1461,78.0137319122841,13464.9138338417
"2069/2070",2070,123,123,100,1085,1655,83.2259642340732,11716.3057226427
"2070/2071",2071,123,123,100,1276,1816.5,85.9107726594066,9427.9198176004
"2071/2072",2072,123,123,100,1185,1816,86.6969482434579,10014.9670332251
"2072/2073",2073,123,123,100,1226,1613.5,80.9826472471705,10745.4468570631
"2073/2074",2074,123,123,100,1456,1935.5,90.7467193049997,7948.73436079174
"2074/2075",2075,123,123,100,1260,1892,86.4150665419493,9230.62186999712
"2075/2076",2076,123,123,100,1174,1679,82.59500212696,11269.7879820019
"2076/2077",2077,123,123,100,1154,1580,75.674182893461,12504.0216472195
"2077/2078",2078,123,123,100,1168,1800.5,85.6416190453729,10055.2989456728
"2078/2079",2079,123,123,100,1214,1785,85.1075297547704,10503.6749216067
"2079/2080",2080,123,123,100,1095,1669.5,81.2263144407534,11287.6300823148
