"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,620,483.5,43.2649019044272,22747.2727498503
"2000/2001",2001,123,123,100,528,384.5,39.4348276537575,23759.1732947734
"2001/2002",2002,123,123,100,584,386.5,38.6697785130604,23692.6691290289
"2002/2003",2003,123,123,100,626,537.5,46.2844339028774,22557.7759907157
"2003/2004",2004,123,123,100,681,556.5,42.0143651575212,22232.45118025
"2004/2005",2005,123,123,100,618,408.5,34.8363572177164,24010.2680169713
"2005/2006",2006,123,123,100,595,376,38.8558751495457,24076.2779403166
"2006/2007",2007,123,123,100,683,501,42.3678743950691,22564.0107635076
"2007/2008",2008,123,123,100,503,172.5,29.922755878554,25564.5811672235
"2008/2009",2009,123,123,100,615,405.5,41.1271241123634,23179.8805726564
"2009/2010",2010,123,123,100,701,699,48.2223344439787,21313.8716203372
"2010/2011",2011,123,123,100,490,372.5,37.3557100197582,24490.0393988006
"2011/2012",2012,123,123,100,577,416,40.9722593050151,23117.9448518062
"2012/2013",2013,123,123,100,680,655,47.5935765363469,21158.1542900128
"2013/2014",2014,123,123,100,581,343.5,39.332716562996,24146.2343322188
"2014/2015",2015,123,123,100,625,356,38.589057899916,23959.1438268833
"2015/2016",2016,123,123,100,498,317.5,32.4201580014964,24644.1427683737
"2016/2017",2017,123,123,100,432,35.5,25.5539746392476,26975.6309879737
"2017/2018",2018,123,123,100,503,248,35.4982707053011,25461.1853357465
"2018/2019",2019,123,123,100,669,448,44.0458890650924,22561.2590826184
"2019/2020",2020,123,123,100,600,466.5,35.2910955088033,23109.160066742
"2020/2021",2021,123,123,100,644,448,42.1671154713098,23232.9264451759
"2021/2022",2022,123,123,100,473,245,36.0773685248753,25052.3611782114
"2022/2023",2023,123,123,100,488,223.5,35.8002109169699,25642.7775569041
"2023/2024",2024,123,123,100,685,454.5,38.0761066032214,22730.9913426158
"2024/2025",2025,123,123,100,579,296,39.3605324043217,24008.3991219206
"2025/2026",2026,123,123,100,615,343.5,35.0847787077043,24042.7307207678
"2026/2027",2027,123,123,100,546,226.5,32.6139826112235,25708.9566574669
"2027/2028",2028,123,123,100,537,231.5,33.0578231808008,25399.4829375902
"2028/2029",2029,123,123,100,694,725,50.2898732116601,20816.0593050784
"2029/2030",2030,123,123,100,481,115,27.2532019834475,26426.0353129325
"2030/2031",2031,123,123,100,630,586,44.8274005914027,22114.6872339603
"2031/2032",2032,123,123,100,479,432,40.4921054406705,23802.453829872
"2032/2033",2033,123,123,100,719,787,47.6357364597711,20225.1739151524
"2033/2034",2034,123,123,100,560,372,35.9241284968821,23671.1606849935
"2034/2035",2035,123,123,100,491,220.5,32.2854544995591,26189.9855590328
"2035/2036",2036,123,123,100,529,501.5,42.2654119064475,23039.7294625463
"2036/2037",2037,123,123,100,614,270.5,35.2552989292853,24533.8364522853
"2037/2038",2038,123,123,100,649,558,41.2245762247549,21957.496635553
"2038/2039",2039,123,123,100,583,285.5,31.0359268339446,25088.3570717853
"2039/2040",2040,123,123,100,575,338.5,35.8477294568327,24602.5860893666
"2040/2041",2041,123,123,100,629,348.5,38.6204789374126,24718.0593863418
"2041/2042",2042,123,123,100,622,478.5,37.3606415240556,23309.6068476373
"2042/2043",2043,123,123,100,617,388,36.3510169624856,24192.0169625664
"2043/2044",2044,123,123,100,588,414.5,41.3248480153593,24053.0827012416
"2044/2045",2045,123,123,100,468,324.5,38.5308253645048,25280.1171037648
"2045/2046",2046,123,123,100,423,167,29.3359166037249,26667.0518032489
"2046/2047",2047,123,123,100,505,204.5,35.5162180646753,25635.7368253311
"2047/2048",2048,123,123,100,502,340.5,34.4707775593101,24332.5388256097
"2048/2049",2049,123,123,100,719,557,44.2185361085872,21964.6035694899
"2049/2050",2050,123,123,100,609,271.5,37.8852764632966,23507.3677679291
"2050/2051",2051,123,123,100,707,567.5,41.4982104031988,21930.9076061081
"2051/2052",2052,123,123,100,755,696.5,48.313732755129,20813.7812129809
"2052/2053",2053,123,123,100,676,626,43.6437216958643,21812.1238046745
"2053/2054",2054,123,123,100,676,542,42.792212678889,22321.8449622327
"2054/2055",2055,123,123,100,643,469.5,42.1120503947232,23042.6818969436
"2055/2056",2056,123,123,100,677,553.5,42.6604150344365,21692.5536927013
"2056/2057",2057,123,123,100,787,733.5,48.3434052943062,20932.9536278266
"2057/2058",2058,123,123,100,682,530.5,40.3332515305124,22213.1614595521
"2058/2059",2059,123,123,100,622,419,36.008297180188,23752.4862887356
"2059/2060",2060,123,123,100,584,296.5,33.6298980898327,23979.8653373467
"2060/2061",2061,123,123,100,591,399.5,39.5403603413652,23805.1146209631
"2061/2062",2062,123,123,100,702,688.5,49.2463973168146,21131.737018724
"2062/2063",2063,123,123,100,568,472.5,41.2811215176894,23432.7698843461
"2063/2064",2064,123,123,100,664,559,46.6149841311944,21540.2850980777
"2064/2065",2065,123,123,100,522,265,33.5836028658377,25561.424972754
"2065/2066",2066,123,123,100,595,259,38.0572845010224,24507.2558661979
"2066/2067",2067,123,123,100,625,541.5,41.7940849749743,22428.4045524672
"2067/2068",2068,123,123,100,594,341.5,38.7622812056316,24729.231768081
"2068/2069",2069,123,123,100,478,-14.5,27.8022346217267,27345.5901658442
"2069/2070",2070,123,123,100,550,265,33.3194453746678,25194.8819173044
"2070/2071",2071,123,123,100,772,714.5,45.3946478617854,20779.4954940071
"2071/2072",2072,123,123,100,604,503.5,39.4473987594001,22516.787611736
"2072/2073",2073,123,123,100,689,421,42.3065425441123,22060.6028293073
"2073/2074",2074,123,123,100,848,897.5,57.3140343203581,18670.7051032502
"2074/2075",2075,123,123,100,732,755.5,49.9186960448783,20174.755703927
"2075/2076",2076,123,123,100,650,481.5,42.7731648266981,23325.9280237127
"2076/2077",2077,123,123,100,624,263,38.9284709948965,24628.2336888276
"2077/2078",2078,123,123,100,633,553.5,44.2331405576419,22004.8367659766
"2078/2079",2079,123,123,100,635,547.5,43.7373053029933,22354.8888653861
"2079/2080",2080,123,123,100,616,428.5,43.1258510439907,23288.1611461909
"2080/2081",2081,123,123,100,701,683.5,44.6762076326249,20499.3401946425
"2081/2082",2082,123,123,100,731,560.5,47.0581595769504,21614.4703650959
"2082/2083",2083,123,123,100,613,564,43.5228911364866,22427.2585907467
"2083/2084",2084,123,123,100,645,412,35.1679459777961,23377.725038318
"2084/2085",2085,123,123,100,696,441.5,40.7224665805115,23325.9344402123
"2085/2086",2086,123,123,100,435,241.5,33.0494373666097,25171.0202107523
"2086/2087",2087,123,123,100,756,540,39.1926501276484,21815.7164251301
"2087/2088",2088,123,123,100,616,481.5,43.336347646321,22891.5451019593
"2088/2089",2089,123,123,100,748,658.5,49.8486012746307,21075.4173869733
"2089/2090",2090,123,123,100,612,478.5,42.6683373794704,23393.9192567989
"2090/2091",2091,123,123,100,579,772,46.7614357610964,20974.206278367
"2091/2092",2092,123,123,100,637,503.5,41.3616675193389,22444.4441058859
"2092/2093",2093,123,123,100,440,86,32.8639552795257,27003.5007883217
