"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"1999/2000",2000,123,123,100,183,-129.5,19.7711292513722,29657.8622673207
"2000/2001",2001,123,123,100,195,-259,17.4756070772657,30623.6332812849
"2001/2002",2002,123,123,100,238,-138,20.8124386825455,29601.6725953524
"2002/2003",2003,123,123,100,198,-75.5,23.7706692149513,29155.4605449255
"2003/2004",2004,123,123,100,227,-95,23.7152703948909,29248.710268678
"2004/2005",2005,123,123,100,155,-188.5,16.7951088597603,30229.5595895817
"2005/2006",2006,123,123,100,225,-236,18.8735868865195,30681.3686558745
"2006/2007",2007,123,123,100,204,-88.5,21.7857127939327,29418.4331013419
"2007/2008",2008,123,123,100,166,-264,18.8686520112748,30251.0238000308
"2008/2009",2009,123,123,100,246,-118.5,18.9434167493997,29361.2407965704
"2009/2010",2010,123,123,100,176,-0.5,23.219887792129,28637.1017071728
"2010/2011",2011,123,123,100,135,-310.5,13.0805299405459,31208.9265732754
"2011/2012",2012,123,123,100,210,-163.5,22.0797631776873,29656.362994361
"2012/2013",2013,123,123,100,204,-11,20.383052319751,28837.8609840251
"2013/2014",2014,123,123,100,186,-267,17.4807591637077,30484.1755416123
"2014/2015",2015,123,123,100,215,-136,20.5044867074241,29510.0754029262
"2015/2016",2016,123,123,100,161,-280.5,15.0637236938261,30708.5468900674
"2016/2017",2017,123,123,100,145,-523.5,9.9388732715999,32334.6219301294
"2017/2018",2018,123,123,100,147,-395.5,16.3831617912052,31514.8024237345
"2018/2019",2019,123,123,100,244,-55,23.3815370348266,28839.0954913879
"2019/2020",2020,123,123,100,235,-101,17.4576614368201,29317.8326286348
"2020/2021",2021,123,123,100,193,-123,20.5837431213048,29420.3597552991
"2021/2022",2022,123,123,100,145,-333.5,15.2756481396937,30830.6046167761
"2022/2023",2023,123,123,100,151,-408.5,15.7536677906261,32014.0831196695
"2023/2024",2024,123,123,100,286,-8,21.9026960187243,28374.9102628916
"2024/2025",2025,123,123,100,189,-246.5,19.0683846304319,30064.570181719
"2025/2026",2026,123,123,100,180,-253.5,18.3137635198408,30553.4383294652
"2026/2027",2027,123,123,100,205,-276,13.0653562851705,30844.3601146168
"2027/2028",2028,123,123,100,206,-224,17.1456080530889,30410.357002595
"2028/2029",2029,123,123,100,188,-6.5,25.0150987516977,28528.8914563628
"2029/2030",2030,123,123,100,195,-366.5,12.5709280863811,31514.8720396026
"2030/2031",2031,123,123,100,189,-124.5,27.0913892916941,29239.1456584479
"2031/2032",2032,123,123,100,147,-314.5,17.2695028693049,31067.4087438304
"2032/2033",2033,123,123,100,203,43,27.9897141030042,27956.372567066
"2033/2034",2034,123,123,100,234,-135,19.3360722434437,29577.4995417246
"2034/2035",2035,123,123,100,139,-426,11.9974754614293,32132.4903228292
"2035/2036",2036,123,123,100,97,-309,16.5557603595753,31236.7084214734
"2036/2037",2037,123,123,100,201,-191,19.0448048455792,29935.6105806711
"2037/2038",2038,123,123,100,237,-31,22.8252765477509,28471.6121943146
"2038/2039",2039,123,123,100,184,-245,13.648853204063,30499.5513675511
"2039/2040",2040,123,123,100,180,-213,17.0181213095539,30171.6411719657
"2040/2041",2041,123,123,100,158,-189,15.5182427393992,30320.4840029059
"2041/2042",2042,123,123,100,181,-140,16.424652997296,29509.3923259107
"2042/2043",2043,123,123,100,188,-187.5,21.4420023186015,30333.4816311514
"2043/2044",2044,123,123,100,150,-294,16.0033629742844,31034.80503798
"2044/2045",2045,123,123,100,104,-375.5,13.5813392394664,31774.5966472467
"2045/2046",2046,123,123,100,83,-511.5,9.67971645508362,32641.0945733702
"2046/2047",2047,123,123,100,171,-267.5,14.0313881543698,30850.607019837
"2047/2048",2048,123,123,100,224,-238.5,17.4431343225338,30309.9106436064
"2048/2049",2049,123,123,100,237,-31,23.8186074783309,28801.8789217891
"2049/2050",2050,123,123,100,224,-184,22.8345195962036,29395.6010918925
"2050/2051",2051,123,123,100,211,-99.5,25.6657127154451,28834.8467674525
"2051/2052",2052,123,123,100,229,47,27.465804308817,27922.7148048095
"2052/2053",2053,123,123,100,243,-2.5,20.9436509585707,28490.1244985396
"2053/2054",2054,123,123,100,161,-142,17.6274625387077,29373.187835739
"2054/2055",2055,123,123,100,231,-85.5,22.5884697065017,29201.2725557853
"2055/2056",2056,123,123,100,276,24.5,22.8201787932817,28392.5792615712
"2056/2057",2057,123,123,100,153,-20.5,24.5838255578994,28920.7409480661
"2057/2058",2058,123,123,100,304,13,24.211460389778,28254.3401346747
"2058/2059",2059,123,123,100,190,-171.5,15.6794186563259,29807.5899997558
"2059/2060",2060,123,123,100,277,-118,20.0604508553711,29522.2024063841
"2060/2061",2061,123,123,100,205,-251,18.9699109056742,30684.1489375215
"2061/2062",2062,123,123,100,226,-36,23.9154449869704,29197.6848370451
"2062/2063",2063,123,123,100,187,-168.5,17.742574791532,29941.3146409206
"2063/2064",2064,123,123,100,244,5.5,22.4625775746179,28307.4093409739
"2064/2065",2065,123,123,100,158,-239,14.8097400521417,30776.7920218613
"2065/2066",2066,123,123,100,197,-182.5,17.9336510937305,30041.0734019186
"2066/2067",2067,123,123,100,228,-86,21.5460516992366,29322.4877141397
"2067/2068",2068,123,123,100,165,-275,15.6515410466232,30650.4572520666
"2068/2069",2069,123,123,100,192,-413.5,11.6138158118977,31708.2675417662
"2069/2070",2070,123,123,100,169,-225.5,15.457291877043,30714.7367034806
"2070/2071",2071,123,123,100,255,74.5,27.2261885861158,27952.5300797177
"2071/2072",2072,123,123,100,236,-47,19.855168597411,28858.6358936951
"2072/2073",2073,123,123,100,287,47.5,28.9586864368216,27833.204523989
"2073/2074",2074,123,123,100,269,232.5,27.5610816136591,26510.6804361101
"2074/2075",2075,123,123,100,215,22,24.7077480955159,28238.8575755022
"2075/2076",2076,123,123,100,176,-165,19.7256505794658,29795.364449908
"2076/2077",2077,123,123,100,152,-276.5,23.4549099568228,30519.1234404333
"2077/2078",2078,123,123,100,221,-52,24.1744472243904,29120.5838170629
"2078/2079",2079,123,123,100,179,-121.5,22.1677227638268,29274.7687590122
"2079/2080",2080,123,123,100,206,-144,19.0658074648288,29673.3177847043
"2080/2081",2081,123,123,100,269,50,24.3200225228375,27884.7817274146
"2081/2082",2082,123,123,100,293,36.5,23.5551947040594,28151.7864295635
"2082/2083",2083,123,123,100,152,-158.5,24.3946609591503,29580.0762710944
"2083/2084",2084,123,123,100,192,-156,18.1167123988366,29875.1892766953
"2084/2085",2085,123,123,100,219,-183.5,20.3893393854544,29767.0083011389
"2085/2086",2086,123,123,100,123,-365,13.5172696061018,31381.305993937
"2086/2087",2087,123,123,100,345,139,24.210301125064,27371.1046716888
"2087/2088",2088,123,123,100,178,-192.5,20.9026521730648,30033.0640376806
"2088/2089",2089,123,123,100,213,-30,27.4363046941994,28754.4643085655
"2089/2090",2090,123,123,100,177,-104.5,23.5751099478211,29579.6556415223
"2090/2091",2091,123,123,100,134,-169,18.7416956343884,29835.44017433
"2091/2092",2092,123,123,100,237,-81,19.7865897790966,29118.2263835315
"2092/2093",2093,123,123,100,114,-532.5,16.2855000389175,32901.9092044029
"2093/2094",2094,123,123,100,74,-346,13.9980893275938,31621.5347227976
"2094/2095",2095,123,123,100,243,-99,21.3919474342326,29241.0557737947
"2095/2096",2096,123,123,100,139,3.5,26.398983070861,28362.8440816589
"2096/2097",2097,123,123,100,147,-291,13.0964690214328,31003.8200228028
"2097/2098",2098,123,123,100,137,-264.5,15.9396452990231,30568.5738370698
"2098/2099",2099,123,123,100,267,-40,20.9706456782583,28385.7007415257
"2099/2100",2100,123,123,100,144,-291,13.2271831051307,31149.8699230254
